№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Возникла необходимость рассмотреть вопрос о признании иностранного решения,-,"Производство по делам о признании иностранных решений регулируется гл. 31 АПК РФ. Согласно ст. 241 АПК РФ, решения судов иностранных государств, принятые ими по спорам и иным делам, возникающим при осуществлении предпринимательской и иной экономической деятельности (иностранные суды), решения третейских судов и международных коммерческих арбитражей, принятые ими на территориях иностранных государств по спорам и иным делам, возникающим при осуществлении предпринимательской и иной экономической деятельности (иностранные арбитражные решения), признаются и приводятся в исполнение в РФ арбитражными судами, если признание и приведение в исполнение таких решений предусмотрено международным договором РФ и ФЗ. Вопросы признания и приведения в исполнение решения иностранного суда и иностранного арбитражного решения разрешаются арбитражным судом по заявлению стороны в споре, рассмотренном иностранным судом, или стороны третейского разбирательства. Согласно ч. 1 ст. 243 АПК РФ, Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанции в срок, не превышающий одного месяца со дня его поступления в арбитражный суд субъекта РФ. Судья инициирует процесс рассмотрения вопроса о признании иностранного решения."
1,Система,Документы дело/материалы дела,Вывод системы,Запустить анализ по спору,-,"Система запускает анализ по документам судебного дела/материалам дела, для решения вопроса о признании иностранного решения подлежит/не подлежит удовлетворению."
2,Судья,-,-,Параллельный открывающий шлюз,-,"Параллельный открывающий шлюз, разделяющий поток на 3-й, 7-й, 8-й шаги"
3,Система,Документы дело/материалы дела,Вывод системы,Проверить вступление иностранного решения в законную силу,-,"Согласно п. 1 ч. 1 ст. 244 АПК РФ, Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если решение по закону государства, на территории которого оно принято, не вступило в законную силу. Система проверяет вступление иностранного решения в законную силу на территории иностранного государства."
4,Судья,-,-,Решение вступило в законную силу?. Эксклюзивный открывающий шлюз,-,"Судья устанавливает, вступило ли иностранное решение в законную силу. Если да, то переход к шагу 6. Если нет, то переход к шагу 5"
5,Система,Документы дело/материалы дела,Вывод системы,Указать основания для отказа в признании,-,"Система устанавливает основания для отказа в признании иностранного решения в связи с тем, что оно не вступило в законную силу."
6,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 4-го, 5-го шага"
7,Система,Документы дело/материалы дела,Вывод системы,Проверить надлежащее извещение проигравшей стороны,-,"Согласно п. 2 ч. 1 ст. 244 АПК РФ, Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если сторона, против которой принято решение, не была своевременно и надлежащим образом извещена о времени и месте рассмотрения дела или по другим причинам не могла представить в суд свои объяснения. Система проверяет надлежащее извещение проигравшей стороны о времени и месте рассмотрения дела в иностранном суде."
8,Судья,-,-,Международным договором предусмотрены иные правила признания решения/проигравшая сторона ссылается на указанные основания?. Эксклюзивный открывающий шлюз,-,"Согласно ч. 2 ст. 244 АПК РФ, если иное не предусмотрено международным договором Российской Федерации, в признании и приведении в исполнение решения иностранного суда может быть отказано арбитражным судом по основаниям, предусмотренным пунктами 3 - 7 части 1 настоящей статьи, и при условии, что сторона, против которой вынесено решение иностранного суда, не ссылается на указанные основания. Судья проверяет, предусмотрены ли международным договором иные правила признания решения и ссылается ли проигравшая сторона на указанные основания для продолжения проведения проверок Если да, то переход к шагу 48. Если нет, то переход к шагу 9"
9,Судья,-,-,Параллельный открывающий шлюз,-,"Параллельный открывающий шлюз, разделяющий поток на 10-й, 16-й, 24-й, 30-й, 34-й, 35-й, 36-й, 37-й, 44-й, 45-й, 46-й шаги"
