№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,Необходимость формирования не процессуального документа,—,Требуется сформировать или сформировать и подписать документ,—,"По поручению судьи, либо по собственной инициативе возникает необходимость сформировать не процессуальный документ. Данный процесс описывает как формирование запросов и сопроводительных писем для целей судопроизводства, так и внутренних документов для обеспечивающих процессов суда.Автоматическое уведомление о необходимости формирования документа на основе календарного плана"
1,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,—,—,Проект формирует судья? (Эксклюзивный шлюз),—,"Помощник судьи/ Секретарь СЗ/другой сотрудник суда определяет, будет ли проект документа формировать судья лично?Автоматическое определение исполнителя на основе типа документа и загруженности судьи Если «Да», то переход к шагу 2 процесса.Если «Нет», то переход к шагу 3 процесса."
2,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,—,Проект документа,Сформировать проект документа,—,Помощник судьи/ Секретарь СЗ/другой сотрудник суда запускает процесс формирования проекта документа в системе.Использование шаблонов документов с автозаполнением типовых разделов
3,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,Решение о формировании проекта помощником судьи,—,Необходимо сформировать проект в системе? (Эксклюзивный шлюз),—,"Помощник судьи/ Секретарь СЗ/другой сотрудник суда решает необходимо ли ему сформировать проект в ИС суда.Если «Да», то переход к шагу 4 процесса.Если «Нет», то переход к шагу 5 процесса."
4,Система,Проект документа в электронном виде,Карточка документа,Сформировать карточку документа,—,Система создает карточку документа в электронной системе делопроизводства и  автоматическая генерация проекта документа на основе шаблонов и данных дела. Перенос данных из дела 
5,Система,Указание на создание проекта вручную,Проект документа,Сформировать связи документа и дела,—,Система записывает данные о деле и записывает связи между делом и документом.
6,Система,созданная карточка электронного документа,Генерируемая ссылка на шаблон документа с заполненными данными,Перенаправить пользователя на шаблон,"",Перенаправить пользователя на шаблон в интерфейсе системы арбитражного суда.
7,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,—,—,Требуется подписание документа? (Эксклюзивный шлюз),—,"Помощник судьи/ Секретарь СЗ/другой сотрудник суда определяет, требуется ли подписание документа.Если «Да», то переход к шагу 12 процесса.Если «Нет», то переход к шагу 8 процесса."
8,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,"Документ, не требующий подписания",—,Необходимо распечатать? (Эксклюзивный шлюз),—,"Помощник судьи/ Секретарь СЗ/другой сотрудник суда определяет необходимость распечатки документа.Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 10 процесса."
9,Помощник судьи/ Секретарь СЗ/другой сотрудник суда,Документ для печати,Распечатанный документ,Распечатать документ,—,Помощник судьи/ Секретарь СЗ/другой сотрудник суда запускает в сформированном шаблоне процесс распечатки документа
