№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,Необходимость установить соблюдение требований банкротства,—,Возникла необходимость установить соблюдение требований банкротства специализированного общества,—,"Специализированное общество (СО)— это особая организация, создаваемая, как правило, для выпуска ипотечных ценных бумаг (например, ипотечных облигаций). Для СО действуют специальные правила банкротства. Факт соблюдения требований законодательства о банкротстве устанавливается арбитражным судом, который рассматривает дело о несостоятельности данного специализированного общества. Особенности правового регулирования банкротства специализированных обществ и ипотечных агентов определяются необходимостью обеспечения интересов залогодержателей - владельцев облигаций, обеспеченных залогом денежных требований и иного имущества, эмитированных специализированными обществами, и залогодержателей - владельцев облигаций с ипотечным покрытием, эмитированных ипотечными агентами. Судья арбитражного суда принимает решение о необходимости проверки соблюдения требований банкротства специализированного общества. Старт процесса."
1,Судья,—,Запрос в ведомствоВыписка ЕГРЮЛ,ТБП23.Направить запрос в ведомство,—,"Для уточнения статуса специализированного общества запрос может направляться в следующие ведомства: · Федеральная налоговая служба (ФНС России) · Банк России (ЦБ РФ) · Национальный расчетный депозитарий (НРД) / Регистратор · Росреестр (в части ипотечных активов) Помощнику судьи необходимо направить запрос в соответствующее ведомство для получения дополнительной информации о юридическом лице. Переход к типовому процессу «Направить запрос в ведомство», результатом которого будет полученный помощником судьи ответ на направленные запросы в ведомства.Запрос формируется системой автоматически по форме и направляется в ведомство посредством настроенной интеграции. Получение и обработка системой ответа, уведомление судьи — внутри процесса."
2,Система,Выписка ЕГРЮЛ,—,Проанализировать дело и выписку,—,"Система анализирует (LLM или скрипт) выписку ЕГРЮЛ и судебное дело и отвечает на следующие вопросы:Полное фирменное наименование содержит слова ""специализированное финансовое общество"" или ""специализированное общество проектного финансирования""?Заявление подано представителем владельцев облигаций?Суду известны данные о соответствии признакам специализированного общества? "
3,Судья,—,—,Необходимо уточнить данные?Эксклюзивный шлюз.  ,—,"Судья арбитражного суда считает необходимым уточнить данных о юридическом лице, для принятия решения о его соответствии признакам специализированного общества? Если Да: переход к шагу 4 Если Нет: переход к шагу 5"
4,Судья,—,—,ТБП23.Направить запрос в ведомство,—,"Для уточнения статуса специализированного общества запрос может направляться в следующие ведомства:·Федеральная налоговая служба (ФНС России)·Банк России (ЦБ РФ)·Национальный расчетный депозитарий (НРД) / Регистратор·Росреестр (в части ипотечных активов)Помощнику судьи необходимо направить запрос в соответствующее ведомство для получения дополнительной информации о юридическом лице. Переход к типовому процессу «Направить запрос в ведомство», результатом которого будет полученный помощником судьи ответ на направленные запросы в ведомства.Запрос формируется системой автоматически по форме и направляется в ведомство посредством настроенной интеграции. Получение и обработка системой ответа, уведомление судьи — внутри процесса."
5,Судья,—,—,Заявление подано представителем владельцев облигаций? Эксклюзивный шлюз,—,Эксклюзивный шлюз. —
6,Судья,—,—,ТБП139.Проверить выводы системы,—,Эксклюзивный открывающий шлюз
7,Судья,—,—,Суду известны данные о соответствии признакам специализированного общества? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Да: переход к шагу 9 Нет: переход к шагу 8
8,Судья,—,—,Переход на шаг 1,—,Судья арбитражного суда возвращается к проверке полномочий представителя владельцев облигаций. Процесс переходит к шагу 3.
9,Судья,—,—,Необходимо уточнить данные? Эксклюзивный шлюз,—,Эксклюзивный шлюз. Да: переход к шагу 11 Нет: переход к шагу 10
10,Судья,—,—,Требования банкротства специализированного общества не соблюдены,—,"Судья арбитражного суда принимает решение о том, что требования банкротства специализированного общества не соблюдены. Дело подлежит рассмотрению в общем порядке банкротства."
11,Судья,—,—,Требования банкротства специализированного общества соблюдены,—,"Судья арбитражного суда принимает решение о том, что требования банкротства специализированного общества соблюдены. Завершение процесса."
