№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья/Председатель судебного состава/Председатель суда,Необходимость в деле из архива,—,Появилась необходимость вернуть дело из архива суда,—,Судья/Председатель судебного состава/Председатель суда принимает решение о необходимости получения дела из архива. Хранение и архивация материалов и судебных актов регулируется положениями Постановления Пленума ВАС РФ от 25.12.2013 N 100 
1,Судья/Председатель судебного состава/Председатель суда,—,Задача запросить дело из архива,Поставить задачу запросить дело из архива,—,Судья/Председатель судебного состава/Председатель суда ставит задачу сотруднику суда запросить дело из архива
2,"Сотрудник суда, запрашивающий дело из архива",Задача,—,Получить задачу запросить дело из архива,—,"Сотрудник суда, запрашивающий дело из архива получает задачу"
3,Система,—,Результат проверки факта уничтожения,Проверить факт уничтожения дела,—,"Система проверяет в информационной системе, было ли дело уничтожено. Дело проверяется в ПК САД"
4,"Сотрудник суда, запрашивающий дело из архива",—,—,Дело уничтожено? Эксклюзивный шлюз,—,"Сотрудник суда, запрашивающий дело из архива, принимает решение на основе результатов проверки.Да: переход к шагу 9, Нет: переход к шагу 4"
5,"Сотрудник суда, запрашивающий дело из архива",—,Электронная заявка на дело,Сформировать и подписать документ,—,"Переход к типовому процессу «Сформировать и подписать документ». Результатом данного ТП станет оформление и подписание служебной записки или заявки на получение части дела из архива сотрудником суда, запрашивающим дело из архива. Автоматическая генерация документа по шаблону"
6,"Сотрудник суда, запрашивающий дело из архива",—,—,Необходима копия акта об уничтожении? Эксклюзивный шлюз,—,"Сотрудник суда, запрашивающий дело из архива, определяет, нужна ли копия акта об уничтожении дела.Да: переход к шагу 11,Нет: переход к шагу 10"
7,"Сотрудник суда, запрашивающий дело из архива",—,—,Завершение процесса,—,"Процесс завершается, так как копия акта об уничтожении не требуется"
8,"Сотрудник суда, запрашивающий дело из архива",—,Акт об уничтожении,Формировать акта об уничтожении,—,Система формирует акт об уничтожении по шаблону
9,"Сотрудник суда, запрашивающий дело из архива",Акт об уничтожении,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
10,"Сотрудник суда, запрашивающий дело из архива",—,—,Завершение процесса,—,Завершение процесса
11,Судья/Председатель судебного состава/Председатель суда,Служебная записка/заявка,"",Уведомить о результате,—,Система уведомляет пользователя о результате 
12,Судья/Председатель судебного состава/Председатель суда,Служебная записка на возврат архивного дела/ Заявка на копию акта об уничтожении,"",Поставить резолюцию,—,Судья/Председатель судебного состава/Председатель суда рассматривает служебную записку и ставит резолюцию о разрешении или отказе в выдаче дела
13,Система,—,Задача,Поставить задачу на возврат дела из архива,—,Система ставит задачу на возврат дела из архива
14,Сотрудник отдела архивации,—,—,Запустить поиск архивного дела,—,Сотрудник отдела запускает поиск архивного дела в электронной системе
15,Система,—,Архивное дело,Найти архивное дело,—,Система находит архивное дело
16,Сотрудник отдела архивации,Архивное дело,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
17,Сотрудник отдела архивации,—,—,Дело найдено? Эксклюзивный шлюз,—,Дело найдено? Эксклюзивный шлюз
18,Система,—,—,Изменить статус дела на возвращено из архива,—,Система меняет статус дела на возвращено из архива
19,Сотрудник отдела архивации,—,—,Переход к шагу 14.,—,Переход к шагу 14.
20,Сотрудник отдела архивации,—,—,Уведомить о завершении задачи,—,Система уведомляет пользователя о завершении задачи
21,Судья/Председатель судебного состава/Председатель суда,—,—,Ознакомиться,—,Судья/Председатель судебного состава/Председатель суда ознакамливается с результатом выполнения задачи
22,Судья/Председатель судебного состава/Председатель суда,—,—,Завершение процесса,—,Завершение процесса
