№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,Необходимость проверки статуса ЛУВД,—,Возникла необходимость проверить статус ЛУВД,—,"Суд принимает решение о необходимости проверки статуса ЛУВД в рамках рассмотрения дела.Процесс происходит в двух направлениях: проверки статуса банкротства (т.е. Является ли лицо банкротом), и проверки специального статуса лица (например, отнесение его к какой-либо категории лиц в том или ином правоотношении)."
1,Система,—,—,Запустить проверку,—,Система запускает проверки по правилам
2,Суд,—,—,Что необходимо проверить?Эксклюзивный шлюз,—,"Определение типа проверки: специальный статус или статус банкротства. Специальный статус — переход к шагу 19,Статус банкротства — переход к шагу 3."
3,Система,—,—,Предложить возможную подсудность банкротного дела,—,Система предлагает возможную подсудность банкротного дела и уведомляет пользователя
4,Суд,—,—,Определить возможную подсудность банкротного дела,—,Суд определяет возможную подсудность банкротного дела на основе предложений системы
5,Суд,—,—,Дело о банкротстве необходимо искать в базе нашего суда?Эксклюзивный шлюз,—,"Суд определяет, в какой информационной системе искать дело о банкротстве — во внутренней системе суда (ПК САД) или в КАД Арбитр.Если в ИС суда, то «Да» - переход к шагу 5;Если «Нет» - переход к шагу 4"
6,Система,—,Результат поиска в КАД Арбитр,Проверить наличие дела о банкротстве в КАД Арбитр,—,Система проверяет наличие дела о банкротстве в системе КАД Арбитр.
7,Система,—,—,Проверить наличие дела о банкротстве в ЕПЦП,—,Система проверяет наличие дела о банкротстве в ЕПЦП
8,Суд,—,—,Закрывающий шлюз для шага 5,—,Закрывающий шлюз для шага 5
9,Суд,—,—,Дело о банкротстве найдено?Эксклюзивный шлюз,—,"Суд анализирует результаты поиска и определяет, найдено ли дело о банкротстве.Если «Да» - переход к шагу 8, Если «Нет» - переход к шагу 10"
10,Система,Данные о статусе из дела о банкротстве,—,Проверить статус банкротства,—,Система проверяет текущий статус банкротства по найденному делу.
11,Суд,—,—,Закрывающий шлюз для шага 9,—,Закрывающий шлюз для шага 9
12,Система,—,—,Сформировать отчет,—,Система формирует отчет
13,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
14,Суд,Данные о статусе из дела о банкротстве,—,Лицо является банкротом?Эксклюзивный шлюз,—,"На основе анализа найденного дела о банкротстве, судья приходит к выводу о статусе банкротства лица — является лицо банкротом или нет. Если «Да» - переход к шагу 11, Если «Нет» - переход к шагу 13.Автоматическое определение статуса банкротства"
15,Система,—,Факт подтверждения лица банкротом,Подтвердить банкротство,—,Система подтверждает статус банкротства лица.
16,Суд,—,—,Завершение процесса.Банкротство подтверждено,—,Завершение процесса. Банкротство подтверждено
17,Система,—,—,Сохранить статус проверки,—,Система сохраняет статус проверки в карточке
18,Суд,—,—,Завершение процесса.Лицо не является банкротом,—,Процесс завершен. Лицо не является банкротом
19,Система,—,Результат поиска подтверждающих документов,Проверить наличие подтверждающего документа,—,"Система проверяет наличие документов, подтверждающих специальный статус ЛУВД.Автоматический поиск подтверждающих документов в системе"
20,Система,—,—,Сформировать отчет,—,Система формирует отчет
21,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
22,Суд,"Документы, представленные лицами",—,Есть подтверждающий документ? Эксклюзивный шлюз,—,"Суд анализирует результаты поиска подтверждающих документов. Подтверждающими документами являются любые релевантные доказательства, подтверждающие статус, как правило ими могут быть доверенность, выписки.Если «Да» переход к шагу 16, Если «Нет» - переход к шагу 18"
23,Система,Подтверждающий документ,—,Подтвердить специальный статус,—,Система подтверждает специальный статус ЛУВД на основании представленного подтверждающего документа.
24,Суд,—,—,Специальный статус подтвержден,—,Завершение процесса. Специальный статус подтвержден
25,Система,—,—,Сохранить статус проверки,—,Система сохраняет статус проверки в карточке
26,Суд,—,—,Специальный статус не подтвержден,—,Завершение процесса. Специальный статус не подтвержден
