№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Появилась необходимость рассмотреть вопрос о продлении/восстановлении срока,—,"Судья устанавливает необходимость рассмотрения вопроса о восстановлении или продлении процессуального срока.Вопросы о продлении и восстановлении процессуальных сроков рассматриваются одинаково (ст. 118 АПК РФ).Процессуальный срок подлежит восстановлению (продлению) по ходатайству лица, участвующего в деле, если иное не предусмотрено АПК РФ.Ходатайство о восстановлении (продлении) пропущенного процессуального срока подается в арбитражный суд, в котором должно быть совершено процессуальное действие. Одновременно с подачей ходатайства совершаются необходимые процессуальные действия (подается заявление, жалоба, представляются документы и другое), в отношении которых пропущен срок.Восстановление пропущенного срока — если лицо по каким-то причинам пропустило процессуальный срок для совершения юридически значимого действия и ходатайствует о восстановлении срока для продолжения хода дела.Продление пропущенного срока — если лицо понимает, что не сможет совершить юридически значимое действие в установленный для этого судом срок, и ходатайствует о переносе крайней даты для совершения действия на более поздний срок.Автоматическое выявление пропущенных сроков в электронном деле"
1,Судья,—,—,Требуется провести СЗ?Эксклюзивный шлюз,—,"Судья принимает решение о необходимости проведения судебного заседания для рассмотрения вопроса.Автоматическое определение необходимости СЗ на основе категории делаЕсли «Да» - переход к шагу 2, если «Нет» - переход к шагу 4."
2,Судья,—,Определение о назначении судебного заседания,ТБП44.Назначить СЗ,—,"Переход к типовому процессу «Назначить СЗ», в рамках которого определяется состав ЛУВД, дата, время, место СЗ. Результатом является принятое определение о назначении СЗ.Интеграция с системой планирования судебных заседаний"
3,Судья,—,—,ТБП68.Провести СЗ,—,"Судья принимает решение о необходимости проведения судебного заседания для рассмотрения вопроса.Автоматическое определение необходимости СЗ на основе категории делаЕсли «Да» - переход к шагу 2, если «Нет» - переход к шагу 4."
4,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
5,Судья,—,"Результат проверки сроков, подлежащих восстановлению.",ТБП5.Проверить срок,—,"Переход к типовому процессу «Проверить срок».В рамках данного процесса судья проверяет, не истекли ли процессуальные сроки, предусмотренные статьями 259, 276, 291.2, 308.1 и 312 АПК РФ, для восстановления.Если данные сроки не пропущены, у суда не будет оснований для их восстановления. Автоматическая проверка сроков в электронном деле."
6,Судья,"Результат проверки сроков, подлежащих восстановлению",—,Срок пропущен?Эксклюзивный шлюз,—,"Автоматическое определение пропуска срокаЕсли «Да» - переход к шагу 16, если «Нет» - переход к шагу 7"
7,Судья,—,Результат оценки доказательств,ТБП59.Оценить доказательства по делу,—,"Переход к типовому процессу «Оценить доказательства по делу», в рамках которого судья исследует представленные лицом документы в подтверждение своего требования на предмет их достаточности, допустимости.На основании оценки суд приходит к выводу об уважительности причин, по которым лицо ходатайствует о восстановлении/продлении процессуального срока.Система поддержки принятия решений для оценки доказательств"
8,Судья,—,—,Какое основание для восстановления/продления?Включающий шлюз,—,Судья определяет конкретное основание для восстановления или продления процессуального срока. Шлюз предусматривает более двух потоков.
9,Судья,—,—,Выбрать незнание лица о начале течения срока,—,"Основание - незнание лица о начале течения срока. Лицо доказало, что в силу каких-то обстоятельств оно не знало и не могло знать о начале течения срока по причинам, независящим от него.Автоматический анализ уведомлений в электронном деле"
