№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
18,Система,Согласованный и подписанный исправленный вручную отчет по утвержденной формеОписание причины изменений,Исправленный вручную отчет по утвержденной формеОписание причины изменений,Запустить формирование итогового отчета по суду СИСТЕМА,"","Сотрудник ответственный за ведение статистической отчетности получает получает информацию об ошибках, направляет обращение в техническую поддержку и вносит изменения в сводный отчет по суду.Если при расчете формы статистической отчетности ответственное лицо за составление отчета полагает, что имеется ошибка в алгоритме расчета статистических показателей отчета, об этом ставится в известность служба технической поддержки.Если в ответе технической поддержки будет подтверждена ошибка и невозможность к установленному сроку внесения изменений в программу, то в связи с этим данные допускается по согласованию с лицами, ответственными за составления отчета в СД при ВС РФ, скорректировать вручную. Подробное описание причины изменений и какие показатели были откорректированы указывается в сообщении с направлением отчетов в СД при ВС РФ."
19,Сотрудник ответственный за ведение стат. отчетности,"","",Подписать отчет,"","Эксклюзивный шлюз для координации процесса, переход к шагу 20"
20,Система,Согласованный и подписанный отчет по утвержденной форме,Номенклатурное дело,Передать отчет на подписание СИСТЕМА,"",Система передает отчет на подписание
21,Система,"","",Уведомить об истечении срока согласовании отчета СИСТЕМА,"",Определяется согласованы ли отчеты по всем структурным подразделениям Да: переход к шагу 25Нет: переход к шагу 22
22,Система,Информация об отсутствии согласованного и подписанного отчета,Уведомление об истечении срока согласования отчета,Ожидать согласования отчетов,"",Сотрудник ответственный за ведение статистической отчетности уведомляет лиц ответственных в соответствии с приказом о распределении обязанностей об истечении срока согласования отчета
23,Система,"","",Переход к шагу 17,"",Сотрудник ответственный за ведение статистической отчетности мониторит получение согласованных отчетов по всем структурным подразделениям
24,Председатель суда,Сводный статистический отчет суда по утвержденной форме,"",Открыть карточку итогового отчета,"",Определяется согласованы ли отчеты по всем структурным подразделениям Переход к шагу 21
25,Председатель суда,Проект сводного статистического отчета суда по утвержденной формеИнформация о согласовании и подписании отчетов по всем структурным подразделениям,Сводный статистический отчет суда по утвержденной форме,Ознакомиться с отчетом,"","Сотрудник ответственный за ведение статистической отчетности после получения согласованных отчетов по всем структурным подразделениям проверяет полноту и достоверность сводного статистического отчета суда по утвержденной форме.Ответственность за полноту, достоверность и своевременность представления статистической информации, а также за соблюдение ФЛК, сопоставление их с аналогичными показателями предыдущего отчетного периода, полноту и достоверность первичного статистического учета в автоматизированных системах судебного делопроизводства несут председатели судов, а также лица, на которых возложены обязанности по организации ведения судебной статистики и составлению отдельных отчетов."
26,Председатель суда,Сводный статистический отчет суда по утвержденной форме,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Проверить отчет,"",Сотрудник ответственный за ведение статистической отчетности подтверждает полноту и достоверность сведений в отчете и подписывает согласованный отчет.
27,Председатель суда,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Реестр передачи,Отчет корректен? Эксклюзивный шлюз,"",Сотрудник ответственный за ведение статистической отчетности передает отчет председателю суда для подписания.
28,Председатель суда,Реестр передачи,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Передать замечания,"",Председатель суда получает отчет для подписания.
29,Сотрудник ответственный за ведение стат. отчетности,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Получить замечания,"",Председатель суда знакомиться с отчетом.
30,Сотрудник ответственный за ведение стат. отчетности,Подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Проверенный подписанный исполнителем сводный статистический отчет суда по утвержденной форме,Внести изменения в ИС,"",Председатель суда проверяет полноту и достоверность сведений в отчете.
31,Система,"","",Переход к шагу 1,"","Председатель суда определяет корректность данных в отчете Переход к шагам 32, 39"
32,Председатель суда,Проверенный отчет по утвержденной форме с ошибками,Проверенный отчет по утвержденной форме с ошибкамиЗамечания,Подписать отчет,"",Председатель суда при выявлении ошибок передает замечания сотруднику ответственному за ведение статистической отчетности
33,Система,Проверенный отчет по утвержденной форме с ошибкамиЗамечания,"",Передать отчет для направления в СД СИСТЕМА,"",Сотрудник ответственный за ведение статистической отчетности получает замечания и ошибки в отчете
34,Система,"","",Направить по электронной почте СИСТЕМА,"","Сотрудник ответственный за ведение статистической отчетности определяет наличие ошибок в алгоритме расчета статистических показателей отчета Переход к шагам 35, 37."
35,Система,Недостоверные / неполные данные в ИС,Достоверные и полные данные в ИС,Ожидать квитанции о сдаче отчета,"",Сотрудник ответственный за ведение статистической отчетности вносит изменения в первичные данные учетно-статистических карточек.Самостоятельное внесение изменений в автоматизированно рассчитанные статистические показатели в отчетности недопустимо и является умышленным искажением отчетности.
36,Система,Изменения в ИС,"",Получить квитанцию СИСТЕМА,"",Сотрудник ответственный за ведение статистической отчетности после изменений в ИС запускает формирование нового отчета.
37,Система,Проверенный отчет по утвержденной форме с ошибкамиЗамечания,Исправленный вручную отчет по утвержденной формеОписание причины изменений,Отчет сдан без ошибок? Эксклюзивный шлюз,"","Сотрудник ответственный за ведение статистической отчетности получает получает информацию об ошибках, направляет обращение в техническую поддержку и вносит изменения в сводный отчет по суду.Если при расчете формы статистической отчетности ответственное лицо за составление отчета полагает, что имеется ошибка в алгоритме расчета статистических показателей отчета, об этом ставится в известность служба технической поддержки.Если в ответе технической поддержки будет подтверждена ошибка и невозможность к установленному сроку внесения изменений в программу, то в связи с этим данные допускается по согласованию с лицами, ответственными за составления отчета в СД при ВС РФ, скорректировать вручную. Подробное описание причины изменений и какие показатели были откорректированы указывается в сообщении с направлением отчетов в СД при ВС РФ."
38,Система,"","",Передать квитанцию о сдаче отчета СИСТЕМА,"",После исправлений отчета сотрудник ответственный за ведение статистической отчетности формирует новый отчет с исправлениями
39,Система,"","",Завершение процесса,"",""
40,Система,"","",Передать ошибки СИСТЕМА,"",Председатель суда передает отчет для направления в СД при ВС РФ.
41,Сотрудник ответственный за ведение стат. отчетности,Протокол (техническая квитанция) о результатах обработки (загрузке) и наличии ошибок,"",Получить ошибки,"",Сотрудник ответственный за ведение статистической отчетности получает квитанции о сдаче отчета с ошибками
42,Сотрудник ответственный за ведение стат. отчетности,Протокол (техническая квитанция) о результатах обработки (загрузке) и наличии ошибок,"",Переход к шагу 1 ,"",Сотрудник ответственный за ведение статистической отчетности после получения квитанции о сдаче отчета с ошибками инициирует процесс исправления ошибок и формирования нового отчета
