№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Система,"","",Возникла необходимость подготовить отчет по утвержденной стат. форме (Стартовое событие),"","Формы и сроки статистической отчетности в соответствии с полномочиями, определенными Законом о СД при ВС РФ, утверждаются приказами Судебного департамента.В единой системе инициация формирования отчетов возможна на стороне СД при ВС РФПрограммный шаблон формы отчетности представляет собой электронную форму для формирования отчета в формате MS Excel, содержащую реквизиты формы, отчетный период и наименование организации (абонента), представляющей отчет, необходимые для автоматизированной идентификации отчета, статистические таблицы разделов формы, формализованное описание ФЛК (обязательного и информационного), справочники абонентов и отчетных периодов и иную справочную информацию.Порядок организации работы по ведению судебной статистики в суде: первичному статистическому учету в судебном делопроизводстве, формированию регламентной и нерегламентной (запросной) статистической отчетности и ответственные должностные лица за ее выполнение устанавливаются приказом председателя суда."
1,Система,Данные учетно-статистических карточек,Рассчитанный отчет по утвержденной форме,Подготовить отчет и ФЛК СИСТЕМА,"С 00:00 дня, следующего за окончанием отчетного периода до окончания срока сдачи отчета в Табеле форм.","Система автоматически в предусмотренный НПА срок:Осуществляет расчет утвержденных форм статистической отчетности.Проверяет выполнение контрольных соотношений для рассчитанных форм.Основой формирования статистических отчетов являются данные, внесенные в картотеки (журналы) автоматизированного судебного делопроизводства по делам и материалам. В связи с этим председателями судов, возлагаются обязанности по организации ведения первичного статистического учета на конкретных работников аппаратов судов или судебных участков в соответствии с приказом о распределении обязанностей (распоряжением о распределении обязанностей, должностным регламентом), ответственность за своевременное внесение полных и достоверных сведений в базы данных автоматизированного судебного делопроизводства, формирование первичных статистических отчетов."
2,Система,"","",Есть ошибки ФЛК? Эксклюзивный шлюз,"",Система проверяет наличие ошибок контрольных соотношений.Переход в шаги 3 и 6.
3,Система,Рассчитанный отчет по утвержденной форме с ошибками,Уведомление на исправление ошибок,Создать уведомление на исправление ошибок СИСТЕМА,"",Система уведомляет о наличии ошибок.
4,Сотрудник ответственный за ведение стат. отчетности,Недостоверные / неполные данные в ИС,Достоверные и полные данные в ИС,Исправить ошибки,"","Сотрудник ответственный за ведение стат. отчетности проверяет полноту и достоверность сведений в отчете, исправляет ошибки в данных."
5,Сотрудник ответственный за ведение стат. отчетности,Данные учетно-статистических карточек,Рассчитанный отчет по утвержденной форме,ТБП2.Сформировать отчет,"","Сотрудник ответственный за ведение стат. отчетности  инициирует расчёт нового отчета. Переход к типовому процессу ""Сформировать отчет"""
6,Система,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации процесса, переход к шагу 20"
7,Система,"",Рассчитанный отчет по утвержденной форме,Отправить отчет на проверку и согласование СИСТЕМА,"",Система передает отчет ответственному лицу
8,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Рассчитанный отчет по утвержденной форме,Рассчитанный отчет по утвержденной форме,Получить отчет,"",Лицо ответственное в соответствии с приказом о распределении обязанностей получает  отчет.
9,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Рассчитанный отчет по утвержденной форме,Проверенный отчет по утвержденной форме,Проверить показатели в отчете,"","Лицо ответственное в соответствии с приказом о распределении обязанностей определяет наличие ошибок в алгоритме расчета статистических показателей отчета Переход к шагам 10, 14."
10,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,"","",Данные отчета корректны? Эксклюзивный шлюз,"",Самостоятельное внесение изменений в автоматизированно рассчитанные статистические показатели в отчетности недопустимо и является умышленным искажением отчетности.
11,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Изменения в ИС,Согласованный и подписанный отчет по утвержденной форме,Подписать отчет,"",Лицо ответственное в соответствии с приказом о распределении обязанностей сообщает сотруднику ответственному за ведение статистической отчетности о внесении изменений.
12,Система,Согласованный и подписанный отчет по утвержденной форме,Согласованный и подписанный отчет по утвержденной форме,Передать отчет СИСТЕМА,"",Система передает отчет ответственному лицу
13,Лица ответственные за подготовку отчетов (судьи/председатели судебных составов/коллегий,Уведомление об изменениях в ИС,"",Внести изменения в ИС,"",Сотрудник ответственный за ведение статистической отчетности после получения информации об изменениях в ИС запускает формирование нового отчета.
14,Система,Изменения в ИС,Уведомление об изменениях в ИС,Сообщить информацию о внесении изменений,"",Система после получения информации об изменениях в ИС запускает формирование нового отчета.
15,Сотрудник ответственный за ведение стат. отчетности,Уведомление об изменениях в ИС,"",Получить информацию об изменениях в ИС,"",Сотрудник ответственный за ведение статистической отчетности после получения информации об изменениях в ИС запускает формирование нового отчета.
16,Система,"","",Перейти к шагу 1,"",Система инициирует процесс сначала
17,Система,Реестр передачи,Согласованный и подписанный исправленный вручную отчет по утвержденной формеОписание причины изменений,Все отчеты согласованы? Эксклюзивный шлюз,"",Сотрудник ответственный за ведение статистической отчетности получает согласованный отчет.
