№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Система,—,—,Возникла необходимость проверить тождественность дел,—,"Система суда инициирует проверку тождественности дел по триггеру.Признание дел тождественными имеет свои юридические последствия. В частности, согласно ст. 150 АПК РФ, если имеется вступивший в законную силу принятый по спору между теми же лицами, о том же предмете и по тем же основаниям судебный акт арбитражного суда, суда общей юрисдикции или компетентного суда иностранного государства (т.е. Имеется тождественное дело) (за исключением случаев, если арбитражный суд отказал в признании и приведении в исполнение решения иностранного суда)— это является основанием для прекращения производству по делу."
1,Система арбитражного суда,Данные из первичного документа,Результат сравнения,Сравнить ПД с уже имеющимися делами в ИС,—,"Система сравнивает данные, необходимые для определения тождественности, из первичного документа с данными, уже имеющимися среди других дел, зарегистрированных в ИС.Автоматическая проверка системой на тождественность по:Проверка ЛУВД на предмет процедур банкротства и Проверить процессуальное состояние если дело найденоПроверить совпадения сторон по делуПроверить совпадение предмета иска/спораПроверить совпадение основания иска/спораПроверить дату и номер исх.документа"
2,Система арбитражного суда,Данные из первичного документа,Результат проверки в КАД Арбитр,"Проверить в ""КАД Арбитр"" наличие тождественных дел",—,"Система проверяет наличие тождественных дел в КАД АрбитрФиксирует результаты. Если тождественное дело не найдено среди дел в ИС суда, сотрудник суда проверяет наличие тождественных дел в системе ""КАД Арбитр"" (среди общего массива судебных дел)."
3,Система арбитражного суда,Данные из первичного документа,Резльутат проверки в ИС СОЮ,Проверить в ИС СОЮ наличие тождественных дел,—,Система проверяет наличие тождественных дел в СОЮ интеграция и уведомляет пользователя
4,Система арбитражного суда,—,—,Отправить отчет пользователю,—,Система формирует письмо если найдены тождественные/ аналогичные ПД с ссылками на документы
5,Судья,Отчет системы,—,Проверить отчет системы,—,Судья проверяет отчет системы на ошибки и имеет возможность редактирования
6,Судья,—,—,Выводы системы верны? Эксклюзивный шлюз,—,Выводы системы верны? Эксклюзивный шлюз
7,Судья,—,—,Закрывающий шлюз для шага 6,—,Закрывающий шлюз для шага 6
8,Система арбитражного суда,—,—,Система нашла идентичные/аналогичные ПД?Эксклюзивный шлюз,—,Система нашла идентичные/аналогичные ПД?Улучшение алгоритмов распознавания тождественности дел. Эксклюзивный шлюз
9,Судья,—,—,Закрывающий шлюз для шага 8,—,Закрывающий шлюз для шага 8
10,Судья,Результаты всех проверок,Решение о тождественности,Решить вопрос о тождественности,—,Судья принимает окончательное решение о тождественности дел на основании всех проведенных проверок.На основании данных после анализа вывод пользователю рекомендаций по вопросу тождественности. Система поддержки принятия решений с анализом всех факторов
11,Судья,Информация о наличии тождественного дела,—,Стало известно о наличии тождественного дела? Эксклюзивный шлюз,—,Стало известно о наличии тождественного дела? В том числе о наличии решения третейского суда и решения иностранного суда.Эксклюзивный шлюз
12,Система арбитражного суда,Документы,—,Анализировать документы,—,Система анализирует документы и с помощью OCR+LLM генерирует рекомендацию по дальнейшим действиям с ссылками на документы дела и текст
13,Судья,—,—,Переход в основной процесс,—,Переход в основной процесс рассмотрения дела при отсутствии тождественных дел
14,Судья,Информация о наличии тождественного дела,Результат оценки доказательств,ТБП59.Оценить доказательства по делу,—,"Типовой процесс ""Оценить доказательства по делу"""
15,Судья,—,—,Найденное дело тождественно настоящему делу? Эксклюзивный шлюз,—,Найденное дело тождественно настоящему делу? Эксклюзивный шлюз
16,Судья,—,—,Установлена тождественность дел,—,"Завершение процесса. Окончание процесса проверки с выводом о наличии тождественности дел, подготовка к прекращению производства по делу"
17,Судья,—,—,Не установлено тождественности дел,—,"Завершение процесса. Окончание процесса проверки с выводом об отсутствии тождественности дел, продолжение рассмотрения дела."
