№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (Взыскатель/должник),Необходимость оспаривания действий пристава,—,"Возникла необходимость подать заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя",—,"Заявитель принимает решение о необходимости оспаривания постановлений, действий (бездействия) судебного пристава-исполнителяПостановления, действия (бездействие) судебного пристава-исполнителя и иных должностных лиц ФССП России могут быть оспорены в суде как сторонами исполнительного производства (взыскателем и должником), так и иными лицами, которые считают, что нарушены их права и законные интересы, созданы препятствия к осуществлению ими прав и законных интересов либо на них незаконно возложена какая-либо обязанность (часть 1 статьи 218, статьи 360 КАС РФ, часть 1 статьи 198 АПК РФ, часть 1 статьи 121 Закона об исполнительном производстве)."
1,Заявитель (Взыскатель/должник),Решение об оспаривании,"Заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя",ТБП7.Подать документы в суд,"10 дней со дня, когда заявителю стало известно о нарушении его прав и законных интересов","Переход к типовому процессу ""Подать документ в суд"". В результате данного ТП Заявитель подает заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя в арбитражный судАдминистративное исковое заявление, заявление (далее - заявление) об оспаривании постановления, действий (бездействия) судебного пристава-исполнителя подается в суд, арбитражный суд в течение десяти дней со дня, когда гражданину, организации стало известно о нарушении их прав и законных интересов (часть 3 статьи 219 КАС РФ, часть 4 статьи 198 АПК РФ и статья 122 Закона об исполнительном производстве). Пропуск срока на обращение в суд не является основанием для отказа в принятии заявления судом общей юрисдикции или возвращения заявления арбитражным судом.Если постановление, действия (бездействие) судебного пристава-исполнителя были обжалованы в порядке подчиненности, то судам общей юрисдикции следует учитывать положения части 6 статьи 219 КАС РФ о том, что несвоевременное рассмотрение или нерассмотрение жалобы вышестоящим органом, вышестоящим должностным лицом свидетельствуют о наличии уважительной причины пропуска срока обращения в суд.Заявление об оспаривании постановлений должностных лиц службы судебных приставов, их действий (бездействия) государственной пошлиной не облагается (ч.2 ст.329 АПК РФ)."
2,Заявитель (Взыскатель/должник),"","",Завершение процесса,"",Завершение процесса
3,Канцелярия суда,"Заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя","","Поступило заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя",—,"Канцелярия суда получает заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя"
4,Канцелярия суда,"Заявление об оспаривании постановлений, действий (бездействия) судебного пристава-исполнителя",Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
5,Судья,Зарегистрированное  заявление,-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления-Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". В результате данного ТП Судья рассматривает вопрос о принятии заявления к производству. Согласно ч.1 ст.197 АПК РФ заявление об оспаривании постановлений должностных лиц службы судебных приставов, их действий (бездействия) рассматривается в порядке искового производства. Принятие иска:По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству исковое заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия."
6,Судья,—,Определение о принятии заявления к производству,Заявление принято к рассмотрению?Эксклюзивный шлюз,—,"Судья принимает заявление к производству. Последствия принятия заявления к производству определяется согласно положениям ст. 127 АПК РФ. Копии определения о принятии заявления к производству арбитражного суда направляются лицам, участвующим в деле, не позднее следующего дня после дня его вынесения.Да: переход к шагу 28Нет: переход к шагу 7"
7,Судья,—,—,Ожидать окончания срока обжалования последнего СА по делу,—,Судья ожидает окончания срока обжалования последнего судебного акта по делу
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,—,—,Дело не принято к рассмотрению,—,"Судья принимает решение об отказе в принятии заявления. Согласно ч. 3 ст. 127.1 суд отказывает в принятии заявления, если имеется ставшее обязательным для сторон и принятое по спору между теми же сторонами, о том же предмете и по тем же основаниям решение третейского суда, за исключением случаев, если арбитражный суд отказал в выдаче исполнительного листа на принудительное исполнение решения третейского суда либо если арбитражный суд отменил указанное решение"
