№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Канцелярия суда,—,—,Появилась необходимость зарегистрировать дело/документ,—,Канцелярия суда определяет необходимость регистрации дела или документа по факту его поступления в суд.
1,Канцелярия суда,—,—,Какой документ подлежит регистрации?Эксклюзивный шлюз,—,"Канцелярия суда определяет тип документа: ПД/дело или документ по делу/иной вторичный документ. Если ПД/дело - переход к шагу 2, если документ по делу/иной вторичный документ переход к шагу 33"
2,Канцелярия суда,ПД/дело от нижестоящей инстанции,—,Поступило дело от нижестоящей инстанции?Эксклюзивный шлюз,—,"Если дело поступило в суд из нижестоящей инстанции, то «Да» - переход к шагу 25, Если «Нет» - переход к шагу 3"
3,Канцелярия суда,ПД,—,ТБП45.Проверить тождественность,—,"Переход к типовому процессу «Проверить тождественность». Тождественными дела являются, когда в производстве суда уже имеется дело по спору между теми же лицами, о том же предмете и по тем же основаниям (п. 1 ч. 1 ст. 148 АПК РФ). В рамках процесса судья выявляет факт или отсутствие факта тождественности дел."
4,Канцелярия суда,Результат проверки тождественности,—,Установлена идентичность?Эксклюзивный шлюз,—,"Канцелярия суда проверяет результат проверки тождественности. Если «Да» - переход к шагу 21, Если «Нет» - переход к шагу 5"
5,Канцелярия суда,—,—,Определить тип документа по классификатору,—,"Канцелярия суда выбирает необходимое справочное значение, отвечающее данному типу документа, в соответствии с классификатором"
6,Система,—,Заполненные поля,Заполнить обязательные поля для регистрации,—,Система автоматически заполняет обязательные поля для регистрации нового дела
7,Канцелярия суда,—,—,Найти ЛУВД в базе САС,—,"Канцелярия суда ищет лицо, участвующее в деле, в ИС суда для избежания занесения дублирующей информации"
8,Канцелярия суда,—,—,ЛУВД найдено?Эксклюзивный шлюз,—,"Если ЛУВД уже занесено в систему, то «Да» - переход к шагу 10, Если «Нет» - переход к шагу 9"
9,Канцелярия суда,—,Зарегистрированные данные ЛУВД,Зарегистрировать новое ЛУВД,—,"Канцелярия суда регистрирует новое лицо, участвующее в деле, в системе."
10,Канцелярия суда,—,—,Эксклюзивный шлюз,—,Закрывающий шлюз для шага 8 процесса.
11,Система,—,—,Определить вид спора,—,Система автоматически определяет вид спора для дальнейшего занесения информации в систему
12,Система,—,—,Указать вид спора и специализацию дела,—,Система автоматически указывает вид спора и специализацию дела в системе
13,Система,"Данные о деле, внесенные сотрудником канцелярии",Электронная регистрационная карточка,Сформировать карточку дела,—,Система автоматически формирует электронную регистрационную карточку дела с сохранением всех внесенных ранее данных о деле
14,Система,—,—,Сформировать протокол проверки,—,Система автоматически формирует протокол проверки
15,Система,—,—,Поставить задачу на валидацию,—,Система автоматически ставит задачу на валидацию
16,Канцелярия суда,—,—,ТБП139.Проверить выводы системы,—,Канцелярия суда проверяет выводы системы по результатам анализа.
17,Канцелярия суда,—,—,Зарегистрировать дело,—,Канцелярия суда регистрирует дело в системе
18,Система,Зарегистрированное дело,Номер дела,Присвоить номер дела,—,Система автоматически присваивает номер делу в соответствии с номенклатурой
19,Система,—,Штамп,Сформировать штамп,—,"Система автоматически заполняет штамп в материалах дела с указанием номера дела, даты и времени поступления, ФИО сотрудника, регистрировавшего документ"
20,Канцелярия суда,—,—,Дело зарегистрировано.Завершение процесса,—,Завершение процесса. Дело зарегистрировано
21,Система,—,—,Отменить регистрацию,—,Система автоматически отменяет регистрацию документа в связи с наличием тождественного дела
22,Система,—,—,Уведомить пользователя об отмене регистрации,—,Система автоматически уведомляет пользователя об отмене регистрации
23,Система,—,—,Зарегистрировать в существующее дело в качестве дополнения,—,Система автоматически регистрирует документ и необходимую информацию в карточке существующего дела в качестве дополнения
24,Канцелярия суда,—,—,Переход к шагу 3,—,Переход к шагу 3 процесса
25,Система,АЖ/КЖ от нижестоящей инстанции,—,Сформировать карточку дела,—,"Система автоматически вводит номер дела, по которому регистрируется апелляционная или кассационная жалоба, в карточку регистрируемой жалобы"
26,Система,Данные АЖ/КЖ,Электронная карточка дела,Присвоить номер дела,—,Система автоматически присваивает уникальный номер делу в соответствии с установленными правилами нумерации.
27,Система,Данные из нижестоящей инстанции,Загруженная информация,Загрузить информацию из карточки дела нижестоящей инстанции,—,"Система суда автоматически загружает необходимую информацию (в частности, информацию об обжалуемом СА) из карточки дела нижестоящей инстанции в случае, если карточка регистрируется через электронную приемную."
28,Система,—,Штамп,Сформировать штамп,—,"Система автоматически заполняет штамп на документе с указанием номера дела, даты и времени поступления, ФИО сотрудника."
29,Система,Данные системы,Протокол проверки в системе,Сформировать протокол проверки,—,Система автоматически формирует протокол проверки
30,Система,Протокол проверки в системе сформирован,Создание задачи,Поставить задачу на валидацию,—,Система автоматически ставит задачу на валидацию
31,Канцелярия суда,Задача на валидацию,Решение пользователя,ТБП139.Проверить выводы системы,—,Канцелярия суда проверяет выводы системы по результатам анализа.
32,Канцелярия суда,Решение пользователя,—,Дело зарегистрировано.Завершение процесса,—,Завершение процесса. Дело зарегистрировано
33,Система,Поступивший документ,—,Определить тип документа по классификатору,—,"Система автоматически выбирает необходимое справочное значение, отвечающее данному типу документа, в соответствии с классификатором"
34,Система,—,—,Найти ЛУВД в базе САС,—,"Система автоматически ищет лицо, участвующее в деле, в ИС суда для избежания занесения дублирующей информации"
35,Канцелярия суда,Результат поиска ЛУВД,—,ЛУВД найдено?Эксклюзивный шлюз,—,"Если ЛУВД уже занесено в систему, то «Да» - переход к шагу 38, Если «Нет» - переход к шагу 36"
36,Система,—,—,Поставить задачу на сотрудника,—,Система автоматически ставит задачу на сотрудника
37,Канцелярия суда,—,Зарегистрированные данные ЛУВД,Зарегистрировать новое ЛУВД,—,"Канцелярия суда регистрирует новое лицо, участвующее в деле, в системе."
