№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,—,—,Возникла необходимость проверить ЮЛ на соответствие признакам стратегической организации,—,"Судья принимает решение о необходимости проверки соответствия юридического лица признакам стратегической организации.Согласно ст.190 Федерального закона от 26.10.2002 N 127-ФЗ (ред. от 31.07.2025): Для целей настоящего Федерального закона под стратегическими предприятиями и организациями понимаются:федеральные государственные унитарные предприятия и открытые акционерные общества, акции которых находятся в федеральной собственности и которые осуществляют производство продукции (работ, услуг), имеющей стратегическое значение для обеспечения обороноспособности и безопасности государства, защиты нравственности, здоровья, прав и законных интересов граждан Российской Федерации, а также иные организации в случаях, предусмотренных федеральным законом;организации оборонно-промышленного комплекса - производственные, научно-производственные, научно-исследовательские, проектно-конструкторские, испытательные и другие организации, осуществляющие работы по обеспечению выполнения государственного оборонного заказа."
1,Система,—,—,Найти ЮЛ в перечне,—,"Система ищет проверяемое юридическое лицо в перечне стратегических организаций. Автоматизация: автоматический поиск по перечню с использованием ИНН, ОГРН, наименования организации. Интеграция с сайтом правительства РФ, поиск в списке стратегических организаций"
2,Судья,—,—,ЮЛ найдено? Эксклюзивный шлюз,—,Судья принимает решение на основе результата поиска.
3,Судья,—,—,Завершение процесса. ЮЛ соответствует признакам стратегической организации,—,"Судья принимает решение о том, что юридическое лицо соответствует признакам стратегической организации"
4,Судья,—,—,Суду известны данные о соответствии признакам стратегической организации?Эксклюзивный шлюз,—,"Судья оценивает, известны ли суду дополнительные данные о соответствии организации признакам стратегической организации."
5,Судья,—,Решение о несоответствии,Завершение процесса. ЮЛ не соответствует признакам стратегической организации,—,"Судья принимает решение о том, что юридическое лицо не соответствует признакам стратегической организации"
6,Судья,—,—,Необходимо уточнить данные? Эксклюзивный шлюз,—,Судья принимает решение о необходимости уточнения данных о соответствии организации признакам стратегической организации.
7,Помощник судьи суда по делам о банкротстве,—,Запрос в ведомство,ТБП23.Направить запрос в ведомство,—,"Переход к типовому процессу «Направить запрос в ведомство». Помощник судьи суда по делам о банкротстве направляет запрос в соответствующее ведомство для получения дополнительной информации о соответствии организации признакам стратегической организации. Результатом данного технологического процесса станет оформление и направление официального запроса в ведомство с получением ответной информации. Автоматизация: автоматическое формирование и отправка запросов в ведомства через СМЭВ, интеграция с базами данных ведомств"
8,Помощник судьи суда по делам о банкротстве,—,—,Параллельный шлюз ,—,Параллельный шлюз для координации процессов.
9,Система,Ответ от ведомства,—,Приобщить к материалам дела,—,Система приобщает полученные от ведомства документы к материалам дела
10,Помощник судьи суда по делам о банкротстве,—,—,Завершение процесса. Материалы приобщены к делу,"",Завершение процесса. Материалы приобщены к делу
11,Система,—,Информация для судьи,Уведомить судью,—,Система докладывает судье о результатах запроса в ведомство и полученной информации
12,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
13,Судья,"",Решение о соответствии,Решить вопрос о соответствии стратегической организации,—,Судья на основе имеющейся информации принимает решение о соответствии юридического лица признакам стратегической организации
14,Судья,"","",ЮЛ является стратегической организацией? Эксклюзивный шлюз,—,"Судья принимает окончательное решение о том, является ли юридическое лицо стратегической организацией."
15,Судья,"","",Завершение процесса.ЮЛ не соответствует признакам стратегической организации,—,"Судья принимает окончательное решение о том, что юридическое лицо не соответствует признакам стратегической организации"
16,Судья,"","",Завершение процесса.ЮЛ  соответствует признакам стратегической организации,—,"Судья принимает окончательное решение о том, что юридическое лицо соответствует признакам стратегической организации"
