№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья арбитражного суда,Необходимость рассмотрения вопроса об освобождении,—,Возникла необходимость рассмотреть вопрос об освобождении от дальнейшего исполнения требований кредиторов,—,Судья арбитражного суда принимает решение о необходимости рассмотрения вопроса об освобождении гражданина от исполнения обязательств
1,Система,Изученный отчет АУ,Решение о завершении расчетов,Расчеты с кредиторами завершены? (Exclusive Gateway),—,Расчеты с кредиторами завершены? Автоматический анализ отчета с использованием ИИ для определения завершенности расчетов(Exclusive Gateway)
2,Судья арбитражного суда,Решение о незавершенности расчетов,—,Завершение процесса.Необходимость продления реализации,—,Завершение процесса.Необходимость продления реализации
3,Система,—,—,Начать анализ по делу,"",Система начинает анализ по шагам
4,Судья арбитражного суда,Решение о завершении расчетов,—,Параллельный шлюз для координации процессов (Parallel Gateway),—,Параллельный шлюз для координации процессов.
5,Система,Принятые по делу СА,Результат анализа,Проанализировать принятые по делу СА,—,Система анализирует принятые по делу СА
6,Система,Решение о завершении расчетов,Проверка непредоставления сведений,Проверить непредоставление сведений АУ,—,"Система арбитражного суда проверяет факт непредоставления арбитражным управляющим сведений, необходимых для рассмотрения дела. Автоматическая проверка полноты документов в деле"
7,Судья арбитражного суда,Результат проверки непредоставления сведений,Решение о факте непредоставления,Факт непредоставления установлен СА? (Exclusive Gateway),—,Факт непредоставления установлен СА? (Exclusive Gateway)
8,Система,—,—,Сохранить данные о необходимости вынесения СА,—,Система сохраняет данные о необходимости вынесения СА
9,Судья арбитражного суда,Результаты проверки непредоставления,—,Объединяющий шлюз (Exclusive Gateway),—,Объединяющий шлюз
10,Система,Принятые по делу СА,Результат анализа,Проанализировать принятые по делу СА,—,Система анализирует принятые по делу СА
11,Система,Решение о завершении расчетов,Проверка недостоверности сведений,Проверить недостоверность сведений для АУ,—,Система арбитражного суда проверяет факт предоставления арбитражным управляющим недостоверных сведений. Автоматическая проверка достоверности сведений с использованием внешних источников
12,Судья арбитражного суда,Результат проверки недостоверности,Решение о факте недостоверности,Факт недостоверности установлен СА? (Exclusive Gateway),—,Факт недостоверности установлен СА? (Exclusive Gateway)
13,Система,—,—,Сохранить данные о необходимости вынесения СА,—,Система сохраняет данные о необходимости вынесения СА
14,Судья арбитражного суда,Результаты проверки недостоверности,—,Объединяющий шлюз (Exclusive Gateway),—,Объединяющий шлюз (Exclusive Gateway)
15,Судья арбитражного суда,—,—,ТБП23.Направить запрос в ведомство,—,"Типовой процесс ""Направить запрос в ведомство"""
16,Система,Поступивший СА,—,Проанализировать поступивший из ведомства СА,—,Система анализирует поступивший СА
17,Система,—,Проверка привлечения к уголовной ответственности,Проверить привлечение к уголовной ответственности должника,—,Система проверяет привлечение к уголовной ответственности должника
18,Судья арбитражного суда,Результат проверки привлечения к УО,Решение о вступлении СА в ЗС,СА о привлечении к уголовной ответственности вступил в ЗС? (Exclusive Gateway),—,СА о привлечении к уголовной ответственности вступил в ЗС? (Exclusive Gateway)
19,Судья арбитражного суда,Решение о невступлении СА в ЗС,—,Переход в шаг 38,—,Судья арбитражного суда переходит к финальному решению об освобождении
20,Судья арбитражного суда,Решение о вступлении СА в ЗС,Решение о связи с делом о банкротстве,Преступление совершено в данном деле о банкротстве? (Exclusive Gateway),—,Преступление совершено в данном деле о банкротстве? (Exclusive Gateway)
21,Судья арбитражного суда,Решение о несвязи с делом,—,Переход в шаг 38,—,Судья арбитражного суда переходит к финальному решению об освобождении
22,Судья арбитражного суда,—,—,ТБП23.Направить запрос в ведомство,—,"Типовой процесс ""Направить запрос в ведомство"""
23,Система,Поступивший СА,—,Проанализировать поступивший из ведомства СА,—,Система анализирует поступивший СА
24,Система,—,Проверка привлечения к уголовной ответственности,Проверить привлечение к административной  ответственности должника,—,Система проверяет привлечение к административной ответственности должника
25,Судья арбитражного суда,Результат проверки привлечения АО,Решение о вступлении СА в ЗС,Акт о привлечении к административной ответственности вступил в ЗС? (Exclusive Gateway),—,СА о привлечении к административной ответственности вступил в ЗС? (Exclusive Gateway)
26,Судья арбитражного суда,Решение о невступлении акта в ЗС,—,Переход в шаг 38,—,Судья арбитражного суда переходит к финальному решению об освобождении
27,Судья арбитражного суда,Решение о вступлении акта в ЗС,Решение о связи с делом о банкротстве,Правонарушение совершено в данном деле о банкротстве? (Exclusive Gateway),—,Правонарушение совершено в данном деле о банкротстве? (Exclusive Gateway)
28,Судья арбитражного суда,Решение о несвязи с делом,—,Переход в шаг 38,—,Судья арбитражного суда переходит к финальному решению об освобождении
29,Судья арбитражного суда,Решение о завершении расчетов,Проверка законности действий,Проверить законность действий гражданина,—,Судья арбитражного суда проверяет факт совершения гражданином незаконных действий в деле о банкротстве. Автоматическая проверка через базы данных судебных решений
