№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Появилась необходимость выбрать эксперта/специалиста/переводчикаСтартовое событие,-,"У суда возникла необходимость выбрать эксперта, специалиста или переводчика для участия в ходе рассмотрения дела.Экспертом является лицо, обладающее специальными знаниями по касающимся рассматриваемого дела вопросам и назначенное судом для дачи заключения. (ч. 1 ст. 55 АПК РФ).Специалистом является лицо, обладающее необходимыми знаниями по соответствующей специальности, осуществляющее консультации по касающимся рассматриваемого дела вопросам. (ч. 1 ст. 55.1 АПК РФ)Переводчиком является лицо, которое свободно владеет языком, знание которого необходимо для перевода в процессе осуществления судопроизводства, и привлечено арбитражным судом к участию в арбитражном процессе (ч. 1 ст. 57 АПК РФ).В рамках процесса происходит непосредственно выбор наиболее подходящего специалиста для конкретного дела."
1,Судья,Кандидатура (при наличии),-,В материалах дела есть представленная кандидатура эксперта/специалиста/переводчика?Эксклюзивный шлюз,-,"Судья проверяет наличие уже представленной кандидатуры эксперта/специалиста/переводчика в материалах дела.Если да, то переход к шагу 5. Если нет, то переход к шагу 2"
2,Судья,-,-,Узнать предпочтения кандидатуры/экспертного учреждения,-,"Если кандидатура не предложена ранее, судья узнает у лиц, участвующих в деле, предпочтения по кандидатуре или конкретного экспертного учреждения."
3,ЛУВД,-,-,Появилась необходимость предложить эксперта/специалиста/переводчикаСтартовое событие,-,Стартовое событие: Появилась необходимость предложить эксперта/специалиста/переводчика
4,ЛУВД,-,-,Предложить кандидатуру,-,"Ручная задача: Предложить кандидатуруЛица, участвующие в деле, вправе ходатайствовать о привлечении в качестве экспертов указанных ими лиц или о проведении экспертизы в конкретном экспертном учреждении (ч. 3 ст. 82 АПК РФ)Лица, участвующие в деле, вправе предложить арбитражному суду кандидатуры переводчика (ч. 2 ст. 57 АПК РФ).ЛУВД предлагают предпочтительную им кандидатуру эксперта/специалиста/переводчика."
5,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
6,Судья,-,-,Узнать мнение сторон по кандидатуре,-,Судья узнает мнение сторон о предлагаемой кандидатуре.
7,ЛУВД,-,-,Высказать позицию по предложенной кандидатуре,-,ЛУВД высказывают мнение касаемо кандидатуры.
8,ЛУВД,-,-,Завершение процесса.,-,Завершение процесса. ЛУВД высказали мнение о кандидатуре
9,Судья,Кандидатура эксперта/специалиста/переводчика,Данные о кандидатуре зафиксированы в системе,Записать данные кандидатуры,-,Судья вносит данные кандидатуры в систему
10,Система,Данные о кандидатуре зафиксированы в системе,Результаты проверок сохранены в системе,Проверить кандидатуру по правилам,-,Система должна проверить предлагаемую кандидатуру по связям с ЛУВД в других делах и предоставить сведенья и рекомендации согласно специфики специалиста1. Отсутствие конфликтов интересов2. Отсутствие оснований для отвода
11,Система,Результаты проверок сохранены в системе,"Создание события с результатами проверок, отметка пользователя в событии",Сформировать рекомендацию,-,Система формирует рекомендацию на основании проверок и правил с уведомлением пользователя о созданном событии.
12,Судья,Уведомление,Вывод судьи о данных в рекомендации или отправка ошибок в техническую поддержку.,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы"""
13,Судья,-,-,Кандидатура согласована?Эксклюзивный шлюз,-,"Судья проверяет, согласована ли кандидатура между всеми ЛУВД.Если да, то переход к шагу 17.Если нет, то переход к шагу 14"
14,Судья,-,-,Рекомендовать кандидатуру,-,"Если ЛУВД не пришли к единому мнению по кандидатуре, судья выбирает кандидатуру по своему внутреннему убеждению и рекомендует ее лицам."
15,Судья,-,-,Узнать мнение сторон по кандидатуре,-,Судья повторно узнает мнение сторон о предлагаемой кандидатуре.
16,Судья,-,-,Кандидатура согласована?Эксклюзивный шлюз,-,"Судья проверяет, согласована ли предложенная им кандидатура между всеми ЛУВД.Если да, то переход к шагу 17.Если нет, то переход к шагу 18"
17,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
18,Судья,-,-,Назначить на усмотрение суда,-,"Если ЛУВД не могут прийти к консенсусу и предпочтениям по кандидатуре после рекомендаций судьи, судья утверждает кандидатуру по своему усмотрению и выбирает в системе кандидатуру экспертного учреждения"
19,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз для объединения потоков процесса
20,Судья,-,-,Завершение процесса. Эксперт/переводчик/специалист выбраныЗавершающее событие,-,Завершение процесса. Эксперт/переводчик/специалист выбраныЗавершающее событие
