№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
67,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","","",Есть ли основание для обжалования?Эксклюзивный шлюз,"","Лица, которые могут инициировать или инициировали разбирательство в иностранном суде определяет есть ли основания для обжалования. Да: переход к шагу 68Нет: переход к шагу 69"
68,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","","",Переход к процессу кассационного обжалования,1 месяц со дня вынесения определения,Переход к процессу кассационного обжалования. Согласно ч.9 ст.248.2 АПК РФ определение может быть обжаловано в кассационном порядке в арбитражный суд округа в течение одного месяца со дня вынесения определения
69,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","","","Исполнить СА, соблюдать ограничения на рассмотрение в иностранном суде","","Исполнить СА, соблюдать ограничения на рассмотрение в иностранном суде"
70,Судья,—,—,Ожидать 6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления в законную силу СА
71,Заявитель,"",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,10 дней со дня поступления заявления,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
72,Заявитель,Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель формирует заявление об исправлении описок/опечаток и направляет его в суд"
73,Заявитель,—,—,Завершение процесса,—,Завершение процесса
74,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде","",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,10 дней со дня поступления заявления,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
75,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лица, которые могут инициировать или инициировали разбирательство в иностранном суде формируют заявление об исправлении описок/опечаток и направляет его в суд"
76,"Лица, которые могут инициировать или инициировали разбирательство в иностранном суде",—,—,Завершение процесса,—,Процесс подачи заявления завершен
77,Судья,Заявление об исправлении описок/опечаток,—,Поступило заявление об исправлении описок/опечаток,—,Судья получает заявление об исправлении описок
78,Судья,—,Определение об исправлении,ТБП52.Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос об исправлении описок/опечаток судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц. При этом содержание СА по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
79,Судья,—,—,Вопрос об исправлении ошибок рассмотрен судом,—,Процесс рассмотрения заявления завершен
80,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения",Возможна автоматизация передачи дела в архив
81,Судья,"","",Дело передано в архив,"",Завершение процесса
