№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья суда первой инстанции,Необходимость проведения судебного заседания с использованием ВКС,—,Появилась необходимость провести ВКС,—,Судья суда первой инстанции принимает решение о необходимости проведения судебного заседания с использованием видеоконференц-связи
1,Судья суда первой инстанции,Решение о проведении ВКС,Объявление о проведении СЗ с использованием ВКС,Объявить о проведении СЗ с использованием ВКС,—,Судья суда первой инстанции объявляет о проведении судебного заседания с использованием видеоконференц-связи
2,Секретарь судебного заседания суда первой инстанции,Объявление о проведении ВКС,Звонок по ВКС,Произвести звонок,—,Секретарь судебного заседания суда первой инстанции производит звонок для установления видеоконференц-связи. Автоматический звонок по предустановленным контактам
3,"Секретарь судебного заседания суда, содействующего проведению СЗ",Звонок по ВКС,Принятие звонка,Поступил звонок,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, принимает входящий звонок по видеоконференц-связи"
4,"Секретарь судебного заседания суда, содействующего проведению СЗ",Входящий звонок,Принятый звонок,Принять звонок,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, принимает звонок"
5,Секретарь судебного заседания суда первой инстанции,Принятый звонок,Проверка технического состояния,"",—,"Секретарь судебного заседания суда первой инстанции проверяет, установлено ли соединение и исправна ли вся аппаратура. "
6,Секретарь судебного заседания суда первой инстанции,Технические неисправности,Переход к типовому процессу «Работа технической поддержки по ВКС»,Передать в работу ТП по ВКС,—,Результатом данного технологического процесса станет устранение технических неисправностей системы видеоконференц-связи специалистами технической поддержки
7,"Секретарь судебного заседания суда, содействующего проведению СЗ",Принятый звонок,Проверка технического состояния,Соединение установлено и вся аппаратура в порядке? (Exclusive Gateway),—,"Секретарь судебного заседания суда, содействующего проведению СЗ, проверяет, установлено ли соединение и исправна ли вся аппаратура. "
8,"Секретарь судебного заседания суда, содействующего проведению СЗ",Технические неисправности,Переход к типовому процессу «Работа технической поддержки по ВКС»,Передать в работу ТП по ВКС,—,Результатом данного технологического процесса станет устранение технических неисправностей системы видеоконференц-связи специалистами технической поддержки
9,Секретарь судебного заседания суда первой инстанции,Результат работы технической поддержки,Проверка устранения неисправностей,Технические неисправности устранены? (Exclusive Gateway),—,"Секретарь судебного заседания суда первой инстанции проверяет, устранены ли технические неисправности. Автоматическая проверка статуса технических систем"
10,Секретарь судебного заседания суда первой инстанции,Неустраненные неисправности,Завершение процесса,Завершение процесса. СЗ с ВКС не состоялось,—,"Секретарь судебного заседания суда первой инстанции констатирует, что судебное заседание с видеоконференц-связью не состоялось из-за технических неисправностей"
11,Секретарь судебного заседания суда первой инстанции,Устраненные неисправности,Переход к следующему этапу,Эксклюзивный шлюз,—,Секретарь судебного заседания суда первой инстанции переходит к следующему этапу процесса
12,"Секретарь судебного заседания суда, содействующего проведению СЗ",Результат работы технической поддержки,Проверка устранения неисправностей,Технические неисправности устранены? (Exclusive Gateway),—,"Секретарь судебного заседания суда, содействующего проведению СЗ, проверяет, устранены ли технические неисправности. Автоматическая проверка статуса технических систем"
13,"Секретарь судебного заседания суда, содействующего проведению СЗ",Неустраненные неисправности,Завершение процесса,Завершение процесса. Судебное поручение не исполнено,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, констатирует, что судебное поручение не исполнено из-за технических неисправностей"
14,"Секретарь судебного заседания суда, содействующего проведению СЗ",Устраненные неисправности,Переход к следующему этапу,Эксклюзивный шлюз,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, переходит к следующему этапу процесса"
15,Секретарь судебного заседания суда первой инстанции,Готовность к проведению ВКС,Уведомление судьи,Сообщить судье о начале ВКС,—,Секретарь судебного заседания суда первой инстанции сообщает судье о готовности к началу видеоконференц-связи
16,"Секретарь судебного заседания суда, содействующего проведению СЗ",Готовность к проведению ВКС,Включение записи,Включить запись процесса,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, включает запись процесса видеоконференц-связи"
17,"Секретарь судебного заседания суда, содействующего проведению СЗ",Включенная запись,Фиксация процесса,Фиксировать ход процесса,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, фиксирует ход процесса видеоконференц-связи"
18,"Секретарь судебного заседания суда, содействующего проведению СЗ",Зафиксированный процесс,Уведомление судьи,Сообщить судье о начале ВКС,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, сообщает судье о готовности к началу видеоконференц-связи"
19,"Судья суда, содействующего проведению СЗ",Уведомление о готовности ВКС,Открытие судебного заседания,Открыть СЗ,—,"Судья суда, содействующего проведению СЗ, открывает судебное заседание"
20,"Секретарь судебного заседания суда, содействующего проведению СЗ",Открытое судебное заседание,Доклад о явке,Доложить о явке сторон,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, докладывает судье о явке сторон"
21,"Судья суда, содействующего проведению СЗ",Доклад о явке,Проверка явки,Явка обеспечена? (Exclusive Gateway),—,"Судья суда, содействующего проведению СЗ, проверяет, обеспечена ли явка сторон. Да: переход к шагу 23, Нет: переход к шагу 22"
22,"Судья суда, содействующего проведению СЗ",Необеспеченная явка,Завершение процесса,Завершение процесса. Судебное поручение не исполнено,—,"Судья суда, содействующего проведению СЗ, констатирует, что судебное поручение не исполнено из-за необеспеченной явки сторон"
23,"Судья суда, содействующего проведению СЗ",Обеспеченная явка,Поручение ведения протокола,Поручить секретарю СЗ ведение протокола,—,"Судья суда, содействующего проведению СЗ, поручает секретарю судебного заседания ведение протокола"
24,Судья суда первой инстанции,Уведомление о готовности ВКС,Заслушивание информации о явке,Заслушать информацию о явке,—,Судья суда первой инстанции заслушивает информацию о явке сторон
25,Судья суда первой инстанции,Информация о явке,Проверка явки,Явка обеспечена? (Exclusive Gateway),—,"Судья суда первой инстанции проверяет, обеспечена ли явка сторон. Да: переход к шагу 27, Нет: переход к шагу 26"
26,Судья суда первой инстанции,Необеспеченная явка,Завершение процесса,Завершение процесса. СЗ с ВКС не состоялось,—,"Судья суда первой инстанции констатирует, что судебное заседание с видеоконференц-связью не состоялось из-за необеспеченной явки сторон"
27,Судья суда первой инстанции,Обеспеченная явка,Ожидание завершения СЗ,Ожидать завершения СЗ,—,Судья суда первой инстанции ожидает завершения судебного заседания
28,"Секретарь судебного заседания суда, содействующего проведению СЗ",Поручение ведения протокола,Параллельное выполнение задач,— (Parallel Gateway),—,"Параллельный шлюз для координации процессов. Да: переход к шагу 29, Нет: переход к шагу 31"
29,"Судья суда, содействующего проведению СЗ",Параллельное выполнение,Удаление из процесса,Удалиться,—,"Судья суда, содействующего проведению СЗ, удаляется из процесса видеоконференц-связи"
30,"Судья суда, содействующего проведению СЗ",Удаление из процесса,Завершение участия,Завершение процесса. СЗ с ВКС проведено,—,"Судья суда, содействующего проведению СЗ, завершает участие в процессе"
31,"Секретарь судебного заседания суда, содействующего проведению СЗ",Параллельное выполнение,Продолжение фиксации,Продолжать фиксировать ход процесса ВКС,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, продолжает фиксировать ход процесса видеоконференц-связи"
32,"Секретарь судебного заседания суда, содействующего проведению СЗ",Продолжение фиксации,Выключение записи,Выключить запись,—,"Секретарь судебного заседания суда, содействующего проведению СЗ, выключает запись процесса"
33,"Секретарь судебного заседания суда, содействующего проведению СЗ",Выключенная запись,Переход к типовому процессу «Оформить протокол СЗ»,ТБП69.Оформить протокол СЗ,—,Результатом данного технологического процесса станет оформление протокола судебного заседания с использованием видеоконференц-связи
34,"Секретарь судебного заседания суда, содействующего проведению СЗ",Оформленный протокол,Завершение процесса,"Завершение процесса. Запись закончена, протокол оформлен",—,"Секретарь судебного заседания суда, содействующего проведению СЗ, завершает процесс"
35,Секретарь судебного заседания суда первой инстанции,Завершение СЗ,Завершение звонка,Завершить звонок,—,Секретарь судебного заседания суда первой инстанции завершает звонок по видеоконференц-связи
36,Секретарь судебного заседания суда первой инстанции,Завершенный звонок,Завершение процесса,Завершение процесса. СЗ с ВКС проведено,—,"Секретарь судебного заседания суда первой инстанции констатирует, что судебное заседание с видеоконференц-связью проведено"
