№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Заявитель (административный орган, прокурор)",Необходимость привлечения к административной ответственности,—,Появилась необходимость подать заявление о привлечении к административной ответственности,—,"Заявитель принимает решение о необходимости подачи заявления о привлечении к административной ответственности.Согласно положениям ст. 202 АПК РФ Дела о привлечении к административной ответственности юридических лиц и индивидуальных предпринимателей в связи с осуществлением ими предпринимательской и иной экономической деятельности, отнесенные федеральным законом к компетенции арбитражных судов, рассматриваются по общим правилам искового производства, предусмотренным настоящим Кодексом, с особенностями, установленными в настоящей главе и федеральном законе об административных правонарушениях. Производство по делам о привлечении к административной ответственности возбуждается на основании заявлений органов и должностных лиц, уполномоченных в соответствии с федеральным законом составлять протоколы об административных правонарушениях (далее в параграфе 1 главы 25 настоящего Кодекса - административные органы) и обратившихся с требованием о привлечении к административной ответственности указанных в части 1 настоящей статьи лиц, осуществляющих предпринимательскую и иную экономическую деятельность"
1,"Заявитель (административный орган, прокурор)",Заявление о привлечении к административной ответственности,"",ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель подает в Судья заявление о привлечении к административной ответственности с приложениями. Согласно ст. 203 АПК РФ Заявление о привлечении к административной ответственности подается в Судья по адресу или месту жительства лица, в отношении которого составлен протокол об административном правонарушении. В случае, если лицо, в отношении которого составлен протокол об административном правонарушении, привлекается за административное правонарушение, совершенное вне места его нахождения или места его жительства, указанное заявление может быть подано в Судья по месту совершения административного правонарушения. Подача документов в электронном виде через форму подачи документов в суд.К заявлению предъявляются требования ст. 204 АПК РФ"
2,"Заявитель (административный орган, прокурор)","","",Завершение процесса,"",Завершение процесса
3,Отдел делопроизводства,Заявление о привлечении к административной ответственности,Зарегистрированное Заявление ,Поступило заявление о привлечении к административной ответственности,"",Автоматизация регистрации и присвоения номера дела
4,Отдел делопроизводства,Заявление о привлечении к административной ответственности,Зарегистрированное дело,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, автоматическое распределение на судью, задача на судьюПри поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистриров"
5,Судья,Заявление о привлечении к административной ответственности,-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления- Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,в течение 5 дней со дня поступления,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". Система учитывает начальную валидацию, проведенную на этапе отправления документа. Все формальные требования уже должны быть выполнены, если документ принят системой.Автоматические проверки соблюдения требований к заявлению, задача на судью/помощника судьи , валидация проверок , формирование проектов судебных актов по вопросу о принятии (Оставление без движения, возвращение, отказ в принятии, принятие), подбор времени и места проведения СЗ, электронное извещение ЛУВД"
6,Судья,Судебный акт по вопросу о принятии,—,Какой исход рассмотрения вопроса о принятии?Эксклюзивный шлюз,—,"Судья определяет какой исход рассмотрения вопроса о принятии Переход к шагам 7,11,13.Система в зависимости от кода документа, который выбрал судья на предыдущем шаге, определяет ветку рассмотрения"
7,Судья,"",Определение об отказе в принятии,Не принято,—,Судья принимает решение об отказе в принятии заявления к производству
8,Судья,—,—,6 месяцев с даты вступления в законную силу СА,6 месяцев с даты вступления в законную силу СА,Ожидание истечения срока для обжалования определения об отказе
9,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения",Возможна автоматизация передачи дела в архив
10,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
11,Судья,Заявление о привлечении к административной ответственности,—,Принято в порядке упрощенного производства,—,Судья принимает решение о рассмотрении дела в порядке упрощенного производства
12,Судья,—,—,Переход к процессу упрощенного производства,—,Дело передается в процесс упрощенного производства
13,Судья,—,—,Принято в  порядке гл.25 АПК,—,"Судья принимает решение о рассмотрении дела в порядке главы 25 АПК РФ Согласно ч6, ст 3 ПП ВАС РФ от 2 июня 2004 г. N 10При поступлении заявления о привлечении к административной ответственности за совершение правонарушения, рассмотрение дела о котором не отнесено частью 3 статьи 23.1 КоАП РФ к подведомственности арбитражного суда, суд выносит определение о возвращении заявления применительно к пункту 1 части 1 статьи 129 АПК РФ.В случае установления неподведомственности дела на стадии его рассмотрения суд, руководствуясь пунктом 1 части 1 статьи 150 АПК РФ, выносит определение о прекращении производства в арбитражном суде и возвращении протокола об административном правонарушении и прилагаемых к нему документов административному органу. Вынесение указанного определения не является основанием для прекращения производства по делу об административном правонарушении и влечет лишь прекращение рассмотрения заявления административного органа в арбитражном суде."
14,Судья,—,—,Переход из упрощенного порядка,—,"Дело возвращается из упрощенного порядка в обычныйПодбор времени и места проведения СЗ, электронное извещение ЛУВД, формирование проекта судебного акта о переходе в процессах упрощенного и особого порядка"
15,Иные ЛУВД (в т.ч.Потерпевший),"","",Получено уведомление о принятии,"",Должник получает уведомление о принятии
16,Иные ЛУВД (в т.ч.Потерпевший),—,—,Ознакомиться с материалами дела в ЛК,—,Должник знакомится с определением о принятии
17,Иные ЛУВД (в т.ч.Потерпевший),—,—,Необходимо подать отзыв?Эксклюзивный шлюз,—,"Должник определяет, необходимо ли подать отзыв на заявлениеЭксклюзивный шлюзДа: переход к шагу 19Нет: переход к шагу 18"
18,Иные ЛУВД (в т.ч.Потерпевший),"","",Лицо ознакомлено.,"",Завершение процесса
19,Иные ЛУВД (в т.ч.Потерпевший),—,Отзыв на заявление,ТБП7.Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает отзыв на заявление Подача документов в электронном виде через форму подачи документов в суд"
20,Система,"","",Ограничить подачу,"",Система ограничивает подачу документов 
21,Система,"","",Ограничена подача в связи с окончанием срока установленного судом.,"",Завершение процесса
22,Иные ЛУВД (в т.ч.Потерпевший),"","",Завершение процесса,"",Завершение процесса
23,"Лицо, в отношении которого составлен протокол","","",Получено уведомление о принятии,"","Лицо, в отношении которого составлен протокол получает уведомление о принятии"
24,"Лицо, в отношении которого составлен протокол",—,—,Ознакомиться с материалами дела в ЛК,—,Должник знакомится с определением о принятии
25,"Лицо, в отношении которого составлен протокол",—,—,Необходимо подать отзыв?Эксклюзивный шлюз,—,"Должник определяет, необходимо ли подать отзыв на заявлениеЭксклюзивный шлюзДа: переход к шагу 27Нет: переход к шагу 26"
26,"Лицо, в отношении которого составлен протокол","","",Лицо ознакомлено.,"",Завершение процесса
27,"Лицо, в отношении которого составлен протокол",—,Отзыв/объяснение по факту привлечения к ответственности,ТБП7.Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает отзыв на заявление Подача документов в электронном виде через форму подачи документов в суд"
28,Система,"","",Ограничить подачу,"",Система ограничивает подачу документов 
29,Система,"","",Ограничена подача в связи с окончанием срока установленного судом.,"",Завершение процесса
30,"Лицо, в отношении которого составлен протокол","","",Завершение процесса,"",Завершение процесса
31,Отдел делопроизводства,Отзыв на Заявление Отзыв/объяснение по факту привлечения к ответственности,Зарегистрированный документ,Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
32,Отдел делопроизводства,Отзыв на Заявление Отзыв/объяснение по факту привлечения к ответственности,Зарегистрированный документ ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
33,Помощник судьи/Секретарь с/з,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
34,Иные ЛУВД (в т.ч.Потерпевший),—,—,Возникла необходимость заявить ходатайство о рассмотрении дела в свое отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
35,Иные ЛУВД (в т.ч.Потерпевший),—,Ходатайство о рассмотрении дела в свое отсутствие,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ","Переход к типовому процессу ""Подать документы в суд"", в рамках которого Иные ЛУВД (в т.ч.Потерпевший) формируют и направляют ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд"
36,Иные ЛУВД (в т.ч.Потерпевший),—,—,Завершение процесса,—,Завершение процесса
37,"Лицо, в отношении которого составлен протокол",—,—,Возникла необходимость заявить ходатайство о рассмотрении дела в свое отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
38,"Лицо, в отношении которого составлен протокол","",Ходатайство о рассмотрении дела в свое отсутствие,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ","Переход к типовому процессу ""Подать документы в суд"", в рамках которого Лицо, в отношении которого составлен протокол формирует и направляет ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд"
39,"Лицо, в отношении которого составлен протокол","",—,Завершение процесса,—,Завершение процесса
40,"Заявитель (административный орган, прокурор)","",—,Возникла необходимость заявить ходатайство о рассмотрении дела в свое отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
