№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Лицо, участвующее в деле",—,—,Появилась необходимость ускорить исполнение судебного акта,—,"У лица, участвующего в деле, возникает необходимость подать заявление об ускорении исполнения СА. Рассмотрение судом такого заявления осуществляется по правилам, предусмотренным ст. 6.1. АПК РФ."
1,"Лицо, участвующее в деле",—,Заявление об ускорении исполнения судебного акта,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого лицо направляет заявление об ускорении СА в суд."
2,"Лицо, участвующее в деле",—,—,Документы поданы в судЗавершение процесса,—,Документы поданы в судЗавершение процесса
3,Канцелярия,Заявление об ускорении исполнения судебного акта,Уведомление пользователю,Поступило заявление об ускорении исполнения судебного акта,—,Канцелярия получает заявление в системе.
4,Канцелярия,Заявление об ускорении исполнения судебного акта,Зарегистрированное заявление об ускорении исполнения судебного акта,ТБП53.Принять входящий документ,—,"Переход к типовому процессу «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе."
5,Председатель,Заявление об ускорении исполнения судебного акта,Уведомление о поступлении нового документа,Ознакомиться с заявлением,—,"Председатель в системе получает уведомление в номенклатурном деле с данными о заявление об ускорении и проводит его первичный анализ, и ссылкой на судебное дело с доступом к нему."
6,Председатель,Материалы дела,—,Необходимо ознакомиться с делом?,—,Председатель изучает и анализирует переданные судьей материалы дела.
7,Председатель,Материалы дела,—,Ознакомиться с делом,—,Председатель изучает и анализирует переданные судьей материалы дела.
8,Председатель,—,—,Эксклюзивный шлюз,—,Эксклюзивный закрывающий шлюз
9,Председатель,—,Запуск процесса анализа,Запустить функцию анализа дела (ускорить исполнение),—,Председатель в системе запускает анализ на основе аналогичных дел/заявлений и сроков.
10,Система,Документ/дело и аналогичные документы/дела в системе,Выводы системы,Анализировать дело и СА,—,"Система на основе данных в системе арбитражного суда проверяет аналогичные заявления и дела, и сохраняет данные анализа"
