№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи,—,—,Появилась необходимость проверить статус исполнения ИЛ,—,Помощник судьи инициирует проверку статуса исполнения исполнительного листа
1,Помощник судьи,—,—,Проверить информацию об ИП,—,"Помощник судьи проверяет информацию об ИП. После выдачи исполнительного листа система начинает мониторить его статус через ФССП, актуальна информация заносится в карточку дела."
2,Система арбитражного суда,—,—,Вывести информацию о ходе ИП,—,"Система выводит информацию о ходе ИП. Система предоставляет данные, полученные в ходе парсинга сайта ФССП"
3,Помощник судьи,Сведения о ходе исполнительного производства от ФССП,—,Информации об исполнении достаточно? Эксклюзивный шлюз,—,"Если «Да» - переход к шагу 3, если «Нет» переход к шагу 6. Шаблон критериев достаточности сведений"
4,Помощник судьи,Сведения о ходе исполнительного производства от ФССП,—,Ознакомиться с информацией.,—,Помощник судьи ознакамливается с информацией
5,Помощник судьи,—,—,Завершение процесса,—,Завершение процесса
6,Помощник судьи,—,Запрос об уточнении информации о статусе исполнительного производства,ТБП23.Направить запрос в ведомство,—,"Переход к ТП «Направить запрос в ведомство», в рамках которого осуществляется подготовка и направление запроса в ФССП о предоставлении актуальных сведений об исполнительном производстве. Результатом ТП является полученный от ФССП ответ о статусе исполнения.Шаблон запроса; контроль сроков ответа"
7,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
8,Помощник судьи,—,—,Ознакомиться с информацией.,—,Помощник судьи ознакамливается с информацией
9,Помощник судьи,—,—,Завершение процесса,—,Завершение процесса
