№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья суда первой инстанции,Необходимость рассмотрения вопроса о приостановлении СА,—,Появилась необходимость рассмотреть вопрос о приостановлении СА,—,Судья суда первой инстанции принимает решение о необходимости рассмотрения вопроса о приостановлении исполнения судебного акта
1,Судья суда первой инстанции,Дело,Правовая позиция по делу,ТБП142.Сформировать правовую позицию по делу,—,"Типовой процесс ""Сформировать правовую позицию по делу"""
2,Судья суда первой инстанции,Решение о обеспечительных мерах,Решение о предоставлении обеспечения,Заявитель предоставил обеспечение? (Exclusive Gateway),—,"Судья суда первой инстанции проверяет, предоставил ли заявитель обеспечение. Да: переход к шагу 16, Нет: переход к шагу 12"
3,Судья суда первой инстанции,Решение о предоставлении обеспечения,—,Параллельный шлюз,—,Параллельный шлюз
4,Судья суда первой инстанции,Решение о предоставлении обеспечения,Установление невозможности поворота,Установить невозможность поворота СА,—,Судья суда первой инстанции устанавливает невозможность поворота исполнения судебного акта
5,Судья суда первой инстанции,Решение о предоставлении обеспечения,Установление затруднительности поворота,Установить затруднительность поворота СА,—,Судья суда первой инстанции устанавливает затруднительность поворота исполнения судебного акта
6,Судья суда первой инстанции,Установление невозможности/затруднительности поворота,—,Параллельный шлюз,—,Параллельный шлюз для координации процессов
7,Судья суда первой инстанции,Установление невозможности/затруднительности поворота,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
8,Судья суда первой инстанции,—,—,ТБП140.Рассмотреть по существу,—,"Типовой процесс ""Рассмотреть по существу"""
9,Судья суда первой инстанции,Решение о заявлении,Решение об удовлетворении,Заявление удовлетворено? (Exclusive Gateway),—,"Судья суда первой инстанции определяет, удовлетворено ли заявление. Да: переход к шагу 20, Нет: переход к шагу 22"
