№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,-,-,Возникла необходимость рассмотреть КЖСтартовое событие,-,"Производства в суде кассационной инстанции регулируется гл. 35 АПК РФ. Судья инициирует процесс рассмотрения поступившей кассационной жалобы.Согласно ст. 275 АПК РФ, кассационная жалоба подается в арбитражный суд кассационной инстанции, полномочный ее рассматривать, через арбитражный суд, принявший решение. Арбитражный суд, принявший решение, обязан направить кассационную жалобу вместе с делом в соответствующий арбитражный суд кассационной инстанции в трехдневный срок со дня поступления жалобы в суд.Согласно ст. 286 АПК РФ, арбитражный суд кассационной инстанции проверяет законность решений, постановлений, принятых арбитражным судом первой и апелляционной инстанций, устанавливая правильность применения норм материального права и норм процессуального права при рассмотрении дела и принятии обжалуемого судебного акта и исходя из доводов, содержащихся в кассационной жалобе и возражениях относительно жалобы, если иное не предусмотрено АПК РФ."
1,Судья,-,-,Было СЗ?Эксклюзивный шлюз,-,"Если СЗ по рассмотрению жалобы было проведено, то переход к шагу 2.Если нет, то переход к шагу 5"
2,Система,-,-,Задать судье вопрос о тайне совещательной,-,"В помещении, в котором арбитражный суд проводит совещание и принимает судебный акт, могут находиться только лица, входящие в состав суда, рассматривающего дело. Запрещается доступ в это помещение других лиц, а также иные способы общения с лицами, входящими в состав суда (ч. 4 ст. 167 АПК РФ)Судьи арбитражного суда не вправе сообщать кому бы то ни было сведения о содержании обсуждения при принятии судебного акта, о позиции отдельных судей, входивших в состав суда, и иным способом раскрывать тайну совещания судей. При этом судьи арбитражного суда не лишены права в соответствии со статьей 20 АПК РФ изложить свое особое мнение, что не может рассматриваться как нарушение тайны совещания судей. (ч. 5 ст. 167 АПК РФ).Система обеспечивает тайну и включает функцию обеспечивающую не публикацию данных СА."
3,Судья,Уведомление от системы,Решение о тайне совещательной,Ответить на вопрос о тайне совещательной,-,Судья фиксирует данные в системе
4,Судья,-,-,Тайна совещательной обеспечена?Эксклюзивный шлюз.,-,"Судья проверяет обеспечение тайны совещательной комнаты.Если Да: переход к шагу 5,Если Нет: переход к шагу 10"
5,Система,Данные системы после решения судьи,Блокировка функции публикации для дочерних номенклатурных дел ,Закрыть доступ к вынесению СА,-,Система блокирует функции публикации для дочерних номенклатурных дел данного судебного дела
6,Судья,-,-,Переход в процесс Провести СЗ,-,Переход в процесс «Провести СЗ» в связи с нарушением соблюдения тайны совещательной комнаты.
7,Система,-,-,Сохранить информацию о подтверждении соблюдении тайны,-,Система сохраняет информацию после внесения изменений
8,Судья,данные о включении функции закрытия доступа к вынесению СА,-,Ознакомиться с анализом системы,-,Судья ознакамливается с внесенными системой данными.
9,Судья,-,-,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы"""
10,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
11,Судья,-,-,Определить законы и НПА подлежащие применению,-,"Судья определяет законы и нормативно-правовые акты, которые он будет применять на этапе принятия решения"
12,Судья,-,-,ЛУВД ссылались на иные НПА?,-,Эксклюзивный шлюз. Да: переход к шагу 13 Нет: переход к шагу 14
13,Судья,-,-,Указать в СА мотивы неприменения НПА,-,"Судья указывает в судебном акте мотивы неприменения нормативно-правовых актов, на которые ссылались лица, участвующие в деле"
14,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
15,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Анализировать КЖ и связанные документы,-,Система проводит анализ документов
16,Система,Вывод системы анализа,Создание события и уведомления пользователя ,Сформировать рекомендацию,-,  Система формирует отчет в событии и информирует пользователя о готовности отчета
17,Судья,уведомление,Вывод пользователя,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы"""
18,Судья,-,Фиксация данных в системе,Установить содержание норм права в официальном толковании,-,Судья устанавливает содержание норм права в официальном толковании для корректного их применения при рассмотрении заявления.
19,Судья,-,Фиксация данных в системе,Установить содержание норм права в судебной практике,-,Судья устанавливает содержание норм права в судебной практике.
20,Судья,-,Фиксация данных в системе,Установить права и обязанности ЛУВД,-,"Перечень прав и обязанностей лиц изложен в ст. 41 АПК РФ. Судья устанавливает права и обязанности лиц, участвующих в деле, согласно данной статье."
21,Судья,-,Фиксация данных в системе,Указать в СА необходимые идентифицирующие реквизиты,-,Судья указывает в судебном акте необходимые для идентификации лиц реквизиты.
22,Судья,-,-,Параллельный открывающий шлюз,-,Параллельный открывающий шлюз
23,Судья,-,-,Проверить корректность применения норм материального права,-,"Согласно ст. 288 АПК РФ основаниями для изменения или отмены решения, постановления арбитражного суда являются нарушение или неправильное применение норм материального права. Судья проверяет корректность применения норм материального права судом, принявшим обжалуемое решение."
24,Судья,-,-,Допущены нарушения?,-,Эксклюзивный шлюз. Да: переход к шагу 25 Нет: переход к шагу 33
25,Судья,-,-,Какие нарушения допущены?,-,"Судья утверждает, какой именно вид нарушений норм материального права из перечня ч. 2 ст. 288 АПК РФ допустил нижестоящий суд при принятии решения."
26,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Неправильное истолкование закона,-,"Система устанавливает, что нижестоящим судом был неправильно истолкован закон."
27,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Неприменение закона, подлежащего применению",-,"Система устанавливает, что нижестоящим судом не был применен закон, подлежащий применению."
28,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Применение закона, не подлежащего применению",-,"Система устанавливает, что нижестоящим судом не был применен закон, подлежащий применению."
29,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Несоблюдение обязательного претензионного порядка,-,"Система устанавливает, что при рассмотрении дела нижестоящим судом был не соблюден обязательный претензионный порядок."
30,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Истечение срока исковой давности,-,"Система устанавливает, что был заявление было подано с нарушением исковой давности."
31,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Несоблюдение обязательного досудебного порядка,-,"Система устанавливает, что при рассмотрении дела нижестоящим судом не был соблюден обязательный досудебный порядок урегулирования спора."
32,Судья,-,-,Инклюзивный закрывающий шлюз,-,Инклюзивный закрывающий шлюз
33,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
34,Судья,-,-,Проверить нарушение норм процессуального права,-,"Согласно ч. 3 ст. 288 АПК РФ, основанием для изменения или отмены решения, постановления арбитражного суда являются нарушение или неправильное применение норм процессуального права, если это нарушение привело или могло привести к принятию неправильного решения, постановления. Судья проверяет нарушение нижестоящим судом норм процессуального права."
35,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Проверить законность состава суда, принявшего решение по делу",-,"Согласно ч. 3 ст. 288 АПК РФ, основаниями для отмены судебного приказа, решения, постановления арбитражного суда в любом случае является рассмотрение дела арбитражным судом в незаконном составе (суда). Система проверяет законность состава суда, рассматривавшего дело в нижестоящей инстанции."
36,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить соблюдение правил о языке при рассмотрении дела,-,"Согласно ст. 12 АПК РФ, судопроизводство в арбитражном суде ведется на русском языке - государственном языке Российской Федерации. Лицам, участвующим в деле и не владеющим русским языком, арбитражный суд разъясняет и обеспечивает право знакомиться с материалами дела, участвовать в судебных действиях, выступать в суде на родном языке или свободно выбранном языке общения и пользоваться услугами переводчика. Это является правилом о языке судопроизводства. Система проверяет соблюдение правила ст. 12 АПК РФ нижестоящим судом при рассмотрении дела."
