№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
37,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить надлежащее извещение,-,"Согласно ст. 123 АПК РФ, лица, участвующие в деле, и иные участники арбитражного процесса считаются извещенными надлежащим образом, если к началу судебного заседания, совершения отдельного процессуального действия арбитражный суд располагает сведениями о получении адресатом копии определения о принятии искового заявления или заявления к производству и возбуждении производства по делу, направленной ему в порядке, установленном АПК, или иными доказательствами получения лицами, участвующими в деле, информации о начавшемся судебном процессе. Судья проверяет доказанность факта надлежащего извещения лиц, участвующих в деле."
38,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить соблюдение тайны совещательной комнаты,-,"В помещении, в котором арбитражный суд проводит совещание и принимает судебный акт, могут находиться только лица, входящие в состав суда, рассматривающего дело. Запрещается доступ в это помещение других лиц, а также иные способы общения с лицами, входящими в состав суда (ч. 4 ст. 167 АПК РФ) Судьи арбитражного суда не вправе сообщать кому бы то ни было сведения о содержании обсуждения при принятии судебного акта, о позиции отдельных судей, входивших в состав суда, и иным способом раскрывать тайну совещания судей. При этом судьи арбитражного суда не лишены права в соответствии со статьей 20 АПК РФ изложить свое особое мнение, что не может рассматриваться как нарушение тайны совещания судей. (ч. 5 ст. 167 АПК РФ). Система проверяет соблюдение тайны совещательной комнаты нижестоящим судом при принятии итогового решения."
39,Судья,-,-,Проверить отсутствие решения в отношении не привлеченных лиц,-,"Судья проверяет, не было ли вынесено решение о правах и об обязанностях лиц, не привлеченных к участию в деле. В случае принятия нижестоящим судом решения/постановления о правах и об обязанностях лиц, не привлеченных к участию в деле, судья устанавливает основания для отмены/изменения такого решения в кассационном порядке."
40,Судья,-,-,Проверить ЭП,-,"Переход к типовому процессу ""Проверить ЭП"""
41,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить наличие в деле протокола СЗ,-,"Согласно ст. 288 АПК РФ, основанием для отмены судебного приказа, решения, постановления арбитражного суда в любом случае является отсутствие в деле протокола судебного заседания или подписание его не теми лицами, которые указаны в статье 155 АПК РФ, в случае отсутствия аудиозаписи судебного заседания. Система проверяет наличие протокола СЗ в материалах дела нижестоящей инстанции."
42,Система,Протокол СЗ,-,Проверить корректность подписания протокола СЗ,-,"Судья проверяет, подписан ли протокол лицами, указанными в ст. 155 АПК РФ (Протокол подписывается председательствующим в судебном заседании, секретарем судебного заседания или помощником судьи, который составлял протокол судебного заседания)."
43,Судья,-,-,Установлены нарушения?,-,Эксклюзивный шлюз. Да: переход к шагу 44 Нет: переход к шагу 47
44,Судья,-,-,Есть аудио-запись протокола СЗ?,-,Эксклюзивный шлюз. Да: переход к шагу 46 Нет: переход к шагу 45
45,Судья,-,-,Установить основания для отмены/ изменения решения,-,Судья устанавливает основания для отмены/изменения решения суда нижестоящей инстанции ввиду нарушения ст. 155 АПК РФ.
46,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
47,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
48,Судья,-,-,Параллельный закрывающий шлюз,-,Параллельный закрывающий шлюз
49,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить наличие мирового соглашения,-,"Система проверяет наличие мирового соглашения Согласно ст. 141 АПК РФ стороны могут урегулировать спор, заключив мировое соглашение."
50,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Сформировать рекомендации,-,Система формирует  рекомендации по шагам проверок
51,Система,Анализ завершен,Событие создано с отчетом и уведомление ,Уведомить судью,-,Система формирует уведомление пользователю в событии анализа
52,Судья,Постановление,-,Ознакомиться с анализом системы,-,Ознакомиться с уведомлением
53,Судья,уведомление,вывод пользователя,Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы""Возможность отправить данные об ошибке в техническую поддержку или сохранить данные в системе для изучения и принятия решения и использования в шаблонах документов."
54,Судья,-,-,Поступило мировое соглашение от сторон?,-,Эксклюзивный шлюз. Да: переход к шагу 55 Нет: переход к шагу 61
55,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить мировое соглашение на законность,-,Система проверяет соответствие мирового соглашения закону.
56,Судья,-,-,Проверить отсутствие нарушения прав третьих лиц,-,"Судья проверяет, не нарушают ли положения мирового соглашения прав третьих лиц."
57,Судья,-,-,Мировое соглашение можно утвердить?,-,Эксклюзивный шлюз. Да: переход к шагу 58 Нет: переход к шагу 61
58,Судья,-,ввод в системе атрибута для утверждения мирового соглашения,Утвердить мировое соглашение,-,Судья утверждает мировое соглашение.По результатам рассмотрения вопроса об утверждении мирового соглашения арбитражный суд выносит определение (Ч. 5 ст. 141 АПК РФ).Утверждение мирового соглашения в суде кассационной инстанции по предмету заявленных требований влечет за собой отмену судебного акта и прекращение производства по делу.
59,Система,ввод в системе атрибута для утверждения мирового соглашения,Запуск процесса установки оснований всех связанных СА,Установить основания для отмены всех СА,-,Система устанавливает отмету актов принятых ранее
60,Судья,-,-,Установлены основания для отмены всех СА,-,Завершение процесса. Установлены основания для отмены всех СА
61,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
62,Судья,-,-,Принять решение по КЖ,-,Судья принимает решение о вынесении нового судебного акта в соответствии с п. 2 ч. 1 ст. 287 АПК РФ
63,Судья,-,-,Эксклюзивный открывающий шлюз,-,Эксклюзивный шлюз. Да: переход к шагу 64 Нет: переход к шагу 69
64,Судья,-,-,Необходимо распределить судебные расходы?,-,Эксклюзивный шлюз. Да: переход к шагу 65 Нет: переход к шагу 66
65,Судья,-,-,Взыскать/распределить судебные расходы,-,"Переход к типовому процессу «Взыскать/распределить судебные расходы», в рамках которого судья распределяет судебные расходы по делу между лицами в соответствии с правилами ст. 110 АПК РФ."
66,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
67,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Оставить СА без изменения, а КЖ без удовлетворения",-,"Система утверждает, что суд кассационной инстанции оставляет СА без изменения, а кассационную жалобу без удовлетворения ввиду отсутствия оснований для изменения/отмены обжалуемого СА в соответствии АПК РФ."
68,Судья,-,-,Установлены основания для будущего решения,-,"Завершение процесса. Установлены основания для будущего решения (оставить СА без изменения, а КЖ без удовлетворения)."
69,Судья,-,Ввод данных в систему,"Выбрать нарушение, которое необходимо указать в СА",-,"Судья выбирает основание изменения/отмены СА, которые следует указать в постановлении."
70,Судья,-,Ввод данных в систему,Указать на нарушение норм процессуального права,-,Судья указывает в итоговом СА на нарушение норм процессуального права согласно ч. 4 ст. 288 АПК РФ.
71,Судья,-,Ввод данных в систему,Указать на несоответствие выводов фактическим обстоятельствам,-,Судья указывает в итоговом СА на несоответствие выводов суда нижестоящей инстанции фактическим обстоятельствам дела согласно ч. 1 ст. 288 АПК РФ.
72,Судья,-,Ввод данных в систему,Указать на нарушение норм материального права,-,Судья указывает в итоговом СА на нарушение норм материального права согласно ч. 2 ст. 288 АПК РФ.
73,Судья,-,-,Инклюзивный закрывающий шлюз,-,Инклюзивный закрывающий шлюз
74,Судья,-,-,Все фактические обстоятельства установлены судами нижестоящих инстанций?,-,Эксклюзивный шлюз. Да: переход к шагу 75 Нет: переход к шагу 78
75,Судья,-,-,Требуется дополнительное исследование доказательств?,-,Эксклюзивный шлюз. Да: переход к шагу 76 Нет: переход к шагу 78
76,Судья,-,-,Принять решение о вынесении нового СА,-,Судья принимает решение о вынесении нового судебного акта в соответствии с п. 2 ч. 1 ст. 287 АПК РФ
77,Судья,-,-,Отменить/изменить СА полностью или в части,-,"Согласно п. 2 ч. 1 ст. 287 АПК РФ, по результатам рассмотрения кассационной жалобы арбитражный суд кассационной инстанции вправе отменить или изменить решение суда первой инстанции и (или) постановление суда апелляционной инстанции полностью или в части и, не передавая дело на новое рассмотрение, принять новый судебный акт, если фактические обстоятельства, имеющие значение для дела, установлены арбитражным судом первой и апелляционной инстанций на основании полного и всестороннего исследования имеющихся в деле доказательств, но этим судом неправильно применена норма права либо законность решения. Судья отменяет или изменяет СА нижестоящих инстанций полностью или в части согласно данному пункту статьи."
78,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
79,Судья,-,-,Установлены основания для прекращения производства по делу/основания для оставления искового заявления без рассмотрения?,-,Эксклюзивный шлюз. Да: переход к шагу 80 Нет: переход к шагу 85
80,Судья,-,-,Отменить СА,-,"Согласно п. 2 ч. 1 ст. 287 АПК РФ, по результатам рассмотрения кассационной жалобы арбитражный суд кассационной инстанции вправе отменить или изменить решение суда первой инстанции и (или) постановление суда апелляционной инстанции полностью или в части и, не передавая дело на новое рассмотрение, принять новый судебный акт, если фактические обстоятельства, имеющие значение для дела, установлены арбитражным судом первой и апелляционной инстанций на основании полного и всестороннего исследования имеющихся в деле доказательств, но этим судом неправильно применена норма права либо законность решения. Судья отменяет или изменяет СА нижестоящих инстанций полностью или в части согласно данному пункту статьи."
81,Судья,-,-,Установлены основания для прекращения?,-,Эксклюзивный шлюз. Да: переход к шагу 83 Нет: переход к шагу 82
82,Судья,-,-,Указать на оставление искового заявления без рассмотрения,-,Судья указывает в постановлении на оставление заявления без рассмотрения согласно п. 6 ч. 1 ст. 287 АПК РФ.
83,Судья,-,-,Указать на прекращение производства по делу,-,Судья указывает в постановлении на прекращение производства по делу согласно п. 6 ч. 1 ст. 287 АПК РФ.
84,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
85,Судья,-,-,Обжаловались СА первой и апелляционной инстанции?,-,Эксклюзивный шлюз. Да: переход к шагу 86 Нет: переход к шагу 93
86,Судья,-,-,Необходимо отменить/изменить только один из актов?,-,Эксклюзивный шлюз. Да: переход к шагу 87 Нет: переход к шагу 91
87,Судья,-,-,Параллельный открывающий шлюз,-,Параллельный открывающий шлюз
88,Судья,-,-,Оставить один СА в силе,-,"Судья устанавливает, что один из обжалуемых СА оставлен в силе."
89,Судья,-,-,Отменить/изменить второй акт,-,Судья отменяет или изменяет второй СА из обжалуемых.
90,Судья,-,-,Параллельный закрывающий шлюз,-,Параллельный закрывающий шлюз
91,Судья,-,-,Отменить/изменить СА  полностью или в части,-,"Согласно п. 2 ч. 1 ст. 287 АПК РФ, по результатам рассмотрения кассационной жалобы арбитражный суд кассационной инстанции вправе отменить или изменить решение суда первой инстанции и (или) постановление суда апелляционной инстанции полностью или в части и, не передавая дело на новое рассмотрение, принять новый судебный акт, если фактические обстоятельства, имеющие значение для дела, установлены арбитражным судом первой и апелляционной инстанций на основании полного и всестороннего исследования имеющихся в деле доказательств, но этим судом неправильно применена норма права либо законность решения. Судья отменяет или изменяет СА нижестоящих инстанций полностью или в части согласно данному пункту статьи."
92,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
93,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
94,Судья,-,-,Необходимо направить в другой суд в пределах судебного округа?,-,Эксклюзивный шлюз. Да: переход к шагу 95 Нет: переход к шагу 96
95,Судья,-,-,Передать дело на рассмотрение другого АС,-,Судья передает дело на рассмотрение другого арбитражного суда первой или апелляционной инстанции в пределах одного округа.
96,Судья,-,-,Направить дело на новое рассмотрение,-,"Согласно п. 3 ч. 1 ст. 287 АПК РФ, по результатам рассмотрения кассационной жалобы арбитражный суд кассационной инстанции вправе отменить или изменить решение суда первой инстанции и (или) постановление суда апелляционной инстанции полностью или в части и направить дело на новое рассмотрение в соответствующий арбитражный суд, решение, постановление которого отменено или изменено, если этим судом нарушены нормы процессуального права, являющиеся в соответствии с частью 4 статьи 288 АПК РФ основанием для отмены решения, постановления, или если выводы, содержащиеся в обжалуемых решении, постановлении, не соответствуют установленным по делу фактическим обстоятельствам или имеющимся в деле доказательствам. При направлении дела на новое рассмотрение суд может указать на необходимость рассмотрения дела коллегиальным составом судей и (или) в ином судебном составе. Судья направляет дело на новое рассмотрение в арбитражный суд, решение которого отменено или изменено."
97,Судья,-,-,Направить в тот же состав суда?,-,Эксклюзивный шлюз. Да: переход к шагу 102 Нет: переход к шагу 98
98,Судья,-,Переходы: к шагу 99; к шагу 100,Инклюзивный открывающий шлюз,-,Инклюзивный открывающий шлюз. Переходы: к шагу 99; к шагу 100
99,Судья,-,-,Указать на рассмотрение иным составом суда,-,Судья при направлении дела в АС указывает на необходимость рассмотрения дела иным составом суда согласно п. 3 ч. 1 ст. 287 АПК РФ.
100,Судья,-,-,Указать на необходимость коллегиального рассмотрения,-,Судья при направлении дела в АС указывает на необходимость рассмотрения дела коллегиально согласно п. 3 ч. 1 ст. 287 АПК РФ.
101,Судья,-,-,Инклюзивный закрывающий шлюз,-,Инклюзивный закрывающий шлюз
102,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
103,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
104,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
105,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
106,Судья,-,-,Необходимо распределить судебные расходы?,-,Эксклюзивный шлюз. Да: переход к шагу 107 Нет: переход к шагу 108
107,Система,-,-,Взыскать/распределить судебные расходы,-,"Переход к типовому процессу «Взыскать/распределить судебные расходы», в рамках которого судья распределяет судебные расходы по делу между лицами в соответствии с правилами ст. 110 АПК РФ."
108,Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный шлюз.
109,Судья,-,-,Необходимо дополнительное исследование доказательств или выяснение обстоятельств?,-,Эксклюзивный шлюз. Да: переход к шагу 110 Нет: переход к шагу 112
110,Судья,-,-,Прекратить процесс принятия решения,-,"Завершение процесса. Установлены основания для будущего решения (оставить СА без изменения, а КЖ без удовлетворения)."
111,Судья,-,-,Переход в процесс провести СЗ,-,Переход в процесс «Провести СЗ» в связи с нарушением соблюдения тайны совещательной комнаты.
112,Система,-,-,Сохранить данные о решении,-,Система вносит информацию об утвержденном мировом соглашении в ИС суда.
113,Судья,-,-,КЖ по упрощенному производству?,-,Эксклюзивный шлюз. Да: переход к шагу 115 Нет: переход к шагу 114
114,Судья,-,-,Установлены основания для будущего решения,-,"Завершение процесса. Установлены основания для будущего решения (оставить СА без изменения, а КЖ без удовлетворения)."
115,Система,-,-,Принять решение о вынесении нового СА Ручная задача,-,Судья принимает решение о вынесении нового судебного акта в соответствии с п. 2 ч. 1 ст. 287 АПК РФ
116,Канцелярия,-,Постановление,Направить документ Переход к типовому процессу,-,"Переход к типовому процессу ""Направить документ"" Канцелярия направляет судебный акт лицам, участвующим в деле, на ознакомление."
117,Канцелярия,-,-,СА отправлен Завершение процесса,-,СА отправлен Завершение процесса
118,ЛУВД,Постановление,-,Получен судебный акт,-,ЛУВД получает СА суда.
119,Система,новый документ,уведомление,Уведомить пользователя,-, Система уведомляет пользователя о новом документе
120,ЛУВД,Постановление,Дата и время ознакомления,Ознакомиться,-,ЛУВД ознакамливается с содержанием СА
121,Система,Дата и время ознакомления,Данные  отправлены в систему арбитражного суда,Отправить время ознакомления,-,Система фиксирует дату и время ознакомления и отправляет данные в систему арбитражного суда
122,ЛУВД,-,-,Есть основания для обжалования?,-,Эксклюзивный шлюз. Да: переход к шагу 123 Нет: переход к шагу 124
123,ЛУВД,-,-,Переход к процессу кассационного обжалования,-,ЛУВД переходит к процессу подачи жалобы и инициирует процесс кассационного обжалования.
124,ЛУВД,-,-,Нет данных для обжалования,-, Завершение процесса. ЛУВД ознакомлено с содержанием СА.
