№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
13,Судья,—,—,Принято в порядке гл.25 АПК,—,"Судья принимает решение о рассмотрении дела в порядке главы 25 АПК РФ Согласно ч6, ст 3 ПП ВАС РФ от 2 июня 2004 г. N 10При поступлении заявления о привлечении к административной ответственности за совершение правонарушения, рассмотрение дела о котором не отнесено частью 3 статьи 23.1 КоАП РФ к подведомственности арбитражного суда, суд выносит определение о возвращении заявления применительно к пункту 1 части 1 статьи 129 АПК РФ.В случае установления неподведомственности дела на стадии его рассмотрения суд, руководствуясь пунктом 1 части 1 статьи 150 АПК РФ, выносит определение о прекращении производства в арбитражном суде и возвращении протокола об административном правонарушении и прилагаемых к нему документов административному органу. Вынесение указанного определения не является основанием для прекращения производства по делу об административном правонарушении и влечет лишь прекращение рассмотрения заявления административного органа в арбитражном суде."
14,Помощник судьи/Секретарь с/з,—,—,Переход из упрощенного порядка,—,Дело возвращается из упрощенного порядка в обычный
15,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Получено уведомление о принятии,"","Административный орган, принявши решение о привлечении к админ.отвественности. получает уведомление о принятии"
16,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Ознакомиться с материалами дела в ЛК,—,"Административный орган, принявши решение о привлечении к админ.отвественности. знакомится с определением о принятии"
17,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Необходимо подать отзыв?Эксклюзивный шлюз,—,"Административный орган, принявши решение о привлечении к админ.отвественности. определяет, необходимо ли подать отзыв на заявлениеЭксклюзивный шлюзДа: переход к шагу 19Нет: переход к шагу 18"
18,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Лицо ознакомлено.,"",Завершение процесса
19,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,Отзыв на заявление,ТБП7.Подать документы в суд,Срок установленный судом,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает отзыв на заявление Подача документов в электронном виде через форму подачи документов в суд"
20,Система,"","",Ограничить подачу,"",Ограничить подачу
21,Система,"","",Ограничена подача в связи с окончанием срока установленного судом.,"",Завершение процесса
22,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Завершение процесса,"",Завершение процесса
23,Канцелярия,Отзыв на Заявление ,"",Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
24,Канцелярия,Отзыв на Заявление ,Зарегистрированный документ ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
25,Помощник судьи/Секретарь с/з,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
26,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Возникла необходимость приостановить исполнение решения адм. органа,—,Заявитель принимает решение о необходимости приостановления исполнения решения административного органа
27,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,"Переход к процессу Производство, связанное с обеспечительными мерами",—,Дело передается в процесс рассмотрения обеспечительных мер
28,Административный орган,—,"",Возникла необходимость заявить ходатайство о рассмотрении дела в свое отсуствие,—,"Административный орган принимает решение о подаче ходатайства о рассмотрении дела в отсутствие. Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
29,Административный орган,"",Ходатайство о рассмотрении дела в свое отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд» В результате данного ТП. Административный орган подает отзыв, возражения или объяснения в суд. Согласно ч.4 ст. 210 АПК По делам об оспаривании решений административных органов о привлечении к административной ответственности обязанность доказывания обстоятельств, послуживших основанием для привлечения к административной ответственности, возлагается на административный орган, принявший оспариваемое решениеПодача документов в электронном виде через форму подачи документов в суд"
30,Административный орган,"","",Завершение процесса,"",Завершение процесса
31,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,"",Возникла необходимость заявить ходатайство о рассмотрении дела в свое отсуствие,—,"Административный орган принимает решение о подаче ходатайства о рассмотрении дела в отсутствие. Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
32,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Ходатайство о рассмотрении дела в свое отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд» В результате данного ТП. Административный орган подает отзыв, возражения или объяснения в суд. Согласно ч.4 ст. 210 АПК По делам об оспаривании решений административных органов о привлечении к административной ответственности обязанность доказывания обстоятельств, послуживших основанием для привлечения к административной ответственности, возлагается на административный орган, принявший оспариваемое решениеПодача документов в электронном виде через форму подачи документов в суд"
33,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Завершение процесса,"",Завершение процесса
34,Отдел делопроизводства,"","",Поступил документ по делу,"",""
35,Отдел делопроизводства,"",Зарегистрированное документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
36,Отдел делопроизводства,"","",Входящий документ зарегистрирован,"",Завершение процесса
37,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,"",Необходимо подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Административный орган формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу
38,"Административный орган, принявши решение о привлечении к админ.отвественности.","",Заявление/ходатайство,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
39,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Переход к шагам  приостановление/оставление без рассмотрения/прекращения производства по делу,"",Переход к шагам  приостановление/оставление без рассмотрения/прекращения производства по делу
40,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,"",Необходимо подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Административный орган формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу
41,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Заявление/ходатайство,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
42,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Переход к шагам  приостановление/оставление без рассмотрения/прекращения производства по делу,"",Переход к шагам  приостановление/оставление без рассмотрения/прекращения производства по делу
43,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,Ходатайство о рассмотрении дела в порядке упрощенного производства,Возникла необходимость ходатайствовать о рассмотрении дела в порядке упрощенного производства,—,Административный орган принимает решение о подаче ходатайства о рассмотрении в упрощенном порядке
44,"Административный орган, принявши решение о привлечении к админ.отвественности.",Ходатайство о рассмотрении дела в порядке упрощенного производства,Определение о рассмотрении дела в порядке упрощенного производства,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет Ходатайство о рассмотрении в упрощенном порядке. Согласно ст 227 АПК определяется общий перечень дел к рассмотрению в порядке упрощенного производства. Особенности данного типа производства определяются согласно положениям ст. 228 АПК"
45,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Завершение процесса,—,Процесс подачи ходатайства завершен
46,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,Ходатайство о рассмотрении дела в порядке упрощенного производства,Возникла необходимость ходатайствовать о рассмотрении дела в порядке упрощенного производства,—,Административный орган принимает решение о подаче ходатайства о рассмотрении в упрощенном порядке
47,Заявитель (ЮЛ/ИП/Потерпевший/АУ),Ходатайство о рассмотрении дела в порядке упрощенного производства,Определение о рассмотрении дела в порядке упрощенного производства,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет Ходатайство о рассмотрении в упрощенном порядке. Согласно ст 227 АПК определяется общий перечень дел к рассмотрению в порядке упрощенного производства. Особенности данного типа производства определяются согласно положениям ст. 228 АПК"
48,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Завершение процесса,—,Процесс подачи ходатайства завершен
49,Помощник судьи/Секретарь с/з,Дело/документ,Подготовленные материалы к СЗ,ТБП66.Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскибация собеседования. Спец интеграция с гос. органами."
50,Судья,—,"Судебный акт об отложении, протокол СЗ",ТБП68.Провести СЗ,"","Судья проводит судебное заседание по рассмотрению делаПереход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения дела по существу. Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Согласно ч. 2, 3 ст 210 АПК Арбитражный суд извещает о времени и месте судебного заседания лиц, участвующих в деле, и других заинтересованных лиц. Неявка указанных лиц, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения дела, если суд не признал их явку обязательной.Арбитражный суд может признать обязательной явку представителя административного органа, принявшего оспариваемое решение, и лица, обратившегося в суд с заявлением, и вызвать их в судебное заседание для дачи объяснений. Неявка указанных лиц, вызванных в судебное заседание, является основанием для наложения штрафа в порядке и в размерах, которые установлены в главе 11 АПКАудио протоколирование, транскибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
51,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
52,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
53,Судья,—,—,Замена судьи совершена.,—,Процесс замены судьи завершен
54,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,"",Возникла необходимость в отводе судьи,—,Административный орган принимает решение о подаче заявления об отводе судьи
55,"Административный орган, принявши решение о привлечении к админ.отвественности.", ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
56,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Завершение процесса,—,Процесс подачи заявления завершен
57,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,"",Возникла необходимость в отводе судьи,—,Административный орган принимает решение о подаче заявления об отводе судьи
58,Заявитель (ЮЛ/ИП/Потерпевший/АУ), ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
59,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Завершение процесса,—,Процесс подачи заявления завершен
60,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
61,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется."
62,Судья,—,—,Отвод/самоотвод совершен,—,Процесс отвода судьи завершен
63,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Возникла необходимость изменить предмет или основание заявленных требований,"",Возникла необходимость изменить предмет или основание заявленных требований
64,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Заявление об изменении основания или предмета заявленных требований,ТБП7.Подать документы в суд,—,Переход к типовому процессу «Подать документы в суд» Контроль установленной законом возможность предмета или основания заявленных требований системой
65,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Завершение процесса ,"",Завершение процесса 
66,Судья,—,—,Поступило заявление об изменении основания или предмета иска,—,Судья получает заявление об изменении требований
67,Система ,"","",Принять изменения исковых требований,"",При переходе суда к рассмотрению по существу ходатайство об изменении исковых требований недоступно для подачи
68,Судья ,"","",Переход к шагу 86.,"",Переход к шагу 86
69,Судья,—,—,Требуется приостановить производство по делу/заявлению?Эксклюзивный шлюз,—,Судья принимает решение о необходимости приостановления производства по делуДа: переход к шагу 70Нет: переход к шагу 71
70,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановлении,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решениеПриостановление:АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действияхАС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действияхОставление искового заявления без рассмотрения проводится согласно ст. 148 АПК. Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотренияПрекращение производства проводится согласно ст. 150 АПК. В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 АПК.Система предлагает приостановить производство по делу, при наличии обязанности приостановленияФормирование проекта СА о приостановлении/возобновлении производства по делу, мониторинг оснований для возобновления производства по делу, подбор времени и места проведения СЗ"
71,Судья,—,—,Эксклюзивный шлюз,—,"Объединение потоков после рассмотрения вопросов о приостановлении, переход к шагу 62"
72,Судья,Заявление об объединении дел в одно производство,—,Требуется ли объединить дела в одно производство?Эксклюзивный шлюз,—,Определяется требуется ли объединить заявления в одно производствоДа: переход к шагу 73Нет: переход к шагу 76
73,Судья,Заявление об объединении дел в одно производство,Определение об объединении дел в одно производство,ТБП60.Рассмотреть вопрос об объединении дел,—,"Переход к типовому процессу ""Рассмотреть вопрос об объединении дел"". В результате ТП Судья рассматривает целесообразность и основание для объединения нескольких дел в одно производство. Вопрос об объединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
74,Судья,Заявление об объединении дел в одно производство,"",Данное заявление продолжает рассматриваться?Эксклюзивный шлюз,—,Определяется продолжает ли рассматриваться заявлениеДа: переход к шагу 80Нет: переход к шагу 75
75,Судья,—,—,"Производство по делу завершено, в связи с объединением. Требования рассматриваются в объединенном деле.",—,Завершение процесса
76,Судья,"","",Требуется ли выделить требования в отдельное производство?Эксклюзивный шлюз,—,Определяется требуется ли выделить требования в отдельное производствоДа: переход к шагу 77Нет: переход к шагу 80
77,Судья,Заявление о выделении требования в отдельное производство,Определение о выделении требований в отдельное производство,ТБП61.Рассмотреть вопрос о разъединении дел,—,"Переход к типовому процессу ""Рассмотреть вопрос о разъединении дел"". В результате ТП Судья рассматривает целесообразность и основание для выделения требования в отдельное производство. Вопрос о разъединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
78,Судья,—,—,Параллельный шлюз,—,Новое зарегистрированное дело передается на АРПД. Производство в этом процессе для него завершается
79,Судья,—,—,Завершение процесса,—,Завершение процесса
80,Судья,—,—,Эксклюзивный шлюз,—,"Объединение всех потоков, переход к шагу 85"
81,Судья,—,—,Переход из процесса Пересмотр по новым обстоятельства из шага,—,Дело возвращается из процесса пересмотра по новым обстоятельствам
82,Судья,—,—,Переход из процесса Пересмотр по вновь открывшимся обстоятельствам из шага,—,Дело возвращается из процесса пересмотра по вновь открывшимся обстоятельствам
83,Судья,—,—,Эксклюзивный шлюз,"",Эксклюзивный шлюз
84,Судья,"","",Создать новое рассмотрение,"","Переход к типовому процессу ""Создать новое рассмотрение"". В результате данного ТП судья создает новое рассмотрение"
85,Судья,—,—,Эксклюзивный шлюз,"",Эксклюзивный шлюз
86,Судья,"","",ТБП142.Сформировать правовую позицию по делу,"","Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Система проводит автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
87,Судья,"","",Чем завершается рассмотрение?Эксклюзивный шлюз,"","Определяется чем завершается рассмотрение. Переход к шагам 88-90,94"
88,Судья,"",Определение о передаче дела по подсудности,ТБП65.Передать дело по подсудности,"","Переход к типовому процессу ""Передать дело по подсудности"".  В результате данного ТП дело передается по подсудности о передаче дела по подсудности выносится определение, которое может быть обжаловано в арбитражный суд апелляционной инстанции в десятидневный срок со дня его вынесения.При передаче по подсудности дело подлежит  архивированиюПри наличии встречного иска ""дело"" по встречному иску также передается по подсудности и подлежит архивированию"
89,Судья,"",Определение об оставлении искового заявления без рассмотрения,ТБП110.Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"" В результате этого ТП Судья принимает решение об оставлении заявления без рассмотренияОставление искового заявления без рассмотрения проводится согласно ст. 148-149 АПК.В случае оставления искового заявления без рассмотрения производство по делу заканчивается вынесением определения.В определении арбитражный суд указывает основания для оставления искового заявления без рассмотрения, а также решает вопрос о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 2 статьи 148 АПК.Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотрения.  "
90,Судья,"","",ТБП109.Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса."
91,Судья,—,—,Эксклюзивный шлюз,"",Эксклюзивный шлюз
92,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
93,Судья,"","",Завершение процесса,"",Завершение процесса
94,Судья ,"","",ТБП140.Рассмотреть по существу,"",Переход к Типовому процессу Рассмотреть по существу
95,Судья,—,—,Решение адм.органа подлежит отмене?Эксклюзивный шлюз,—,"Судья принимает решение о том, подлежит ли решение административного органа отменеЭксклюзивный шлюзДа: переход к шагу 96Нет: переход к шагу 97"
96,Судья,"",Решение о признании незаконным и об отмене оспариваемого решения или в части либо об изменении решения.,ТБП80.Принять СА,—,"Переход к типовому процессу ""Принять СА"" В результате этого ТП Судья принимает судебный акт по результатам рассмотрения заявления и выносит Решение о признании незаконным и об отмене оспариваемого решения или в части либо об изменении решения."
97,Судья,"",Решение об отказе в удовлетворении требования заявителя,ТБП80.Принять СА,—,"Переход к типовому процессу ""Принять СА"" В результате этого ТП Судья принимает судебный акт по результатам рассмотрения заявления и выносит Решение об отказе в удовлетворении требования заявителя"
98,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Получено уведомление о решении,"",Получено уведомление о решении
99,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Ознакомиться ,"","Административный орган, принявши решение о привлечении к админ.отвественности. знакомиться с решением в ЛК"
100,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Есть основание для обжалования?Эксклюзивный шлюз,"",Есть основания для обжалования?Да: переход к шагу 101Нет: переход к шагу 102
101,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Переход к процессу апелляционного обжалования,"",Переход к процессу апелляционного обжалования
102,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",ТБП7.Подать документы в суд,"",Завершение процесса
103,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Получено уведомление о решении,"",Получено уведомление о решении
104,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Ознакомиться ,"","Административный орган, принявши решение о привлечении к админ.отвественности. знакомиться с решением в ЛК"
105,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Есть основание для обжалования?Эксклюзивный шлюз,"",Есть основания для обжалования?Эксклюзивный шлюзДа: переход к шагу 106Нет: переход к шагу 107
106,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Переход к процессу апелляционного обжалования,"",Переход к процессу апелляционного обжалования
107,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,"","Лицо ознакомлено с СА, оснаваний для обжалования нет.","",Завершение процесса
108,Судья ,—,"",Ожидать вступления в законную силу 10 дней со дня принятия,—,Ожидать вступления в законную силу 10 дней со дня принятия
109,Судья,—,—,ТБП91.Обратить СА к исполнению,—,"Переход к типовому процессу ""Обратить СА к исполнению"". Судья обращает судебный акт к исполнению"
110,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
111,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Получено уведомление о вступлении в законную силу решения,"",Получено уведомление о вступлении в законную силу решения
112,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Ознакомиться ,"","Административный орган, принявши решение о привлечении к админ.отвественности. знакомиться с решением в ЛК"
113,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Решение органа было изменено судом?Эксклюзивный шлюз,"",Решение органа было изменено судом?Эксклюзивный шлюзДа: переход к шагу 115Нет: переход к шагу 114
114,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Завершение процесса,"",Завершение процесса
115,"Административный орган, принявши решение о привлечении к админ.отвественности.","","",Исполнить САЗавершение процесса,"",Исполнить САЗавершение процесса
116,Судья ,"","",Ожидать 6 месяцев  с даты окончания срока на обжалование последнего судебного акта,"",Ожидать 6 месяцев  с даты окончания срока на обжалование последнего судебного акта
117,"Административный органАдминистративный орган, принявши решение о привлечении к админ.отвественности.",—,"",Возникла необходимость в разъяснении решения,—," Административный орган принимает решение о необходимости разъяснения решения, "
