№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",—,Появилась необходимость подать заявление об оспаривании решения админ. органа о привлечении к админ. ответственности,—,Заявитель принимает решение о необходимости оспаривания решения административного органа о привлечении к административной ответственности
1,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Заявление с приложениями,ТБП7.Подать документы в суд,10 дней со дня получения копии оспариваемого решения,"Переход к типовому процессу «Подать документы в суд» В результате данного ТП Заявитель подает в арбитражный суд заявление об оспаривании решения административного органа с приложением необходимых документов. Согласно положениям ст. 208 АПК заявление подается в арбитражный суд по адресу или месту жительства заявителя либо по адресу административного органа, которым принято оспариваемое решение о привлечении к административной ответственности. По ходатайству суд может приостановить исполнение решения, данное заявление не облагается госпошлиной. К заявлению предъявляются требования согласно ст. 209 АПК"
2,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"","",Завершение процесса,"",Завершение процесса
3,Отдел делопроизводства,"","",Поступило об оспаривании решения админ. органа о привлечении к админ. ответственности,"",Поступило об оспаривании решения админ. органа о привлечении к админ. ответственности
4,Отдел делопроизводства,Заявление об оспаривании решения админ. органа о привлечении к админ. ответственности с приложениями,Зарегистрированное дело,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ» Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД, автоматическое распределение на судью, задача на судью."
5,Судья,заявление об оспаривании решения админ. органа о привлечении к админ. ответственности,-Определение о возвращении заявления-Определение об оставлении заявления без движения-Определение об отказе в принятии заявления-Определение о принятии заявления- Определение о назначении СЗ,ТБП31.Рассмотреть вопрос о принятии,5 дней со дня поступления,"Судья рассматривает вопрос о принятии заявления к производствуСогласно ст. 207 АПК подобные дела рассматриваются арбитражным судом по общим правилам искового производства. Таким образом, Определение об оставлении заявления без движения выносится в соответствии с ст. 128 АПК, Определение об отказе в принятии заявления выносится в соответствии со ст. 127.1 АПК, Определение о принятии заявления выносится в соответствии со ст. 127 АПК, Определение о возвращении заявления выносится в соответствии со ст. 129 АПК."
6,Судья,"",—,Какой исход рассмотрения вопроса о принятии,—,"Судья принимает решение о дальнейшем движении дела. Переход к шагам 7,11, 13"
7,Судья,"",Определение об отказе в принятии,Не принято,—,Судья принимает решение об отказе в принятии заявления к производству
8,Судья,—,—,6 месяцев с даты вступления в законную силу СА,6 месяцев с даты вступления в законную силу СА,Ожидание истечения срока для обжалования определения об отказе
9,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
10,Судья ,"","",Завершение процесса,"",Завершение процесса
11,Судья,"",—,Принято в порядке упрощенного производства,—,Судья принимает решение о рассмотрении дела в порядке упрощенного производства
12,Судья,—,—,Переход к процессу упрощенного производства,—,Дело передается в процесс упрощенного производства
