№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель,Необходимость обжалования,—,Появилась необходимость обжаловать в кассационном порядке,—,Заявитель принимает решение о необходимости кассационного обжалования
1,Заявитель,Кассационная жалоба с приложениями,Доказательства подачи документов в суд,ТБП7.Подать документы в суд,2 месяца со дня вступления в законную силу обжалуемого акта (ст. 276 АПК РФ),"Переход к типовому процессу ""Подать документы в суд""Заявитель оплачивает государственную пошлину, направляет копии КЖ иным ЛУВД и подает документы в суд первой инстанции.Кассационная жалоба подается в арбитражный суд на бумажном носителе или в электронном виде, в том числе в форме электронного документа. Кассационная жалоба должна соответствовать требованиям ст. 277 АПК РФ и Порядка подачи в арбитражные суды Российской Федерации документов в электронном виде."
2,Система,"","",Ограничить подачу,"",Система ограничивает подачу
3,Система,"","",Подача ограничена в связи с истечением срока,"",Подача ограничена в связи с истечением срока
4,Заявитель,"","",Документ подан,"",Документ подан
5,Канцелярия кассационной инстанции,Дело и КЖ,Зарегистрированное дело,Получено дело и КЖ,В день поступления в суд или не позднее первой половины следующего дня,"Канцелярия получает дело и КЖ. Принятие входящего документа регулируется нормами АПК РФ и Постановлением Пленума ВАС РФ от 25.12.2013 N 100 ""Об утверждении Инструкции по делопроизводству в арбитражных судах Российской Федерации (первой, апелляционной и кассационной инстанций)"".Жалоба и приложенные к ней документы приобщаются к судебному делу и регистрируются специалистом подразделения"
6,Канцелярия суда первой инстанции,Кассационная жалоба,Зарегистрированная КЖ,ТБП53.Принять входящий документ,Не позднее первой половины следующего дня с даты поступления кассационной жалобы,Канцелярия принимает и регистрирует КЖ. Переход к типовому процессу «Принять входящий документ»Принятие входящего документа регулируется нормами АПК РФ и Постановлением Пленума ВАС РФ от 25.12.2013 N 100. Жалоба и приложенные к ней документы приобщаются к судебному делу и регистрируются специалистом подразделения делопроизводства в системе автоматизации судопроизводства.
7,Система,"","",Предоставить доступ к делу,"",Система рассматривает вопрос о принятии
8,"Судья - председательствующий, ""Боковые"" судьи","",-Определение о принятии кассационной жалобы-Определение об оставлении кассационной жалобы без движения-Определение об оставлении кассационной жалобы без рассмотрения-Определение о возвращении кассационной жалобы,ТБП31.Рассмотреть вопрос о принятии,В течение 5 дней,"Переход к типовому процессу ""Рассмотреть вопрос о принятии"". В результате данного ТП Судья рассматривает вопрос о принятии КЖ к производству. Вопрос рассматривает только Судья - председательствующий.Определение о принятии выносится единолично судьей в 5 дневный срок согласно положениям ч. 2 ст. 278 АПК. Копии определения о принятии кассационной жалобы к производству с указанием места и времени проведения судебного заседания в суде кассационной инстанции направляются специалистом судебного состава лицам, участвующим в деле, не позднее следующего дня после вынесения определения согласно п. 28.3 Инструкции по делопроизводству № 100"
9,Помощник судьи,"","",Суд апелляционной инстанции завершил рассмотрение АЖ?Эксклюзивный шлюз,"",Суд апелляционной инстанции завершил рассмотрение АЖ?Да: переход к шагу 10Нет: переход к шагу 11
