№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Взыскатель,"","",Требуется получение судебного приказа  , Срок исковой давности в зависимости от правоотношений,"Взыскатель определяет порядок рассмотрения требования о взыскании задолженности и подсудность будущего заявления.Взыскатель проверяет необходимость соблюдения досудебного порядка урегулирования спора.Направляет копию заявления должнику.Проверяет необходимость уплаты госпошлины. Рассчитывает и уплачивает госпошлину. Может быть подано ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины, об освобождении от ее уплаты.Возможны проверки и подсказки для взыскателя при подаче заявления для повышения доступности правосудия"
1,Взыскатель,"Требование о взыскании задолженности или истребовании движимого имущества от должникадокументы, подтверждающие обоснованность требования взыскателя    документ, удостоверяющий полномочия на подписание заявления           ","Заявление о вынесении судебного приказа,доказательства соблюдения досудебного порядка,уведомление о вручении или иные документы, подтверждающие направление взыскателем должнику копий заявления о вынесении судебного приказа и приложенных к нему документов,документ, подтверждающий уплату государственной пошлины",ТБП7.Подать документы в суд,""," Взыскатель подает в суд документы: заявление о вынесении судебного приказадокументы, подтверждающие обоснованность требования взыскателядокумент, удостоверяющий полномочия на подписание заявлениядокумент, подтверждающий уплату государственной пошлиныуведомление о вручении или иные документы, подтверждающие направление взыскателем должнику копий заявления о вынесении судебного приказа и приложенных к нему документовдоказательства соблюдения досудебного порядка (при необходимости)Переход к типовому процессу «Подать документы в суд»Возможно реализовать формирование заявления в ЛК и потоковую подачу из ИС взыскателяВозможна уплата госпошлины при подаче заявления"
2,Взыскатель,"","",Ожидать рассмотрения ,"",Взыскатель ожидает рассмотрения заявленияТребуется система уведомлений о статусе регистрации и рассмотрения заявления/дела
3,Взыскатель,"","",  Завершение процесса,"", Завершение процесса
4,Канцелярия, Заявление о вынесении судебного приказа с приложениями,"",ТБП53.Принять входящий документ,"","Документы в суд могут быть поданы на бумажном носителе или в электронном виде, в том числе в форме электронного документа.Требуется переход к полностью электронному документообороту. "
5,Канцелярия, Заявление о вынесении судебного приказа с приложениями, Зарегистрированное дело,ТБП31.Рассмотреть вопрос о принятии, 1 рабочий день с даты поступления," В канцелярии суда регистрируется входящий документ.Переход к типовому процессу «Принять входящий документ»Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию,  валидация регистрации сотрудником ОД, автоматическое распределение на судью, уведомление судьи о новом деле"
6,Канцелярия,  Зарегистрированное дело,  Зарегистрированное делоРеестр передачи документов,Передать дело/документ судье ,  1 рабочий день с даты поступления,Переход к типовому процессу «Передать дело/документ судье»Результатом данного технологического процесса станет оформление и передача зарегистрированного судебного дела сотрудником канцелярии судье с внесением данных о деле в соответствующий реестр судаВозможна автоматизация маршрутизации документов
7,Помощник судьи, Зарегистрированное дело, Справка о соответствие заявления требованиям закона,Проанализировать поступивший  документ ,"", Судья поручает помощнику судьи проанализировать поступивший  документ на соответствие требованиям закона.Возможна автоматизация подготовки анализа поступивших документов
8,Судья,  Зарегистрированное дело Справка о соответствие заявления требованиям закона, Определение о возвращении заявления о выдаче судебного приказаОпределение об отказе в принятии заявления о выдаче судебного приказа,ТБП89.Передать дело в архив, 3 рабочих дня с даты поступления заявления," Судья принимает решение о соответствии заявления требованиям закона. В случае несоответствия либо поступления от взыскателя заявления о возвращении заявления о выдаче судебного приказа, судья возвращает заявление либо отказывает в его принятии.Переход к типовому процессу «Рассмотрение вопроса о принятии к производству»Возможна автоматизация подготовки проекта судебного акта, электронное извещение ЛУВД"
9,Судья,"","",Заявление принято к рассмотрению? Эксклюзивный шлюз,""," Судья определяет какой исход рассмотрения вопроса о принятии Переход к шагам 10, 14"
10,Судья, Доказательства направления копии СА взыскателюДоказательства возврата госпошлины, Надлежащим образом подготовленное дело для сдачи в архив,ТБП142.Сформировать правовую позицию по делу,"", Взыскатель уведомлен о возвращении заявления о выдаче судебного приказа либо об отказе в его принятииГоспошлина возвращена Все документы приобщены и подшиты в том дела.Автоматизация процесса приобщения к материалам дела 
11,Судья,"","",ТБП140.Рассмотреть по существу,"", Судья ожидает 6 месяцев с даты вступления в законную силу СА перед передачей дела в архив.Автоматизация процесса расчета срока для передачи в архив
12,Судья, Надлежащим образом подготовленное дело, Реестр передачи в архив,ТБП80.Принять СА, Согласно графику передачи дел в архив," Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотренияВозможна автоматизация передачи дела в архив"
13,Судья,"","", Завершение процесса,"", Завершение процесса
14,Помощник судьи, Зарегистрированное дело Справка о соответствие заявления требованиям закона," Ответы на запросы, заключение по вопросам права.",Подготовить заявление к рассмотрению ,"","Переход к типовому процессу ""Подготовить дело к рассмотрению"". В результате данного ТП помощник судьи готовит дело к рассмотрению.ТП включает в себя:подбор законов и иных нормативных правовых актов, материалов судебной практики, необходимых для рассмотрения дела; подготовка заключения по сложным и спорным вопросам применения норм материального права; направление запросов;контроль поступления документов, истребованных судом.Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению"
15,Судья,"Материалы делаСправка о соответствие заявления требованиям законаОтветы на запросы, заключение по вопросам права.", Выводы суда,Оценить доказательства по делу ,""," Переход к типовому процессу ""Оценить доказательства по делу"". Суд исследует изложенные в направленном взыскателем заявлении о вынесении судебного приказа и приложенных к нему документах сведения в обоснование позиции данного лица.Система может проводить автоматические проверки, анализировать материалы дела и судебную практику, формировать отчет для судьи."
16,Судья, Выводы суда, Принятое решение,Рассмотреть дело по существу, 10 дней с момента поступления заявления,Суд после исследования доказательств принимает решение о вынесении судебного приказа на основании представленных документов.
17,Судья, Принятое решение, Судебный приказ,Принять СА , 10 дней с момента поступления заявления, Суд исследует изложенные в направленном взыскателем заявлении о вынесении судебного приказа и приложенных к нему документах сведения в обоснование позиции данного лица и выносит судебный приказ на основании представленных документов.Возможно автоматическое формирование проекта СА
18,Судья,"","", Параллельный шлюз,"", Параллельный шлюз: разделение параллельных потоков процессаПараллельная обработка различных процессуальных вопросов в соответствии с АПК РФ
19,Канцелярия, Копия судебного приказа," Доказательство направления должнику (почтовый реестр, трек-номер для отслеживания, расписка о получении и т.д.)",ТБП7.Подать документы в суд, 5 рабочих дней с даты судебного приказа, Суд в пятидневный срок со дня вынесения судебного приказа высылает копию судебного приказа должнику.Возможно электронное извещение ЛУВД
20,Канцелярия,"","", Завершение процесса,"", Завершение процесса
21,Должник,"","",Получить копию судебного приказа (Стартовое событие),"",""
22,Должник,"","",Ознакомиться с копией судебного приказа (Ручная задача),"",""
23,Должник,"","",Есть возражения на судебный приказ? (Исключающий шлюз),"",""
24,Должник,"","",Подать документы в суд (Вызов подпроцесса),"",""
25,Должник,"","", (Завершающее событие),"",""
26,Должник,"","",Исполнить добровольно? (Исключающий шлюз),"",""
27,Должник,"","",ТБП53.Принять входящий документ,"",""
28,Должник,"","",Исполнить добровольно (Ручная задача),"",""
29,Должник,"","",ТБП7.Подать документы в суд,"",""
30,Должник,"","", (Завершающее событие),"",""
31,Канцелярия,"","",Получены возражения (Стартовое событие),"",""
32,Канцелярия,"","",ТБП7.Подать документы в суд,"",""
33,Канцелярия,"","",Передать дело/документ судье (Вызов подпроцесса),"",""
34,Судья,"","", (Исключающий шлюз),"",""
35,Взыскатель,"","",ТБП52.Рассмотреть вопрос об исправлении ошибок,"",""
36,Взыскатель,"","",Вопрос об исправлении ошибок рассмотрен судом,"",""
37,Взыскатель,"","", (Завершающее событие),"",""
38,Судья,"","",Ожидание подтверждения вручения копии должнику (Таймер (прерывающий)),"",""
39,Судья,"","",ТБП91.Обратить СА к исполнению,"",""
40,Должник,"","",Возникла необходимость в исправлении описок/опечаток (Стартовое событие),"",""
41,Должник,"","",ТБП89.Передать дело в архив,"",""
42,Должник,"","",Дело передано в архив,"",""
43,Судья,"","",ТБП142.Сформировать правовую позицию по делу,"",""
44,Судья,"","",ТБП140.Рассмотреть по существу,"",""
45,Судья,"","",ТБП80.Принять СА,"",""
46,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА (Таймер (прерывающий)),"",""
47,Судья,"","",Передать дело в архив (Вызов подпроцесса),"",""
48,Судья,"","", (Завершающее событие),"",""
49,Судья,"","",Рассмотреть заявление по существу (Вызов подпроцесса),"",""
50,Судья,"","",Принять СА (Вызов подпроцесса),"",""
51,Судья,"","", (Параллельный шлюз),"",""
52,Канцелярия,"","",Направить документ (Вызов подпроцесса),"",""
53,Канцелярия,"","", (Завершающее событие),"",""
54,Взыскатель,"","",Получено определение (Стартовое событие),"",""
55,Взыскатель,"","",ТБП89.Передать дело в архив,"",""
56,Взыскатель,"","",Дело передано в архив,"",""
57,Взыскатель,"","",Переход к процессу искового производства (Таймер (непрерывающий)),"",""
58,Взыскатель,"","", (Завершающее событие),"",""
59,Должник,"","",Получено определение (Стартовое событие),"",""
60,Должник,"","",Ознакомиться (Ручная задача),"",""
61,Должник,"","", (Завершающее событие),"",""
62,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА (Таймер (прерывающий)),"",""
63,Судья,"","",Передать дело в архив (Вызов подпроцесса),"",""
64,Судья,"","", (Завершающее событие),"",""
