№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи,—,—,Возникла необходимость известить иностранное лицо,—,Помощник судьи определяет необходимость извещения иностранного лица о судебном заседании или судебном акте. Автоматическое определение необходимости извещения на основе данных о гражданстве участников процесса
1,Помощник судьи,—,—,"На территории РФ находится представитель иностранного лица, уполномоченный на получение документов? Эксклюзивный шлюз",—,Помощник судьи проверяет наличие представителя иностранного лица на территории РФ.Автоматическая проверка реестра представителей иностранных лиц
2,Помощник судьи,—,Документы для извещения,ТБП46.Направить документ,—,"Переход к типовому процессу ""Направить документ"". В результате данного ТП Помощник судьи направляет документы представителю иностранного лица на территории РФ. Автоматическая отправка документов через электронные каналы связи"
3,Помощник судьи,—,—,Судебные акты отправлены.,—,Завершение процесса извещения через представителя
4,Система,—,—,Найти международный договор об извещении,—,"Система находит международный договор об извещении с соответствующим государством. Согласно ст. 256.6 АПК РФ: Направление иностранному государству судебного извещения о возбуждении против него дела в суде Российской Федерации, а также иного процессуального документа, подлежащего вручению иностранному государству (далее - судебное извещение), осуществляется арбитражным судом в соответствии с применимым международным договором Российской Федерации.В случае отсутствия применимого международного договора Российской Федерации арбитражный суд направляет судебное извещение в федеральный орган исполнительной власти, уполномоченный в области юстиции, для последующего направления (вручения) иностранному государству по дипломатическим каналам через федеральный орган исполнительной власти, осуществляющий функции по выработке и реализации государственной политики и нормативно-правовому регулированию в сфере международных отношений Российской Федерации."
5,Помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
6,Судья,—,—,Установить содержания норм права в официальном толковании,—,Судья изучает содержание норм международного договора в официальном толковании. Автоматический поиск официальных толкований в правовых базах
7,Судья,—,—,Требуется перевод СА? Эксклюзивный шлюз,—,Судья определяет необходимость перевода судебного акта.Автоматическая проверка языка документа и требований международного договора
8,Судья,—,Судебный акт для перевода,Направить СА на перевод,—,Судья направляет судебный акт на перевод. Автоматическая отправка документа переводчику
9,Система,—,—,Ожидать перевода,—,Ожидание завершения перевода судебного акта. Система отслеживает статус
10,Судья,Переведенный СА,Переведенный СА,Получить перевод и уведомить пользователя,—,Система получает переведенный судебный акт от переводчика и уведомляет судью. Перевод судебных документов на иностранный язык должен быть нотариально заверен (ч. 20.7 ст.20 Постановление Пленума ВАС РФ от 25.12.2013 N 100) 
11,—,—,—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз, переход к шагу 12"
12,Судья,—,—,Для извещения требуется судебное поручение? Эксклюзивный шлюз,—,Судья определяет необходимость судебного поручения для извещения.Автоматическая проверка требований международного договора
13,Судья,—,Судебное поручение,ТБП80.Принять СА,—,"Переход к типовому процессу ""Принять СА"". В результате данного ТП Судья принимает судебное поручение к исполнению. Автоматическая регистрация судебного поручения"
14,Судья,—,—,Применяются нормы Гаагской конвенции 1965г?Эксклюзивный шлюз,—,"Судья определяет применимость норм ""Конвенция о вручении за границей судебных и внесудебных документов по гражданским или торговым делам"" (заключена в г. Гааге 15.11.1965)?Согласно ст.5 Гаагской конвенции 1965г: Центральный орган запрашиваемого государства вручает или доставляет документ самостоятельно или иным образом обеспечивает его вручение:a) либо в порядке, предусмотренном законодательством этого государства для вручения или доставки совершенных в нем документов лицам, находящимся на его территории;b) либо, по ходатайству заявителя, в особом порядке, если такой порядок не является несовместимым с законодательством запрашиваемого государства.За исключением случая, предусмотренного в пункте b) части первой настоящей статьи, документ может всегда быть непосредственно доставлен такому адресату, который согласен его добровольно принять.Если документ подлежит вручению в соответствии с частью первой настоящей статьи, Центральный орган может потребовать, чтобы документ был составлен или переведен на официальный язык или один из официальных языков запрашиваемого государства.Вместе с документом адресату доставляется та часть запроса, оформленная по образцу, прилагаемому к настоящей Конвенции, которая содержит основные положения документа, подлежащего вручению.Автоматическая проверка применимости Гаагской конвенции"
15,Судья,—,—,Заполнить форму по Гаагской конвенции,—,Судья заполняет форму по Гаагской конвенции 1965 года
16,Система,—,Свидетельство о вручении,Сформировать свидетельство о вручении,—,"Система формирует свидетельство о вручении документов. Согласно ст. 6 Гаагской конвенции 1965г: Центральный орган запрашиваемого государства, или другой орган, который может быть назначен с этой целью, составляет подтверждение о вручении в форме свидетельства по образцу, прилагаемому к настоящей Конвенции. В свидетельстве подтверждается, что документ вручен, и приводятся способ, место и дата вручения, а также указывается лицо, которому вручен документ. Если документ не был вручен, то в свидетельстве указываются воспрепятствовавшие этому причины. Заявитель может потребовать, чтобы свидетельство, которое не составлено Центральным органом или судебным органом, было заверено одним из них.Автоматическое приложение свидетельства о вручении"
17,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
18,Судья,—,Сопроводительное письмо,ТБП49.Сформировать и подписать документ,—,"Типовой процесс ""Сформировать и подписать документ"""
19,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
20,Помощник судьи,—,—,Поставить электронную гербовую печать,—,Помощник судьи ставит гербовую печать на документы
21,Помощник судьи,—,Реестр формы Ф-103А,Составить реестр формы Ф-103А,—,Помощник судьи составляет реестр формы Ф-103А для отправки документов. На русском и иностранном языке
22,Система,—,—,Сформировать реестр формы Ф-103А,—,Система формирует реестр формы Ф-103А
23,Помощник судьи,—,—,Иностранное лицо извещается напрямую? Эксклюзивный шлюз,—,Помощник судьи определяет способ извещения.Автоматическое определение способа извещения на основе международного договора
24,Помощник судьи,—,Документы для извещения,ТБП46.Направить документ,—,"Переход к типовому процессу ""Направить документ"". В результате данного ТП Помощник судьи направляет документы напрямую иностранному лицуАвтоматическая отправка документов напрямую"
25,Помощник судьи,—,—,Завершение процесса. Приняты меры к извещению иностранного лица,—,"Завершение процесса извещения напрямую, приняты меры к извещению иностранного лица"
26,Помощник судьи,—,—,Извещается через иностранный суд? Эксклюзивный шлюз,—,Помощник судьи определяет необходимость извещения через иностранный суд.Автоматическая проверка требований международного договора
27,Помощник судьи,—,—,Извещается через иностранный суд напрямую? Эксклюзивный шлюз,—,Помощник судьи определяет способ извещения через суд.Автоматическое определение способа извещения через суд
