№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,Результаты оценки доказательств по делу о банкротстве,—,После оценки доказательств суд перешел к рассмотрению вопроса о введении фин. оздоровления,—,Суд завершил оценку доказательств и переходит к рассмотрению вопроса о введении финансового оздоровления
1,Система,—,—,Задать вопрос судье о тайне совещательной,—,Система спрашивает судью о тайне совещательной
2,Суд,—,—,Ответить на вопрос о тайне совещательной,—,Суд отвечает на вопрос системы о тайне совещательной
3,Система,—,—,Тайна совещания судей обеспечена?Эксклюзивный шлюз,—,"Система проверяет, обеспечена ли тайна совещания судей"
4,Система,—,—,Закрыть доступ к вынесению СА,—,Система закрывает доступ к вынесению СА
5,Суд,—,—,Завершение процесса. Переход в процесс Провести СЗ,—,При необеспечении тайны совещательной суд переходит к проведению судебного заседания
6,Система,—,—,Сохранить информацию о подтверждении соблюдении тайны,—,Система сохраняет информацию о подтверждении соблюдении тайны
7,Система,—,Определение применимых законов и НПА,Определить законы и НПА подлежащие применению,—,"Система определяет законы и нормативно-правовые акты, подлежащие применению при рассмотрении вопроса о финансовом оздоровлении"
8,Система,—,—,Установить содержание норм права в официальном толковании,—,Система устанавливает содержание норм права в официальном толковании
9,Система,—,—,Установить содержание норм права в судебной практике,—,Система устанавливает содержание норм права в судебной практике
10,Система,—,—,Установить права и обязанности ЛУВД,—,Система устанавливает права и обязанности ЛУВД
11,Суд,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
12,Суд,—,—,ЛУВД ссылались на иные НПА? Эксклюзивный шлюз,—,"Суд проверяет, ссылались ли лица, участвующие в деле, на иные нормативно-правовые акты."
13,Суд,—,Мотивы неприменения НПА в судебном акте,Указать в СА мотивы неприменения НПА,—,"Суд указывает в судебном акте мотивы неприменения нормативно-правовых актов, на которые ссылались участники процесса"
14,Суд,—,—,Эксклюзивный шлюз,—,"Эксклюзивный шлюз, переход к шагу 8"
15,Суд,—,—,Собранием кредиторов принято решение о фин. оздоровлении должника?Эксклюзивный шлюз,—,"Суд проверяет, принято ли собранием кредиторов решение о финансовом оздоровлении должника. Согласно ч.1 ст.80 Федерального закона от 26.10.2002 N 127-ФЗ : Финансовое оздоровление вводится арбитражным судом на основании решения собрания кредиторов, за исключением случаев, предусмотренных пунктами 2 и 3 статьи 75 настоящего Федерального закона. "
16,Суд,—,—,ТБП5.Проверить срок,—,"Переход к типовому процессу ""Проверить срок"". В результате данного ТП Судья проверяет соблюдение процессуальных сроков"
17,Суд,—,—,Суд может отложить рассмотрение дела?Эксклюзивный шлюз,—,Суд определяет возможность отложения рассмотрения дела.
18,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,При невозможности отложения дела суд переходит к основной схеме в зависимости от процедуры банкротства
19,Система,—,Результат проверки наличия ходатайства,Проверить наличие ходатайства о введении фин. оздоровления,—,Система проверяет наличие ходатайства о введении финансового оздоровления в материалах дела
20,Суд,—,—,В деле о банкротстве имеется ходатайство о фин. оздоровлении?Эксклюзивный шлюз,—,Система проверяет наличие ходатайства о финансовом оздоровлении в деле.
21,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,При отсутствии ходатайства суд переходит к основной схеме в зависимости от процедуры банкротства
22,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
23,Суд,—,"",Рассмотреть ходатайство о введении фин. оздоровления,—,Суд рассматривает ходатайство о введении финансового оздоровления по существу
