№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/секретарь/сотрудник отдела делопроизводства,Необходимость изготовления копий,—,Возникла необходимость изготовить копии. Стартовое событие.,—,"Изготовление копий документов арбитражным судом представляет собой процессуально-техническое действие, направленное на обеспечение доступа участников дела и иных лиц к материалам дела и судебным актам, а также на реализацию их процессуальных прав, закреплённых в Арбитражном процессуальном кодексе Российской Федерации (далее — АПК РФ).Процесс инициируется по запросу стороны, внутреннему поручению судьи или для направления судебных актов. Помощник судьи/секретарь/сотрудник отдела делопроизводства принимает решение о необходимости изготовления копий документов."
1,Помощник судьи/секретарь/сотрудник отдела делопроизводства,Необходимость изготовления копий,—,Какие копии необходимо изготовить? (Эксклюзивный шлюз),—,Помощник судьи/секретарь/сотрудник отдела делопроизводства определяет копии каких именно документов необходимо изготовить?
2,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,Копии материалов дела,Изготовить копии материалов дела,"","Помощник судьи/секретарь/сотрудник отдела делопроизводства изготавливает копии материалов дела. При копировании документа, созданного в электронном виде создается его полная копия, если есть ЭЦП или штамп, то он он переносится в полностью неизмененном виде. С правовой точки зрения это один и тот же документ не зависимо от количества его копий, значение имеет только текст такого документа."
3,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,Документы требуется подписать отдельно? Эксклюзивный шлюз,—,Документы требуется подписать отдельно? Эксклюзивный шлюз
4,Система арбитражного суда,—,—,Нанести штрихкод с электронными реквизитами,—,"Система наносит штрихкод с электронными реквизитами. Данные по суду отправителю и делу, заменяет печать суда."
5,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,Завершение процесса. Электронные копии документов изготовлены,—,Завершение процесса. Электронные копии документов изготовлены
6,Система арбитражного суда,—,—,Определить протоколы для направления,—,Система на основе имеющихся данных определяет протоколы для направления и уведомляет пользователя
7,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные "
8,Система арбитражного суда,—,—,Подготовить копию документа,—,"Система готовит копию документа. При копировании документа, созданного в электронном виде создается его полная копия, если есть ЭЦП или штамп, то он он переносится в полностью неизмененном виде. С правовой точки зрения это один и тот же документ не зависимо от количества его копий, значение имеет только текст такого документа."
9,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,Закрывающий шлюз для шага 3,—,Закрывающий шлюз для шага 3
10,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,Цифровая копия документа,Записать цифровую копию документов,—,Помощник судьи/секретарь/сотрудник отдела делопроизводства записывает цифровую копию документов
11,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,Выбрать орган следствия/дознания,—,Помощник судьи/секретарь/сотрудник отдела делопроизводства выбирает орган следствия/дознания
12,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,ТБП46.Направить документ,—,"Типовой процесс ""Направить документ"""
13,Помощник судьи/секретарь/сотрудник отдела делопроизводства,—,—,Завершение процесса. Копии материалов дела для органов следствия/дознания изготовлены на электронном носителе,—,Завершение процесса. Копии материалов дела для органов следствия/дознания изготовлены на электронном носителе
14,Система арбитражного суда,—,—,Поставить задачу на подпись судье,—,Система ставит судье задачу на подписание
15,Судья/председатель судебного состава,Копии документов,—,Получить копии документов на подпись,—,Судья/председатель судебного состава получает копии документов для подписи. Система проверяет их корректность и правильность оформления в соответствии с положениями Инструкции № 100.
16,Судья/председатель судебного состава,Копии документов,Заверенная копия,Подписать копии документов УКЭП,—,Судья/председатель судебного состава подписывает копии документов УКЭП
17,Судья/председатель судебного состава,—,—,Необходимо поставить гербовую печать? Эксклюзивный шлюз,—,Необходимо поставить гербовую печать? Эксклюзивный шлюз
18,Судья/председатель судебного состава,Заверенная копия,"Копия, заверенная гербовой печатью",Поставить электронную гербовую печать,—,Судья/председатель судебного состава ставит электронную гербовую печать
19,Судья/председатель судебного состава,—,—,Закрывающий шлюз для шага 17,—,Закрывающий шлюз для шага 17
20,Судья/председатель судебного состава,—,—,Закрыть задачу на подпись,—,Судья/председатель судебного состава закрывает задачу на подпись
21,Судья/председатель судебного состава,—,—,Завершение процесса. Копии изготовлены,—,Завершение процесса. Копии изготовлены
