№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,ЛУВД,-,-,Появилась необходимость подать заявление о признании должника банкротом,-,ЛУВД инициирует: появилась необходимость подать заявление о признании должника банкротом
1,Система,-,-,Определить категорию должника,-,Система автоматически выполняет: определить категорию должника
2,Система,-,-,Получить данные о должнике из ЕФРСБ,-,Система автоматически выполняет: получить данные о должнике из ефрсб
3,ЛУВД,-,Заявление о признании должника банкротом,ТБП7.Подать документы в суд,-,"Переход к типовому процессу ""Подать документы в суд"""
4,Система,-,-,Ограничить подачу,-,Система автоматически выполняет: ограничить подачу
5,ЛУВД,-,-,Ограничена подача в связи с окончанием срока установленного судом.,-,Завершение процесса
6,ЛУВД,-,-,"",-,Завершение процесса
7,Канцелярия,-,-,Поступило  заявление о признании должника банкротом,-,Канцелярия инициирует: поступило  заявление о признании должника банкротом
8,Канцелярия,Заявление о признании должника банкротом,Зарегистрированное дело о несостоятельности (банкротстве),ТБП53.Принять входящий документ,-,"Переход к типовому процессу ""Принять входящий документ""Комментарий: Регистрация и распределение дела внутри данного процесса"
9,Система,-,-,Проверить категорию должника,-,Система автоматически выполняет: проверить категорию должника
10,Судья,-,-,ТБП139.Проверить выводы системы,-,"Переход к типовому процессу ""Проверить выводы системы"""
11,Судья,-,Судебный акт по вопросу о принятии,ТБП31.Рассмотреть вопрос о принятии,-,"Переход к типовому процессу ""Рассмотреть вопрос о принятии""Комментарий: Оставление без движения, возвращение, отказ в принятии, принятие, назначение СЗ внутри данного процесса"
12,Судья,-,-,Заявление принято к рассмотрению?,-,"Если да, то переход к шагу 16. Если нет, то переход к шагу 13"
13,Судья,-,-,6 месяцев с даты вступления в законную силу СА,-,Судья 6 месяцев с даты вступления в законную силу са
14,Судья,-,-,ТБП89.Передать дело в архив,-,"Переход к типовому процессу ""Передать дело в архив"""
15,Судья,-,-,"Заявление не принято к рассмотрению, передано в архив",-,"Завершение процесса: Заявление не принято к рассмотрению, передано в архив"
16,Судья,-,-,Контрольным органом назначена временная администрация НПФ,-,"Если да, то переход к шагу 17. Если нет, то переход к шагу 18"
17,Судья,-,-,ТБП63.Рассмотреть вопрос о приостановлении,-,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"""
18,Судья,-,-,"",-,Переход к шагу 52
19,Судья,-,-,Возникла необходимость в выборе АУ,-,Судья инициирует: возникла необходимость в выборе ау
20,Система,-,-,Уведомить СРО о выборе кандидатуры АУ,-,Система автоматически выполняет: уведомить сро о выборе кандидатуры ау
21,Система,-,-,Получить информацию о соответствии кандидатуры АУ,-,Система автоматически выполняет: получить информацию о соответствии кандидатуры ау
22,Судья,-,-,Кандидат соответствует требования?,-,"Если да, то переход к шагу 23. Если нет, то переход к шагу 24"
23,Судья,-,-,Выбран кандидат для утверждения АУ,-,Завершение процесса: Выбран кандидат для утверждения АУ
24,Система,-,-,Получить информацию о новой кандидатуре,-,Система автоматически выполняет: получить информацию о новой кандидатуре
25,Судья,-,-,Переход в шаг 136.,-,Судья переход в шаг 136.
26,Судья,-,-,Возникла необходимость случайного выбора СРО,-,Судья инициирует: возникла необходимость случайного выбора сро
27,Система,-,-,Выбрать случайно в порядке публикации,-,Система автоматически выполняет: выбрать случайно в порядке публикации
28,Система,-,-,Определить СРО для выбора АУ,-,Система автоматически выполняет: определить сро для выбора ау
29,Судья,-,-,Переход в шаг 69.,-,Судья переход в шаг 69.
30,ЛУВД,-,-,Возникла необходимость стать участником дела о банкротстве,-,ЛУВД инициирует: возникла необходимость стать участником дела о банкротстве
31,ЛУВД,-,-,Заявить как участника процесса,-,ЛУВД заявить как участника процесса
32,Судья,-,-,Лицо подало заявление об участии в деле,-,Судья инициирует: лицо подало заявление об участии в деле
33,Судья,-,-,ТБП116.Рассмотреть вопрос об изменении состава ЛУВД,-,"Переход к типовому процессу ""Рассмотреть вопрос об изменении состава ЛУВД"""
34,ЛУВД,-,-,Рассмотрен вопрос об изменении состава ЛУВД,-,Завершение процесса: Рассмотрен вопрос об изменении состава ЛУВД
35,Судья,-,-,Суд предоставил доступ к делу?,-,"Если да, то переход к шагу 36. Если нет, то переход к шагу 38"
36,Система,-,-,Предоставить доступ,-,Система автоматически выполняет: предоставить доступ
37,ЛУВД,-,-,Лицу присвоена категория участника дела,-,Завершение процесса: Лицу присвоена категория участника дела
38,ЛУВД,-,-,В доступе отказано,-,Завершение процесса: В доступе отказано
39,ЛУВД,-,-,Получено уведомление о принятии,-,ЛУВД инициирует: получено уведомление о принятии
