№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","Обстоятельства, указывающие на необходимость рассмотрения вопроса об отводе",—,Возникла необходимость рассмотреть вопрос об отводе,Незамедлительно,"Выявление обстоятельств, которые могут повлечь отвод участников судебного процесса в соответствии со ст. 21-23 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ.Автоматическая проверка базы данных конфликтов интересов"
1,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Документ об отводе,Запуск проверок ,Запустить процесс проверки,Незамедлительно,"В случае поступления документа об отводе, пользователь может запустить в ручную данную проверку по делу"
2,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Обстоятельства дела,—,Параллельный шлюз для координации процессов проверки,Незамедлительно,Параллельный шлюз для координации процессов. Переход к параллельным проверкам оснований для отвода
3,Система,Информация о предыдущем участии судьи в деле,Заключение о повторном участии судьи,"Проверить, не участвует ли судья повторно в качестве судьи",Незамедлительно,"Автоматическая проверка по базе данных судебных дел.Проверка участия судьи в предыдущих стадиях рассмотрения данного дела в качестве судьи в соответствии со ст. 21 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ"
4,Система,Информация об участии в деле в иных качествах,Заключение об участии в качестве иного участника,Проверить участие при рассмотрении в качестве иного участника,Незамедлительно,"Автоматическая проверка участия судьи в рассмотрении данного дела в качестве прокурора, помощника судьи, секретаря судебного заседания, представителя, эксперта, специалиста, переводчика или свидетеля"
5,Система,Информация об участии в международных судебных органах,Заключение об участии в иностранных судах,Проверить участие ранее как судьи иностранного суда/арбитража,Незамедлительно,Проверка участия судьи в рассмотрении данного дела в качестве судьи иностранного суда или арбитража. Запрос в международные базы данных
6,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация об участии в третейском разбирательстве,Заключение об участии в третейском суде,Проверить на участие ранее как судьи третейского суда,Незамедлительно,"Проверка участия судьи в рассмотрении данного дела в качестве судьи третейского суда в соответствии со ст. 21 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ. Проверка по реестрам третейских судов"
7,Система,Информация о процедурах примирения,Заключение об участии в примирительных процедурах,"Проверить, являлся ли судебным примирителем по этому делу",Незамедлительно,"Автоматическая проверка по реестру примирителейПроверка участия судьи в качестве судебного примирителя по данному делу в соответствии с процедурами, предусмотренными ""Арбитражным процессуальным кодексом Российской Федерации"" от 24.07.2002 N 95-ФЗ"
8,Система,Информация о родственных связях,Заключение о наличии родственных связей,"Проверить является ли родственником лица, или его представителя",Незамедлительно,"Автоматическая проверка по базам данных родственных связейПроверка родственных связей между судьей и лицами, участвующими в деле, или их представителями в соответствии со ст. 21 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ"
9,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация о заинтересованности в исходе дела,Заключение о заинтересованности,"Проверить лично, прямо или косвенно заинтересован в исходе дела",Незамедлительно,"Анализ конфликтов интересов с использованием алгоритмов в системе.Проверка личной, прямой или косвенной заинтересованности судьи в исходе дела либо иных обстоятельств, которые могут вызвать сомнение в его беспристрастности"
