№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Истец/Заявитель,—,—,Появилась необходимость вернуть уплаченную госпошлину,—,"Истец/Заявитель определяет необходимость возврата уплаченной государственной пошлины.Основаниями для обращения в суд за возвратом госпошлины полностью или частично являются (ст. 333.40 НК РФ):1) уплата государственной пошлины в большем размере, чем это предусмотрено настоящей главой;2) возвращение заявления, жалобы или иного обращения или отказа в их принятии судами либо отказа в совершении нотариальных действий уполномоченными на то органами и (или) должностными лицами.3) Прекращение производства по делу или оставления заявления без рассмотрения;4) отказ лиц, уплативших государственную пошлину, от совершения юридически значимого действия до обращения в уполномоченный орган (к должностному лицу), совершающий (совершающему) данное юридически значимое действие;5) возвращение заявления о совершении юридически значимого действия и (или) документов без их рассмотрения уполномоченным органом (должностным лицом), совершающим данное юридически значимое действие.К заявлению о возврате излишне уплаченной (взысканной) суммы государственной пошлины прилагаются решения, определения или справки судов об обстоятельствах, являющихся основанием для полного или частичного возврата излишне уплаченной (взысканной) суммы государственной пошлины, а также копии платежных документов."
1,Истец/Заявитель,—,Заявление о возврате госпошлины,ТБП46.Направить документ,—,Истец/Заявитель направляет в суд заявление о возврате государственной пошлины с приложением необходимых документов. Электронная подача заявления через личный кабинет с автоматической проверкой комплектности документов
2,Истец/Заявитель,—,—,Ожидать рассмотрения,—,Истец/Заявитель ожидает рассмотрения поданного заявления судомАвтоматическое уведомление о статусе рассмотрения заявления
3,Истец/Заявитель,—,—,Документы отправлены в суд.Завершение процесса,—,Документы отправлены в суд.Завершение процесса
4,Канцелярия суда,Заявление о возврате госпошлины,—,Поступило заявление,—,Канцелярия суда получает заявление о возврате государственной пошлины от истца/заявителяАвтоматическое уведомление о поступлении заявления в электронную систему суда
5,Система,Заявление,Результат поиска дела в ИС арбитражного суда,Проверить наличия дела,—,"OCR распознает текст, LLM выделяет номер дела и запускает процесс проверки наличия в ИС"
6,Канцелярия суда,Результаты проверки наличия дела,—,Установлено наличие дела?Эксклюзивный шлюз,—,"Канцелярия суда принимает решение на основании результатов проверки наличия зарегистрированного в ИС дела.Автоматическое принятие решения на основании результатов поиска в информационных системахЕсли «Да» - переход к шагу 20, если «Нет» - переход к шагу 8"
7,Канцелярия суда,Заявление о возврате госпошлины,Зарегистрированное заявление,ТБП53.Принять входящий документ,—,"Переход к ТП «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации заявления в системе. Автоматическая регистрация документа с присвоением номера и уведомлением заявителя"
8,Канцелярия суда,—,Реестр передачиЗаявление,ТБП106.Передать документ,—,Переход к типовому процессу «Передать документ».Канцелярия суда передает заявление отделу делопроизводства по реестру передачи для дальнейших действий. Автоматическая постановка задачи в электронную систему документооборота
9,Система,Документы от заявителя,Отчет для Отдела судопроизводства,Сформировать отчет согласно проверки,"","Система автоматически ищет совпадения по реквизитам платежа (ИНН, КБК, сумма, назначение).LLM классифицирует основание по заявлению (например, «дело прекращено», «ошибочный платёж» и тд) и выдает рекомендацию основанную на OCR-распознавание документов с автоматической проверкой соответствия требованиям и передает рекомендации отделу делопроизводства для проверки выводов системы и уведмоления пользователей из группы ""Отдел делопроизводства"""
10,Отдел делопроизводства,Реестр передачиЗаявление,Решение сотрудника отдела судопроизводства,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить вывода системы"""
