№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья/Помощник судьи,—,—,Возникла необходимость проверить компетенцию,—,У судьи возникла необходимость проверить компетенцию.
1,Система арбитражного суда,Заявление (Первичный документ),—,Определить состав участников спора,—,"Система определяет, участвует ли в споре физическое лицо.Если в споре участвует хотя бы одно физическое лицо, то дело входит в компетенцию СОЮ, за исключением случаев банкротства.Шаблон карточки участников дела. Система распознает поступившие данные, используя OCR (скан) или LLM (электронные документ или подтвержденные атрибуты), определяет состав участников.ЕСЛИ хотя бы одна сторона = физлицо,ТО система судов = СОЮИНАЧЕ Арбитражный судза одним исключением (см. шаг 2)"
2,Система арбитражного суда,Заявление (Первичный документ),—,"Определить вид спора, распарсить требования",—,"Система определяет вид спора с целью определения подсудности в случае, когда в деле участвует физическое лицо. При участии ФЛ арбитражному суду будет подсудно только дело о банкротстве.Справочник видов споров с подсказками. LLM определяет вид спора в зависимости от требований и участников. Происходит анализ требований.ЕСЛИ (физлицо+банкротство),ТО система судов = Арбитражный суд"
3,Система арбитражного суда,Заявление (Первичный документ),—,Определить компетенцию спора,—,"Система оценивает компетенцию спора, что подразумевает оценку соответствия спора положениям законодательства о компетенции арбитражных судов (ст. 27-ст.32 АПК РФ).LLM определяет компетенцию спораАрбитражный суд рассматривает дела по экономическим спорам и другие дела, связанные с осуществлением предпринимательской и иной экономической деятельности"
4,Система арбитражного суда,—,—,Сформировать отчет о проверках,—,Система формирует отчет о проверках и уведомляет пользователя
5,Судья/Помощник судьи,—,—,Валидировать отчет,—,Судья/Помощник судьи валидирует полученный от системы отчет
6,Судья/Помощник судьи,—,—,Выводы системы верны? Эксклюзивный шлюз,—,Выводы системы верны? Эксклюзивный шлюз
7,Судья/Помощник судьи,—,—,Закрывающий шлюз для шага 6,—,Закрывающий шлюз для шага 6
8,Судья/Помощник судьи,—,—,Сформировать отчет об ошибке,—,Судья/Помощник судьи формирует отчет о найденных ошибках в отчете
9,Судья/Помощник судьи,—,—,Внести данные вручную,—,Судья/Помощник судьи вносит вручную корректные данные
10,Судья/Помощник судьи,—,—,Дело поступило из СОЮ?Эксклюзивный шлюз,—,Дело поступило из СОЮ?Эксклюзивный шлюз
11,Система арбитражного суда,—,—,Сформировать рекомендацию,—,Система формирует рекомендацию. Выводы системы по проверкам.
12,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя. Уведомление через событие с тегом пользователя
13,Судья/Помощник судьи,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
14,Судья/Помощник судьи,—,—,Завершение процесса,—,Завершение процесса
15,Судья/Помощник судьи,—,—,Требования полностью относятся к компетенции арбитражного суда?Эксклюзивный шлюз,—,"Итоговый вопрос, относятся ли требования в полном объеме к компетенции арбитражного суда.Если «Да» - переход к шагу 7, если «Нет» - переход к шагу 8."
16,Система арбитражного суда,—,—,Сохранить,—,Система сохраняет информацию в карточке дела
17,Судья/Помощник судьи,—,—,Завершение процесса,—,Завершение процесса
18,Судья/Помощник судьи,—,—,"Установлено, что заявление содержит несколько требований, одни из которых подсудны СОЮ?Эксклюзивный шлюз",—,"Установлено, что заявление содержит несколько требований, одни из которых подсудны СОЮ?Эксклюзивный шлюз"
19,Судья/Помощник судьи арбитражного суда,—,—,Разделение требований возможно?Эксклюзивный шлюз,—,"Судья выясняет, возможно ли разделение требований конкретно применительно к данному делу.Если «Да» - переход к шагу 12, если «Нет» - к шагу 10.Подсказки по допустимости разъединения требований"
20,Система арбитражного суда,—,—,Установлена необходимость  разъединения дел,—,Система устанавливает возможность и необходимость разделения требований для передачи их части в СОЮ.Генерация проекта процессуального документа по шаблону
21,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
22,Судья/Помощник судьи арбитражного суда,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
