№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
23,Судья/Помощник судьи арбитражного суда,—,—,Завершение процесса,—,Завершение процесса
24,Система арбитражного суда,—,—,Установлено основание для возвращения,—,Судья устанавливает основания для возвращения заявления ввиду невозможности разделения требований для арбитражного суда и СОЮ.Генерация проекта определения по шаблону
25,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
26,Судья/Помощник судьи арбитражного суда,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
27,Судья/Помощник судьи арбитражного суда,—,—,Завершение процесса,—,Завершение процесса
28,Судья/Помощник судьи арбитражного суда,—,—,Дело было принято к производству?Эксклюзивный шлюз,—,"Для определения дальнейший процессуальных действий в отношении дела, по которому был выявлен факт несоответствия компетенции арбитражных судов, требуется выяснить факт принятия дела к производству.Если «Да» - переход к шагу 15, если «Нет» - к шагу 18.Подсказки по проверке стадии дела (принято/не принято)"
29,Система арбитражного суда,—,—,"Определить суд, обладающий компетенцией",—,"Судья определяет суд, обладающий компетенцией в отношении данного дела в силу закона для последующей передачи дела.Справочник судов и правил подсудности"
30,Система арбитражного суда,—,—,Установлено основание для передачи в другой суд,—,Судья устанавливает основание для передачи в другой суд.Генерация проекта определения по шаблону
31,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
32,Судья/Помощник судьи арбитражного суда,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
33,Судья/Помощник судьи арбитражного суда,—,—,Завершение процесса,—,Завершение процесса
34,Система арбитражного суда,—,—,Установлено основание для возвращения,—,Судья устанавливает основания для возвращения заявления ввиду невозможности разделения требований для арбитражного суда и СОЮ.Генерация проекта определения по шаблону
35,Система арбитражного суда,—,—,Уведомить пользователя,—,Система уведомляет пользователя
36,Судья/Помощник судьи арбитражного суда,—,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
37,Судья/Помощник судьи арбитражного суда,—,—,Завершение процесса,—,Завершение процесса
