№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/секретарь СЗ,Определение о назначении СЗ/ПСЗ,—,Появилась необходимость проверить явку участников СЗ,—,"Помощник судьи/секретарь перед началом судебного заседания должен проверить явку в судебное заседания лиц. Проверка явки в судебное заседание это обязательное процессуальное действие суда, которое проводится в самом начале заседания и перед судебным заседанием, является процессуальной гарантией справедливого и законного рассмотрения дела: суд убеждается, что стороны имеют возможность участвовать и защищать свои права. Регулируется главой 12 АПК РФ."
1,Система,Список участников по делу,Список участников процесса,Система формирует список участников процесса,—,Система формирует список участников процесса
2,Система,Список участников процесса,Статусы у каждого участника о извещении,Система отмечает не извещённых в списке участников процесса,—,Система устанавливает статус для каждого участника о извещении
3,Система,ходатайства,Определение лиц от которых поступило ходатайства и отметка в системе,"Система отмечает участников, от кого поступили ходатайства",—,Система отмечает от каких лиц поступало ходатайство
4,Помощник судьи /секретарь СЗ,Список с отметками,Знакомство со списком,Ознакомиться со списком участников,—,Помощник судьи /секретарь СЗ открывает список в системе
5,Помощник судьи/секретарь СЗ,Ходатайства от участников процесса,—,Есть ходатайства от неявившихся ЛУВД о рассмотрении дела в их отсутствии?Эксклюзивный шлюз,—,"Помощник судьи/секретарь СЗ проверяет поступали ли от ЛУВД ходатайства о рассмотрении дела в их отсутствие.Автоматический поиск и анализ поступивших ходатайств в системеЕсли «Да», то переход к шагу 6 процесса.Если «Нет», то переход к шагу 7 процесса."
6,Помощник судьи/секретарь СЗ,Список участников с отметками о ходатайствах,—,"Есть ли ЛУВД, от которых не поступило ходатайство?",—,"Помощник судьи/секретарь СЗ проверяет, есть ли неявившиеся участники, от которых не поступилоходатайство о рассмотрении дела в их отсутствие.Автоматическое сравнение списка неявившихся с поступившими ходатайствами Если «Да», то переход к шагу 7 процесса.Если «Нет», то переход к шагу 8 процесса."
7,Помощник судьи/секретарь СЗ,Список участников процесса,Контрольная информация об уведомлениях,ТБП4.Контроль надлежащего уведомления,—,"Помощник судьи/секретарь СЗ проверяет, есть ли подтверждение о надлежащем извещении неявившихся лиц, которые не заявляли ходатайств о рассмотрении дела в их отсутствие. Суд сможет начать рассмотрения дела в отсутствие неявившихся лиц только в том случае, если будет подтверждение их надлежащего извещения судом.Переход к типовому процессу ""Контроль надлежащего уведомления участников процесса"", результатом которого является информация о надлежащем/ ненадлежащем извещения ЛУВД в зависимости от вида извещения.Автоматизированная система контроля уведомлений с проверкой всех способов доставки."
8,Помощник судьи/секретарь СЗ,—,—,Завершающий шлюз,—,Завершающий шлюз для шага 6 и 7.
9,Помощник судьи/секретарь СЗ,—,—,Ожидать начала СЗ,—,Ожидание начала СЗ
10,Помощник судьи/секретарь СЗ,Информация о присутствующих участниках,—,Явились все участники процесса?,—,"Помощник судьи/секретарь СЗ проверяет все ли участники процесса, вызванные судом, явились на судебное заседание и вносит данные в систему.Автоматическая регистрация явки участников через систему пропуска или QR-кодыЕсли «Да», то переход к шагу 11 процесса.Если «Нет», то переход к шагу 12 процесса."
11,Помощник судьи/секретарь СЗ,Информация о присутствующих участниках,Список явившихся участников,Отметить явившихся участников,—,Автоматическая отметка явки в системе при регистрации участников помощником судьи/секретарь СЗ в системе
12,Помощник судьи/секретарь СЗ,Информация об отсутствующих участниках,Список не явившихся участников,Отметить не явившихся участников,—,Автоматическое определение неявившихся участников по отсутствию регистрации и проставление соответствующего статуса
13,Помощник судьи/секретарь СЗ,Информация о причинах неявки,Сведения о причинах неявки,Отразить сведения о причинах неявки,—,"Помощник судьи/секретарь СЗ фиксирует известные причины неявки участников (болезнь, командировка, ходатайство о рассмотрении дела в отсутствие лица) в системе."
14,Помощник судьи/секретарь СЗ,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 10 процесса
15,Система,Данные о присутствии/отсутствии участников СЗ в системе,Данные о присутствии/отсутствии участников СЗ,Доложить судье информацию о присутствии/отсутствии участников СЗ,—,Система информирует что регистрация завершена и фиксирует завершение процесса регистрации в СЗ в системе
16,Помощник судьи /секретарь СЗ,—,—,Явка проверена.Завершение процесса,—,Явка проверена.Завершение процесса
17,Судья,Доклад о явке участников,—,Получить информацию о присутствии/отсутствии участников СЗ,—,"Автоматическое получение информации о явке в системе судьи, о заявленных ходатайствах о рассмотрении дела в отсутствие ЛУВД, о лицах, отсутствующих в судебном заседании и о причинах их отсутствия (если известно)."
18,Судья,—,—,Явка проверена.Завершение процесса,—,Явка проверена.Завершение процесса
