№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,"Документы, поступившие в суд и переданные судье для решения вопроса о принятии.",—,Возникла необходимость проверить наличие оснований для оставления без движения.,—,"В арбитражном процессе оставление заявления (иска, жалобы и др.) без движения — это промежуточная мера, когда суд обнаруживает, что документ подан с нарушениями требований АПК РФ, но эти нарушения можно устранить.Судья арбитражного суда принимает решение о необходимости проверки документа на предмет оставления без движения."
1,Система,"Документы, поступившие в суд и переданные судье для решения вопроса о принятии.",Выводы системы на основе документов,Начать анализ,—,Система начинает анализ документов на основании метаданных поступивших с документами.
2,Судья,—,—,Параллельный шлюз для координации процессов (Параллельный шлюз),—,"Параллельный шлюз для координации процессов проверки различных требований. Переход к шагам 3, 4, 6, 20 процесса."
3,Система,Поступивший документ,—,Проверить соблюдение требований к форме и содержанию документа,—,"Система арбитражного суда проверяет соответствие документа установленным требованиям к форме и содержанию согласно АПК РФ. Нарушение требований к форме и содержанию документа служит основанием для оставления заявления (иска, жалобы и др.) без движения."
4,Система,Поступивший документ,—,Проверить наличие обязательных приложений к документу,—,"Судья арбитражного суда проверяет наличие всех обязательных приложений к поданному документу, перечень которых установлен АПК РФ в зависимости от конкретного вида спора, по которому подается документ."
5,Судья,Приложения к документу,—,Проверить соблюдение требований к приложениям к документу,—,Судья арбитражного суда проверяет соответствие приложений установленным законом требованиям к их оформлению и заверению.
6,Судья,Поступивший документ,—,Требуется проверить полномочия? (Эксклюзивный шлюз),—,"Судья решает, необходимо ли проверить полномочия лица, подающего документ?Если «Да», то переход к шагу 7 процесса.Если «Нет», то переход к шагу 9 процесса."
7,Судья,"Документы, подтверждающие полномочия представителя",—,ТБП58.Проверить полномочия ЛУВД,—,"Институт представительства в арбитражном процессе закреплён в главе 6 АПК РФ (ст. 59–62). Представитель действует в интересах доверителя, но его процессуальные действия обладают тем же юридическим значением, что и действия самого лица, участвующего в деле. Следовательно, наличие надлежащим образом подтверждённых полномочий является условием признания таких действий легитимными. Переход к типовому процессу «Проверить полномочия представителей» Результатом данного типового процесса станет результат проверки полномочий представителя в соответствии с требованиями процессуального законодательства."
8,Судья,Результаты проверки полномочий,—,Полномочия подтверждены? (Эксклюзивный шлюз),—,"Судья, после проверки документов, представленных в подтверждение полномочий представителя решает, подтверждены ли эти полномочия?Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 19 процесса."
9,Судья,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 6 процесса.
10,Судья,Поступивший документ,—,Требуется проверить право на подачу? (Эксклюзивный шлюз),—,"Судья решает, необходимо ли ему проверить право на подачу данного документа у лица, его подающего или у представителя такого лица.Если «Да», то переход к шагу 11 процесса.Если «Нет», то переход к шагу 13 процесса."
11,Система,Поступивший документ,—,Проверить наличие права на подачу,—,"Арбитражный процессуальный кодекс РФ чётко определяет круг субъектов, обладающих правом на обращение с тем или иным процессуальным средством защиты. Так, например: право на подачу искового заявления принадлежит лицам, чьи права и законные интересы нарушены или оспариваются (ст. 4 АПК РФ); право на апелляционную, кассационную или надзорную жалобу имеют только лица, участвующие в деле, а также иные лица, если судебный акт затрагивает их права и обязанности (ст. 42, 257, 273, 291.1 АПК РФ).Система арбитражного суда проверяет наличие у заявителя права на подачу данного вида документа."
12,Судья,Поступивший документ,—,Есть право на подачу? (Эксклюзивный шлюз),—,"Судья, оценив представленные документы, решает есть ли право на подачу данного вида документа у заявителя. Если «Да», то переход к шагу 13 процесса.Если «Нет», то переход к шагу 18 процесса."
13,Судья,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 10 процесса.
