№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
14,Судья,Поступивший документ,—,ПД на бумажном носителе?Эксклюзивный шлюз,—,"В арбитражном процессе вопрос о подписании процессуальных документов имеет принципиальное значение, поскольку подпись удостоверяет их подлинность, подтверждает волеизъявление лица, участвующего в деле, и обеспечивает надлежащую идентификацию автора документа. Требования к подписи варьируются в зависимости от формы подачи: на бумажном носителе или в электронной форме.Судья смотрит был ли подан первичный документ на бумажном носителе.Если «Да», то переход к шагу 15 процесса.Если «Нет», то переход к шагу 16 процесса."
15,Система,Документ на бумажном носителе.,—,Проверить наличие подписи,—,"Согласно ст. 125, 126, 260 АПК РФ, а также требованиям к форме процессуальных документов: Документ должен быть подписан лицом, участвующим в деле, либо его представителем. Если документ подписывается представителем, к нему должна быть приложена доверенность или иной документ, подтверждающий полномочия. Подпись выполняется собственноручно, что обеспечивает аутентичность документа и исключает возможность сомнения в его происхождении. В ряде случаев требуется подпись руководителя организации и печать (если печать используется в документообороте данной организации).Система арбитражного суда проверяет наличие подписи на бумажном документе."
16,Судья,Электронный документ,—,ТБП8.Проверить ЭП,—,"Электронная подпись подтверждается средствами криптографической защиты и верифицируется с использованием сертифицированных удостоверяющих центров. Особенности регулируются ст. 125, 126 АПК РФ, а также положениями Федерального закона «Об электронной подписи» № 63-ФЗ. Переход к типовому процессу «Проверить ЭП» Результатом данного типового процесса станет проверка электронной подписи документа в соответствии с требованиями законодательства об электронной подписи."
17,Судья,—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 14 процесса.
18,Судья,—,—,Закрывающий шлюз,"",Закрывающий шлюз для шага 12 процесса.
19,Судья,—,—,Закрывающий шлюз,"",Закрывающий шлюз для шага 8 процесса.
20,Судья,Документ с данными об оплате,—,ТБП33.Проверить госпошлину,—,"Государственная пошлина — это обязательный платёж, взимаемый при обращении в суд в случаях, предусмотренных законом (ст. 103 АПК РФ, ст. 333.16 НК РФ). Она выполняет двойную функцию: фискальную, поскольку формирует доходную часть бюджета и процессуальную, так как её уплата является условием допустимости судебного обращения. Именно поэтому проверка факта и правильности уплаты госпошлины судом при решении вопроса о принятии документа имеет императивный характер. Переход к типовому процессу «Проверить госпошлину». Результатом данного типового процесса станет проверка уплаты государственной пошлины в соответствии с требованиями налогового законодательства."
21,Судья,—,—,Закрывающий параллельный шлюз.,—,Закрывающий шлюз для шага 2 процесса.
22,Система,Данные проверок и анализа,Рекомендация пользователю,Закончить анализ и сформировать отчет,—,Система формирует рекомендацию и выводит список проверок с результатами
23,Система,Сформированная рекомендация,Уведомление пользователю,Уведомить пользователя,—,Система уведомляет пользователя о готовности рекомендации
24,Судья,Рекомендация системы,Вывод пользователя,ТБП139.Проверить выводы системы,—,Судья проверяет выводы системы.
25,Судья,Результат проверки,Решение пользователя,Принять решение,—,Судья в системе определяет дальнейшие шаги.
26,Судья,Результаты всех проверок,—,Есть основания для оставления без движения? (Эксклюзивный шлюз),—,"Судья, проверив поступившие документы делает вывод, установлены ли им основания для оставления заявления (иска, жалобы и др.)  без движения.Если «Да», то переход к шагу 30 процесса.Если «Нет», то переход к шагу 27 процесса."
27,Судья,Результаты проверок,—,Требования к документу соблюдены? (Эксклюзивный шлюз),—,"Судья решает, были ли соблюдены требования к документу?Если «Да», то переход к шагу 28 процесса.Если «Нет», то переход к шагу 29 процесса."
28,Судья,Поступивший документ,—,"Переход в ТП ""Рассмотреть вопрос о принятии""",—,"Если оснований для оставления документа без движения установлено не было, то процесс продолжается в ТП Рассмотреть вопрос о принятии. Завершения процесса рассмотреть вопрос об оставлении без движения."
29,Судья,Поступивший документ,—,"Переход к шагу 99 ТП ""Рассмотреть вопрос о возвращении документа""",—,"Судья установил, что не соблюдены требования к документу и есть основания для его возвращения заявителю. Процесс продолжается с шага 87 ТП ""Рассмотреть вопрос о возвращении документа"". Завершения процесса рассмотреть вопрос об оставлении без движения."
30,Судья,Документ с основаниями для оставления без движения,Определение об оставлении без движения,ТБП80.Принять СА,5 дней с момента поступления документа,"В арбитражном процессе определение об оставлении заявления без движения представляет собой самостоятельный процессуальный акт суда, направленный на устранение выявленных недостатков обращения, препятствующих его принятию к производству. Оставление заявления без движения закреплено в ст. 128 АПК РФ.Судья арбитражного суда переходит к процессу вынесения определение об оставлении документа без движения с указанием срока для устранения недостатков. Переход к ТП «Принять СА». Результатом данного типового процесса будет вынесенное судьей Определения об оставлении без движения. Определение об оставлении без движения должно быть принято не позднее 5 дней с момента поступления документа в суд.Формирование документов по шаблону с использованием метаданных системы"
31,Система,Дата принятия СА,Система приостанавливает течение процессуального срока,Приостановить течение процессуального срока,"",Система приостанавливает течение процессуального срока после вынесения Определения об оставлении без движения.
32,Судья,Определение об оставлении без движения,—,Параллельный шлюз для координации процессов,—,Параллельный шлюз для координации процессов: одновременное направление определения и установка ожидания истечения срока. Переходы: к шагам 33 и 34 процесса.
33,Судья,Срок истек,Уведомление пользователя,Ожидать истечение установленного в определении срока,"Срок для устранения недостатков, указанный в определении",Уведомить пользователя при истечении установленного срока в определении.Автоматизация отсчета срока на устранение недостатков указанный в определении и системе.
34,Канцелярия,Определение об оставлении без движения,Копия определения для сторон,ТБП46.Направить документ,Не позднее следующего дня после вынесения,"Канцелярия направляет заявителю/истцу копию Определения об оставлении без движения не позднее следующего дня, после вынесения определения. Переход к типовому процессу «Направить документ», результатом которого будет направление Определения."
35,Канцелярия,Направленное определение,—,Вынесено Определение об оставлении без движенияЗавершающее событие.,—,Завершение ветки процесса с направлением Определения суда заявителю/истцу.
36,Заявитель/Истец,Определение об оставлении без движения,—,Получено определение об оставлении без движения,—,Заявитель/Истец получает определение об оставлении документа без движения.
37,Заявитель/Истец,Определение об оставлении без движения,—,Ознакомиться,—,Заявитель изучает содержание определения и выявленные недостатки.
38,Система,Заявитель открыл документ,Система сформировала пакет данных для передачи в систему арбитражного суда,Отправить время ознакомления,—,Система отправляет данные о времени доставки и ознакомления в систему арбитражного суда
39,Заявитель/Истец,Ознакомление с определением,Решение об обжаловании,Есть основания для обжалования? (Эксклюзивный шлюз),—,"Заявитель/Истец, изучив поступившее Определение об оставлении без движения решает, будет ли он его обжаловать?Если «Да», то переход к шагу 40 процесса.Если «Нет», то переход к шагу 41 процесса."
40,Заявитель/Истец,Основания для обжалования,—,Переход к процессу апелляционного обжалования.Завершающее событие,—,Заявитель переходит к процедуре обжалования определения в апелляционном порядке. Завершение процесса рассмотрения вопроса об оставлении без движения.
41,Заявитель/Истец,Определение об оставлении без движения,—,Исправить обстоятельства? (Эксклюзивный шлюз),"Срок, указанный в определении","Заявитель/Истец, ознакомившись с выявленными судом нарушениями, послужившими основаниями для оставления без движения решает, будет ли он исправлять недостатки?Если «Да», то переход к шагу 43 процесса.Если «Нет», то переход к шагу 42 процесса."
42,Заявитель/Истец,—,—,Заявитель не желает исправлять нарушения.Завершающее событие,—,Заявитель принимает решение не исправлять выявленные нарушения. Завершения процесса на пуле заявителя/истца.
43,Заявитель/Истец,—,—,Необходимо подать ходатайство о продлении срока? (Эксклюзивный шлюз),"Срок, указанный в определении","Заявитель/Истец оценивает срок, установленный судом для устранения недостатков, и решает, необходимо ли ему подать ходатайство о продлении этого срока.Если «Да», то переход к шагу 50 процесса.Если «Нет», то переход к шагу 44 процесса."
44,Заявитель/Истец,—,—,Исправить обстоятельства,"Срок, указанный в определении",Заявитель устраняет выявленные в определении недостатки.
45,Заявитель/Истец,Исправленные документы,Документы во исполнение определения об оставлении без движения,ТБП7.Подать документы в суд,"Срок, указанный в определении",Заявитель подает в суд исправленные документы во исполнение определения об оставлении без движения. Переход к типовому процессу «Подать документы в суд». Результатом данного типового процесса будут направленные в суд документы во исполнение определения об оставлении без движения.
46,Заявитель/Истец,—,—,Документы во исполнение определения об оставлении без движения отправлены.Завершающее событие.,—,Завершение ветки процесса подачи исправленных документов.
47,Канцелярия,Документы во исполнение определения об оставлении без движения,—,Получены документы во исполнение определения об оставлении без движения,—,"Канцелярия арбитражного суда получает документы, поданные во исполнение определения об оставлении без движения."
48,Канцелярия,Поступившие документы,Зарегистрированный входящий документ,ТБП53.Принять входящий документ,—,"Канцелярия арбитражного суда регистрирует поступившие документы в соответствии с положениями Инструкции по делопроизводству № 100. Переход к типовому процессу «Принять входящий документ», результатом которого станет регистрация входящего документа и подготовка для его передачи судье."
49,Судья арбитражного суда,Переданные документы,—,ТБП59.Оценить доказательства по делу,—,"Судья арбитражного суда должен оценить представленные документы и доказательства на предмет устранения ранее выявленных недостатков. Переход к типовому процессу «Оценить доказательства». Результатом данного типового процесса будут оцененные поступившие документы во исполнение определения об оставлении без движения на предмет достаточности, допустимости, относимости в соответствии с положениями АПК РФ."
50,Заявитель/Истец,Необходимость продления срока,Ходатайство о продлении срока оставления заявления (жалобы) без движения,ТБП7.Подать документы в суд,—,"Заявитель подает ходатайство о продлении срока для устранения недостатков в случае, если он понимает, что не успевает представить документы, необходимые для устранения препятствий принятия к рассмотрению в срок, установленный судом в определении об оставлении без движения. Переход к типовому процессу «Подать документы в суд», результатом которого будет направленное в суд ходатайство о продлении срока оставления заявления (жалобы) без движения."
51,Заявитель/Истец,—,—,Ходатайство о продлении срока отправлено.Завершающее событие,—,Завершение ветки процесса на пуле заявителя/истца.
52,Канцелярия,Ходатайство о продлении срока,—,Получено ходатайство о продлении срока.,—,Канцелярия арбитражного суда получает ходатайство о продлении срока оставления заявления (жалобы) без движения.
53,Канцелярия,Поступившее ходатайство,Зарегистрированный входящий документ,ТБП53.Принять входящий документ,—,"Канцелярия арбитражного суда регистрирует поступившие документы в соответствии с положениями Инструкции по делопроизводству № 100. Переход к типовому процессу «Принять входящий документ», результатом которого станет регистрация входящего документа и подготовка для его передачи судье."
54,Судья,—,—,Документы поступили?(Эксклюзивный шлюз),—,Система контролирует принятие новых документов по делу/номенклатурному делу
55,Система,новый документ,уведомление пользователю,Уведомить пользователя,—,Система уведомляет судью при получении нового документа
56,Судья,Отсутствие документов,—,Поступило ходатайство о продлении срока? (Эксклюзивный шлюз),—,"Судья, если не поступили документы во исполнение определения об оставлении без движения, проверяет поступило ли от заявителя/истца ходатайство о продлении срока.Если «Да», то переход к шагу 57 процесса.Если «Нет», то переход к шагу 62 процесса."
57,Система,новый документ,уведомление пользователю,Уведомить пользователя,—,Система уведомляет судью при получении нового документа
58,Судья,—,—,Закрывающий шлюз,—,Объединяющий шлюз для шагов 43 и 56 процесса 
59,Судья,Ходатайство о продлении срока,Определение о продлении срока оставления без движения,ТБП35.Рассмотреть вопрос о продлении/восстановлении срока,5 дней с момента поступления ходатайства,"Судья арбитражного суда рассматривает ходатайство о продлении срока оставления без движения. Указанное ходатайство должно быть рассмотрено судьей в течение 5 дней с момента поступления ходатайства. Переход к типовому процессу «Рассмотреть вопрос о продлении/рассмотрении срока», результатом которого будет вынесения определения о продлении срока оставления без движения в случае его удовлетворения."
60,Судья,—,—,Ходатайство удовлетворено? (Эксклюзивный шлюз),—,"Судья удовлетворил ходатайство о продлении срока оставления заявления (жалобы) без движения?Если «Да», то переход к шагу 65 процесса.Если «Нет», то переход к шагу 61 процесса."
61,Судья ,—,—,"Переход к типовому процессу ""Рассмотреть вопрос о возвращении документа"" Завершение процесса.",—,"Если в удовлетворении ходатайства о продлении срока оставления заявления (жалобы) без движения отказано, то процесс рассмотрения вопроса об оставлении заявления без движения переход в типовой процесс ""Рассмотреть вопрос о возвращении документа""."
62,Судья,Информация об объективных обстоятельствах препятствующих исправлению нарушений в срок,—,У суда имеется информация об объективных обстоятельствах препятствующих исправлению нарушений в срок? (Эксклюзивный шлюз),—,"Судья проверяет имеется ли у него информация об объективных обстоятельствах препятствующих исправлению нарушений заявителем/истцом в срок.Если «Да», то переход к шагу 64 процесса.Если «Нет», то переход к шагу 63 процесса."
63,Судья,—,—,"Переход к шагу 99 ТП ""Рассмотреть вопрос о возвращении документа"" Событие-ссылка.",—,"Если у суда не имеется информация об объективных обстоятельствах препятствующих исправлению нарушений в срок и документы во исполнение определения об оставлении без движения не представлены в суд, а срок, установленный определением, истек, то процесс рассмотрения вопроса об оставлении заявления без движения переход в типовой процесс ""Рассмотреть вопрос о возвращении документа""."
64,Судья,Информация об объективных обстоятельствах препятствующих исправлению нарушений в срок,Определение о продлении срока оставления без движения,ТБП80.Принять СА,—,"У судьи имеется информация об объективных обстоятельствах препятствующих исправлению нарушений в срок и документы во исполнение определения об оставлении без движения не представлены в суд, а срок, установленный определением, истек, то будет выносить определение. Переход к типовому процессу «Принять СА», результатом которого будет вынесенное судьей Определение о продлении срока оставления без движения. Срок без движения продлен. Формирование документов по шаблону с использованием метаданных системы"
65,Судья,—,—,Закрывающий шлюз.,—,Закрывающий шлюз для шага 60 и 62 процесса.
66,Канцелярия,Определение о продлении срока оставления без движения,—,ТБП46.Направить документ,Не позднее следующего дня после вынесения,"Определение о продлении срока оставления без движения должно быть направлено сторонам не позднее следующего дня после вынесения. Переход к типовому процессу «Направить документ», результатом которого станет направление Определения о продлении срока оставления без движения заявителю/истцу."
67,Канцелярия,—,—,СА ОтправленЗавершающее событие,—,Завершение процесса.
68,Заявитель/Истец,Определение о продлении срока оставления без движения,—,Получено определение о продлении срока оставления без движения,—,Заявитель/истец получает определение о продлении срока оставления документа без движения для устранения недостатков.
69,Заявитель/Истец,Определение о продлении срока,—,Необходимо обжаловать? (Эксклюзивный шлюз),—,"Заявитель/Истец, получив определение суда решает, необходимо ли его обжаловать в суд вышестоящей инстанции. Если «Да», то переход к шагу 64 процесса.Если «Нет», то переход к шагу 65 процесса."
70,Заявитель/Истец,—,—,Переход к процессу апелляционного обжалования,—,Заявитель переходит к процессу обжалования определения о продлении срока. Завершение процесса рассмотрения вопрос об оставлении без движения на пуле заявителя/истца.
71,Заявитель/Истец,—,—,Исправить обстоятельства,Продленный срок,Заявитель устраняет выявленные недостатки в продленный срок и готовит документы во исполнение определения об оставлении без движения для последующего направления в суд.
72,Заявитель/Истец,Определение о продлении срока,Документы во исполнение определения об оставлении без движения,ТБП7.Подать документы в суд,—,Заявитель подает в суд исправленные документы во исполнение определения об оставлении без движения. Переход к типовому процессу «Подать документы в суд». Результатом данного типового процесса будут направленные в суд документы во исполнение определения об оставлении без движения.
73,Заявитель/Истец,—,—,Документы во исполнение определения об оставлении без движения после продления срока отправлены.Завершающее событие.,—,Завершение процесса подачи исправленных документов в продленный срок.
74,Канцелярия,Документы во исполнение определения об оставлении без движения,—,Получены Документы во исполнение определения об оставлении без движения,—,В канцелярию суда поступили документы во исполнение определения об оставлении без движения от заявителя/истца.
75,Канцелярия,Документы во исполнение определения об оставлении без движения,Зарегистрированный входящий документ,ТБП53.Принять входящий документ,—,"Канцелярия арбитражного суда регистрирует поступившие документы в соответствии с положениями Инструкции по делопроизводству № 100. Переход к типовому процессу «Принять входящий документ», результатом которого станет регистрация входящего документа и подготовка для его передачи судье."
76,Судья,—,—,ТБП59.Оценить доказательства по делу,—,"Судья арбитражного суда должен оценить представленные документы и доказательства на предмет устранения ранее выявленных недостатков. Переход к типовому процессу «Оценить доказательства». Результатом данного типового процесса будут оцененные поступившие документы во исполнение определения об оставлении без движения на предмет достаточности, допустимости, относимости в соответствии с положениями АПК РФ."
77,Судья,—,—,Закрывающий шлюз.,—,Закрывающий шлюз. Объединение потоков шага 54 и шага 69 процесса.
78,Судья,—,—,Документы поступили в срок? (Эксклюзивный шлюз),—,"Судья проверяет поступили ли в срок Документы во исполнение определения об оставлении без движения.Если «Да» переход к шагу 82 процесса.Если «Нет», то переход к шагу 79 процесса."
79,Система,Поступление документов,Уведомление пользователю,Уведомить пользователя,—,Система уведомляет при поступлении нового документа
80,Судья,—,—,ТБП15.Рассмотреть вопрос о возвращении документа,—,"Если документы во исполнение определения об оставлении без движения поступили позже срока, установленного в определении суда об оставлении без движения/определения суда о продлении срока оставления без движения, то такие документы подлежат возвращению. Переход к типовому процессу «Рассмотреть вопрос о возвращении документа». Результатом данного типового процесса станет возвращение документов, поступивших во исполнение определения об оставлении без движения заявителю/истцу."
81,Судья ,—,—,Документы во исполнение определения об оставлении без движения возвращены.Завершающее событие.,—,Завершение процесса рассмотрения вопроса об оставлении без движения.
82,Система,Поступление документов,Формирование рекомендации,Сформировать отчет,—,Система при поступлении документов формирует рекомендацию на основе данных которые были и которые вновь поступили
83,Судья,Уведомление в событии с рекомендаций системы,Решение по выводу системы,ТБП139.Проверить выводы системы,—,Переход к типовому процессу проверить выводы системы
84,Судья,—,—,Все препятствия для принятия устранены?,—,"Оценив документы во исполнение определения об оставлении без движения, судья решает, устраняют ли поступившие документы препятствия, послужившие основанием для оставления без движения?Если «Да», то переход к шагу 88 процесса.Если «Нет», то переход к шагу 85 процесса."
85,Судья,—,—,Необходимо продлить срок?,—,"Если судья пришел к выводу, что поступившие документы не устраняют в полном объеме препятствия, послужившие основанием для оставления без движения, то тогда судья решает, есть ли необходимость продлить срок оставления без движения.Если «Да», то переход к шагу 86 процесса,Если «Нет», то переход к шагу 87 процесса."
86,Судья,Решение по выводу системы,—,Переход к шагу 64 Принять СА,—,Переход к шагу 64 Принять СА
87,Судья,Решение по выводу системы,—,"Переход к типовому процессу ""Рассмотреть вопрос о возвращении документа"" Завершение процесса",—,"Если судья считает, что продление срока оставления более невозможно и обстоятельства, послужившие основанием для оставления документа без движения не устранены, процесс будет продолжен в типовом процессе ""Рассмотреть вопрос о возвращении документа""."
88,Система,—,—,Возобновить течение процессуального срока,—,Система согласно данным шага 83 возобновляет процесс течения процессуального срока
89,Судья,Решение по выводу системы,—,"Переход в процесс ""Рассмотреть вопрос о принятии"" Завершение процесса",—,"Завершение процесса рассмотрения вопроса об оставлении без движения. Дальше процесс продолжается в ТП «Рассмотреть вопрос о принятии», где судья будет принимать решение о принятии документа, оставленного без движения, к производству."
