№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (Кредитор/АУ/Должник/Заинтересованное лицо),—,—,Возникла необходимость разрешения обособленного спора,"","Заявитель (Кредитор/АУ/Должник/Заинтересованное лицо) обращается в суд с необходимостью разрешения обособленного спораПоложениями пункта 2 статьи 60, пункта 2 статьи 71 и пункта 3 статьи 100 Закона о банкротстве установлены процессуальные особенности рассмотрения обособленных споров, производство по которым осуществляется в документарной форме посредством обмена процессуальными документами без проведения судебного заседания (далее - документарные обособленные споры). В силу указанных норм суд, осуществляя управление процессом, определяет наиболее оптимальный порядок рассмотрения конкретного обособленного спора.Правила о порядке рассмотрения документарных обособленных споров (пункт 2 статьи 60 Закона о банкротстве) применяются к спорам о включении требований в реестр требований кредиторов (пункт 2 статьи 71, пункт 3 статьи 100 Закона о банкротстве)."
1,Заявитель (Кредитор/АУ/Должник/Заинтересованное лицо),—,Заявление/Ходатайство/Жалоба по обособленному спору,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд». Итогом этого ТП будет подготовленное заявление с приложенными к нему документами, которое Заявление/Ходатайство/Жалоба по обособленному спору направит в суд"
2,Заявитель (Кредитор/АУ/Должник/Заинтересованное лицо),—,—,Завершение процесса,"",Завершение процесса
3,Канцелярия суда,Заявление/Ходатайство/Жалоба по обособленному спору,—,Поступило заявление,—,Канцелярия получает Заявление/Ходатайство/Жалоба по обособленному спору
4,Канцелярия суда,Заявление/Ходатайство/Жалоба по обособленному спору,Зарегистрированный документ,ТБП53.Принять входящий документ,"в день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Канцелярия регистрирует и принимает заявление. Переход к типовому процессу «Принять входящий документ». При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
5,Судья,Зарегистрированное заявление,-Определение о возвращении заявления-Определение об отказе в принятии заявления-Определение о принятии заявления,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии иска к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". По общему правилу, возбуждение производства по документарному обособленному спору осуществляется на основании определения арбитражного суда о принятии заявления к производству (часть 3 статьи 127 АПК РФ). В названном определении суд указывает заявителя, предмет и основание заявленных требований, участвующих в споре лиц, порядок ознакомления с заявлением и приложенными к нему документами (в зависимости от способа подачи заявления), срок представления возражений (не менее пяти дней) и отзывов на возражения, а также срок, в течение которого обособленный спор, исходя из его существа и сложности, будет рассмотрен с вынесением определения путем подписания резолютивной части. Принятие иска: По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления. О принятии искового заявления арбитражный суд выносит определение, которым возбуждается производство по делу. Копии определения направляется ЛУВД не позднее следующего дня после его принятия."
6,Судья,"","",Заявление принято к рассмотрению?Эксклюзивный шлюз,"",Да: переход к шагу 26Нет: переход к шагу 7
7,Судья,"","",Ожидать истечения срока обжалования  СА,"",Судья ожидает 6 месяцев с даты вступления в законную силу СА
8,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
9,Судья,"","",Завершение процесса передачи дела в архив,"",Завершение процесса
