№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Система,"","",Зарегистрировано новое ПД ,"",После сохранения данных о регистрации нового ПД система запускает формирование учетно-статистических карточек в форме объектов в базе данных ИС суда (далее - БД).
1,Система,"",Учетно-статистическая карточка,Сформировать учетно-статистическую карточку ,"","Учетно-статистические карточки на производства по делам, являющиеся приложениями к инструкциям по судебному делопроизводству, являются и нормативной основой организации первичного статистического учета в электронных картотеках (журналах) автоматизированного судебного делопроизводства."
2,Система,"","Атрибуты ПД, дела, ДР в БД","Сохранить атрибуты ПД, дела, ДР в БД ","","Система сохраняет атрибуты первичного документа (далее - ПД), дела, документов рассмотрения (далее - ДР) и событий в базе данных ИС суда."
3,Система,"Данные ПД, дела, ДР в БД",Связь между объектами,"Создать связь между ПД, делом и ДР ","","Система создает связи между первичным документом, делом и документами рассмотрения в базе данных ИС суда."
4,Система,"","",Ожидать изменений ,"",Система ожидает изменений со стороны пользователя.
5,Система,"Новый ДР, добавление/изменение атрибутов ПД, дела, ДР",Изменения в БД,Внести изменения в БД,"","При изменениях в карточках (регистрация новых документов, добавление/изменение атрибутов ПД, дела, ДР и т.д.) система сохраняет изменения в базе данных ИС суда."
6,Система,Изменения в БД,Запись в журнале изменений,Сохранить запись в журнале изменений ,"",После сохранения изменений система сохраняет запись об изменениях в журнале изменений.
7,Система,"","",Ожидать формирование статистического отчета ,"",Система ожидает запуска формирования статистического отчета.
8,Система,Данные учетно-статистических карточек,Рассчитанный отчет по утвержденной форме,Сформировать отчет из данных в БД СИСТЕМА,"","Система формирует выбранную форму отчета.Основой формирования статистических отчетов являются данные, внесенные в картотеки (журналы) автоматизированного судебного делопроизводства по делам и материалам."
9,Система,"","",Завершение процесса,"",Завершение процесса
