№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Заявитель (Кредитор/Должник/АУ/Иное ЛУВД),—,—,"Возникла необходимость разрешить разногласие, восстановить нарушенное право",—,"Заявитель (Кредитор/Должник/АУ/Иное ЛУВД) принимает решение о необходимости разрешить разногласие, восстановить нарушенное право"
1,Заявитель (Кредитор/Должник/АУ/Иное ЛУВД),—,"Заявление о разрешении разногласий между арбитражным управляющим и лицами, участвующими в деле о банкротстве",Подать документы в суд,"не позднее чем через 1 месяц с даты получения указанных заявлений, ходатайств и жалоб","Переход к типовому процессу ""Подать документы в суд"". Заявитель (Кредитор/Должник/АУ/Иное ЛУВД) формирует и подает заявление о разрешении разногласий между арбитражным управляющим и лицами, участвующими в деле о банкротстве"
2,Заявитель (Кредитор/Должник/АУ/Иное ЛУВД),—,—,Возникла необходимость в обеспечении иска,—,Заявитель принимает решение о необходимости обеспечения иска и формирует соответствующее заявление
3,Заявитель (Кредитор/Должник/АУ/Иное ЛУВД),—,—,Переход в процесс рассмотрения обеспечительных мер,—,Переход в процесс рассмотрения обеспечительных мер
4,Заявитель (Кредитор/Должник/АУ/Иное ЛУВД),—,—,Завершение процесса,—,Завершение процесса
5,Канцелярия,"Заявление о разрешении разногласий между арбитражным управляющим и лицами, участвующими в деле о банкротстве",—,Поступило заявление,—,"Суд получает Заявление о разрешении разногласий между арбитражным управляющим и лицами, участвующими в деле о банкротстве"
6,Канцелярия,"Заявление о разрешении разногласий между арбитражным управляющим и лицами, участвующими в деле о банкротстве",Зарегистрированный документ,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
7,Судья,Зарегистрированный документ,Определение о принятии к производству,Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству исковое заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления"
8,Судья,Судебный акт по вопросу о принятии,—,Заявление принято к рассмотрению?,—,"Судья определяет, принято ли заявление к рассмотрениюДа: переход к шагу 30Нет: переход к шагу 9"
9,Судья,—,—,Ожидать завершения производства по делу о банкротстве,—,Судья ожидает завершения производства по делу о банкротстве
