№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Суд,Необходимость истребовать доказательства,—,Возникла необходимость истребовать доказательства,—,Возникла необходимость истребования доказательств
1,Суд ,Ходатайство об истребовании доказательств ,—,Поступило ходатайство от стороны? Эксклюзивный шлюз,—,"Определяется, поступило ходатайство от стороны. Автоматическая маршрутизация по типу инициированияДа: переход к шагу 3Нет: переход к шагу 2"
2,Суд ,Необходимость истребования,—,Истребовать по инициативе суда,—,"Суд инициирует истребование по собственной инициативе. Согласно ст. 66 АПК РФ Арбитражный суд вправе предложить лицам, участвующим в деле, представить дополнительные доказательства, необходимые для выяснения обстоятельств, имеющих значение для правильного рассмотрения дела и принятия законного и обоснованного судебного акта до начала судебного заседания или в пределах срока, установленного судом"
3,Суд ,Ходатайство об истребовании доказательств,-,ТБП120.Рассмотреть заявление об истребовании доказательств,—,"Переход к типовому процессу «Рассмотреть заявление об истребовании доказательств». Согласно ст. 38 Постановления пленума ВС РФ № 13 от 23.12.2021 В соответствии с частью 4 статьи 66 АПК РФ арбитражный суд может истребовать по ходатайству лица, участвующего в деле, необходимые доказательства. При этом указания в ходатайстве конкретных реквизитов такого доказательства или приложения к ходатайству доказательств, подтверждающих нахождение данного доказательства у соответствующего лица, не требуется.Исходя из данной нормы, арбитражный суд истребует доказательства, в частности, в случае обоснования лицом, участвующим в деле, отсутствия возможности самостоятельного получения доказательства от лица, укоторого оно находится, указания на то, какие обстоятельства, имеющие значение для дела, могут быть установлены этим доказательством, а также указания причин, препятствующих получению доказательства, и места его нахождения Результатом ТП является подготовленное к принятию судебное решение по ходатайству. Исходя из системного толкования положений АПК РФ возможность обжалования определения об отказе в удовлетворении заявления об истребовании доказательств не предусмотрена. Следовательно, у суда первой инстанции в случае отказа в истребовании доказательств отсутствует обязанность вынесения определения в виде отдельного судебного акта по результатам рассмотрения ходатайства. Каталог шаблонов и чек-листов для проверки требований к ходатайству"
4,Суд ,"",—,Закрывающий шлюз для шага 1,—,Закрывающий шлюз для шага 1
5,Суд ,"",Определение об истребовании доказательств,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА». Согласно ч. 6 ст 66 АПК РФ об истребовании доказательств арбитражный суд выносит определение. В определении указываются срок и порядок представления доказательств. Копия определения направляется лицам, участвующим в деле, а также лицу/должностному лицу/органу, у которого находится истребуемое судом доказательство.В результате данного ТП выносится определение об истребовании доказательств. Генерация проекта определения по шаблону"
6,Суд ,"",Определение об истребовании доказательств,ТБП46.Направить документ,Не позднее следующего рабочего дня ,"Переход к типовому процессу «Направить документ». В результате данного ТП помощником судьи сторонам направляются копии определения, а также лицу/должностному лицу/органу, у которого находится истребуемое судом доказательство. Контроль сроков отправки"
7,Система арбитражного суда,—,—,Контролировать получение доказательств ,Установленный определением срок,Система контролирует получение судьей доказательств или извещения о невозможности предоставить доказательства. Автоматические напоминания и наблюдение статусов
8,"Иные лица, участвующие в деле (ЛУВД)",Определение об истребовании доказательств,—,Получено уведомление о вынесении Определения об истребовании доказательств,—,ЛУВД получают копий определения об истребовании доказательств 
9,"Иные лица, участвующие в деле (ЛУВД)",Определение об истребовании доказательств,—,Ознакомиться в ЛК,—,Иные ЛУВД знакомятся с поступившим определением об истребовании доказательств. 
10,Система арбитражного суда,—,Время ознакомления,Отправить время ознакомления,—,Система фиксирует время ознакомления с документами
11,"Иные лица, участвующие в деле (ЛУВД)",—,"",Завершение процесса,—,Завершение процесса 
12,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",Определение об истребовании доказательств,—,Получить определение об истребовании доказательств ,—,"Лицо/должностное лицо/гос. орган, у которого находится доказательство получают копий определения об истребовании доказательств "
13,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",Определение об истребовании доказательств,—,Ознакомиться в ЛК,"","Лицо/должностное лицо/гос. орган, у которого находится доказательство знакомится с направленным определением"
14,Система арбитражного суда,—,Время ознакомления,Отправить время ознакомления,"",Система фиксирует время ознакомления с документами
15,"Лицо/должностное лицо/гос. орган, у которого находится доказательство","",—,Есть возможность представить доказательства? Эксклюзивный шлюз,—,"Лицо/должностное лицо/гос. орган, у которого находится доказательство определяют есть ли возможность представить доказательстваДа: переход к шагу 17Нет: переход к шагу 13"
16,"Лицо/должностное лицо/гос. орган, у которого находится доказательство","",—,Известить суд о невозможности? Эксклюзивный шлюз,5 дней с момента получения запроса,"Лицо/должностное лицо/гос. орган, у которого находится доказательство извещает о невозможности предоставить доказательстваДа: переход к шагу 15Нет: переход к шагу 14Шаблон извещения, контроль срока 5 дней"
17,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",—,—,Завершение процесса,—,Завершение процесса
18,"Лицо/должностное лицо/гос. орган, у которого находится доказательство","",Извещение о невозможности предоставления доказательств,ТБП7.Подать документы в суд,—,"Переход к Типовому процессу «Подать документы в суд»В результате этого ТП Лицо/должностное лицо/гос. орган, у которого находится доказательство формирует Извещение о невозможности предоставления доказательств и подает его в суд.Шаблон извещения, контроль доставки"
