№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,Необходимость передать дело в архив,—,Появилась необходимость передать дело в архив,—,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства принимает решение о необходимости передачи дела в архив. Передача в архив регулируется положениями ст.38 Постановление Пленума ВАС РФ от 25.12.2013 N 100 
1,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,Дело для проверки,—,Дело по номенклатуре временного хранения?Эксклюзивный шлюз,—,"Помощник судьи/Секретарь/Сотрудник отдела делопроизводства проверяет, соответствует ли дело номенклатуре временного хранения. Такие дела подлежат хранению в судебном составе с последующим уничтожением. Согласно ч.38.10 Постановления Пленума ВАС РФ от 25.12.2013 N 100: При передаче в архив документов общего делопроизводства сотрудником архива проверяются правильность их формирования, оформления и соответствие индексов и заголовков на обложке дел, индексам и заголовкам, указанным в сдаточной описи, а также содержанию в сводной номенклатуре делСогласно ч.38.14 Постановления Пленума ВАС РФ от 25.12.2013 N 100:Дела по номенклатуре временного (до 10 лет) хранения, как правило, не подлежат передаче в архив и хранятся в судебных составах и структурных подразделениях и по истечении сроков хранения подлежат уничтожению с составлением специалистами судебных составов и структурных подразделений актов о выделении к уничтожению (приложение N 46) в порядке, установленном Правилами работы архивов арбитражных судов.Дела по номенклатуре постоянного (кроме приказов и распоряжений) и временного (свыше 10 лет) хранения до их передачи в архив могут находиться в подразделениях в течение 3 лет.Акты о выделении к уничтожению составляются в судебных составах или подразделениях суда, согласуются с архивом суда и утверждаются руководителем судебного состава или подразделения суда. Документы с истекшим сроком хранения могут быть включены в акты о выделении к уничтожению только при условии утвержденных описей дел постоянного и долговременного сроков хранения в архив суда за указанный период.Да: переход к шагу 2,Нет: переход к шагу 3Автоматическая проверка по номенклатуре дел в информационной системе"
2,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,"Дело, не подлежащее передаче в архив",—,Завершение процесса. Дело не подлежит передаче в архив,—,"Помощник судьи/Секретарь/Сотрудник отдела делопроизводства завершает процесс, так как дело не подлежит передаче в архив"
3,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,"",Дело,ТБП88.Подготовить дело к передаче,—,"Переход к типовому процессу «Подготовить дело к передаче». Результатом данного технологического процесса станет оформление и подготовка судебного дела к передаче в архив с внесением данных о деле в соответствующий реестрАвтоматизация подготовки документов, формирование описи"
4,Система,"",Дело для проставления срока хранения,Проставить срок хранения дела,—,Система проставляет срок хранения дела в соответствии с номенклатурой дел. Автоматическое определение срока хранения по номенклатуре. Система определяет сроки хранения на основе заложенных алгоритмов
5,Система,"",Дело с проставленным сроком хранения,Проставить срок хранения в ИС,—,Система проставляет срок хранения в информационной системе. Система определяет сроки хранения на основе заложенных алгоритмов. Автоматическое внесение данных в информационную систему
6,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,"",Электронная сдаточная опись,ТБП49.Сформировать и подписать документ,—,"Переход к типовому процессу «Сформировать и подписать документ». Результатом данного технологического процесса станет оформление и подписание сдаточной описи для передачи дела в архив. Формы сдаточной описи регулируются Приложениями № 38, 44 Постановления Пленума ВАС РФ от 25.12.2013 N 100. Автоматическая генерация сдаточной описи, электронная подпись"
7,Система,Дело и сдаточная опись,—,Система передает дело и электронную сдаточную опись,—,Система передает дело и электронную сдаточную опись
8,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,Переданные документы,—,Параллельный шлюз,—,"Параллельный шлюз для координации процессов, переход к шагам 14, 15"
9,Система,—,—,Ожидать окончания проверок сотрудником архива,—,Система ожидает окончания проверок сотрудником архива. Автоматическое уведомление о завершении проверок
10,Система,—,—,Уведомить пользователя,—,Система уведомляет пользователя
11,Сотрудник архива,—,—,Запустить проверку дела,—,Сотрудник архива запускает проверку дела системой
12,Система,Дело,Результат проверки,Проверить соответствие дела описи,—,Система проверяет соответствие дела описи
13,Система,Дело,Результат проверки,Проверить корректность  заполнения данных,—,Система проверяет корректность заполнения данных в деле
14,Система,Результат проверки,Отчет,Сформировать отчет по итогам проверки,—,Система формирует отчет по итогам проверки и уведомляет пользователя
15,Сотрудник архива,Отчет,—,ТБП139.Проверить выводы системы,—,"Типовой процесс «Проверить выводы системы», результатом которого становится валидация пользователем выводов системы и если пользователь не согласен с выводами системы, обнаруживает некорректный анализ данных со стороны системы, он имеет возможность скорректировать данные"
16,Сотрудник архива,"",—,Проверки пройдены?Эксклюзивный шлюз,—,"Сотрудник архива проверяет, пройдены ли все проверки.Да: переход к шагу 21,Нет: переход к шагу 28"
