№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Председатель суда,"","",Возникла необходимость обеспечить надлежащее уничтожение документов в истекшим сроком хранения,"",Возникла необходимость обеспечить надлежащее уничтожение документов в истекшим сроком хранения
1,Председатель суда,"",Приказ арбитражного суда об экспертной комиссии,Принять локальный акт о составе комиссии,"","Экспертная комиссия создается приказом арбитражного суда, в нее включаются наиболее опытные и квалифицированные работники судебных составов, структурных подразделений, а также специалисты архива."
2,Председатель суда,"",Приказ арбитражного суда об экспертной комиссии,Наделить комиссию полномочиями,"","Основными функциями ЭК являются:организация ежегодного отбора дел для хранения или уничтожения;рассмотрение актов о выделении к уничтожению дел, не подлежащих дальнейшему хранению в архиве суда"
3,Руководитель архива,"",План-график уничтожения дел,Создать план-график уничтожения дел,"",Руководитель архива создает план-график уничтожения дел
4,Руководитель архива,"","",Параллельный шлюз,"",Параллельный шлюз
5,Руководитель архива,Единицы архивного хранения,"",Обеспечить подготовку дел к уничтожению,"","Руководитель архива организует подготовку дел к уничтожениюСудебные дела и управленческо-распорядительная документация, подлежащая уничтожению расшиваются, изымаются все металлические предметы (скобки, скрепки)"
6,Руководитель архива,Единицы архивного хранения,"",Провести сверку наличия дел выделяемых к уничтожению,"",Руководитель архива организует сверку наличия дел выделяемых к уничтожению
7,Руководитель архива,Материалы дел,Материалы дел и документы постоянного хранения,Выделить из материалов дел документы постоянного хранения,"","В судах первой инстанции при отборе судебных дел на уничтожение из них изымаются подлинники всех судебных актов, принятых по делу, а также документы, касающиеся исполнения решения суда (за исключением исполнительных листов и их копий)."
8,Руководитель архива,"","",Передать дела на уничтожение,"",Руководитель архива передает дела на уничтожение
9,Руководитель архива,"",Уведомление,Уведомить комиссию о планируемых датах уничтожения,"",Руководитель архива уведомляет комиссию о планируемых датах уничтожения
10,Комиссия,Уведомление,"",Получить информацию о дате уничтожения,"",Экспертная комиссия получает информацию о дате уничтожения
11,Комиссия,"","",Ожидать дату уничтожения,"",Экспертная комиссия ожидает дату уничтожения
12,Комиссия,"",Акт об уничтожении,Составить акт об уничтожении,"","Подлежащие уничтожению дела, оформляются и подготавливаются к уничтожению с составлением акта о выделении дел к уничтожению"
13,Комиссия,"","",Параллельный шлюз,"",Параллельный шлюз
14,Комиссия,Единицы архивного хранения,"",Сверить наличие дел передаваемых на уничтожение,"",Экспертная комиссия сверяет наличие дел передаваемых на уничтожение
15,Комиссия,"","","Все дела, указанные в акте передаются на уничтожение? Эксклюзивный шлюз","","Определяется все ли дела, указанные в акте передаются на уничтожениеПереход к шагам 16, 22"
16,Комиссия,Единицы архивного хранения,"",Передать дела на уничтожение,"","Судебные дела и управленческо-распорядительная документация, подлежащая уничтожению, после изъятия всех металлических предметов (скобки, скрепки) передаются на переработку (утилизацию) в пункты переработки вторсырья."
17,Комиссия,"","",Зафиксировать факт уничтожения,"",Уничтожение дел (размельчение) производится в присутствии уполномоченного сотрудника суда.
18,Комиссия,Акт об уничтожении,Подписанный акт об уничтожении,Подписать акт об уничтожении,"",Комиссия подписывает акт об уничтожении
19,Руководитель архива,"","",Внести в ИС информацию об уничтожении,"",Руководитель архива вносит в ИС информацию об уничтожении
20,Руководитель архива,"","",Завершение процесса,"",Завершение процесса
21,Комиссия,"","",Внести изменения в акт,"",При отсутствии единиц хранения в акт вносится информация об отсутствующем деле
22,Комиссия,"",Уведомление,Передать информацию об отсутствующем деле,"",Информация об отсутствующем деле передается руководителю архива
23,Руководитель архива,Уведомление,"",Получить информацию об отсутствующем деле,"",Руководитель архива получает информацию об отсутствующем деле
24,Руководитель архива,"","",Произвести розыск,"",Руководитель архива организует розыск отсутствующей единицы хранения
25,Руководитель архива,"","",Дело найдено? Эксклюзивный шлюз,"","Определяется найдено ли делоПереход к шагам 26, 28"
26,Руководитель архива,Утрата дела,"",Переход в служебную проверку по вопросу утраченного дела Завершение процесса,"",Руководитель архива инициирует служебную проверку по вопросу утраченного дела
27,Руководитель архива,"",Найденное дело,Передать дело на уничтожение,"",Руководитель архива передает дела на уничтожение
28,Руководитель архива,"","",Переход к шагу 14,"",Руководитель архива уведомляет комиссию
