№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Помощник/секретарь СЗ/отдел делопроизводства,—,—,Появилась необходимость направить дело. Стартовое событие.,—,"Процесс представляет собой процессуальное действие суда, состоящее в передаче материалов дела из одного арбитражного суда в другой в случаях, предусмотренных законом. Необходимость направить дело в другой суд возникает в следующих случаях: а) необходимо передать по подсудности — в другой суд  (в том числе в СОЮ) той же инстанции; б) необходимо передать в вышестоящий суд — при обжаловании судебного акта (апелляция, кассация, надзор) в) в другой арбитражный суд в связи с изменением обстоятельств, делающих невозможным рассмотрение дела в данном суде.  Регулируется ст.34,40, 257–263, 273–276 АПК РФ и положениями инструкции по делопроизводству № 100. Старт процесса -появилось необходимость направить дело."
1,Помощник/секретарь СЗ/отдел делопроизводства,—,—,Внести информацию о передаче в ИС суда,—,Помощник/секретарь СЗ/отдел делопроизводства суда вносит информацию о передаче дела в информационную систему суда.Автоматическое внесение информации при принятии решения о направлении.
2,Помощник/секретарь СЗ/отдел делопроизводства,Документы по делу,Запуск проверки документов по делу,Запустить проверки,—,Помощник/секретарь СЗ/отдел делопроизводства в системе запускает процесс проверки
3,Система,Документы по делу,Вывод системы,Проверить дело,—,Система с помощью полученных данных OCR + LLM проверяет дело на проверка полноты документов и корректности оформления
4,Помощник/секретарь СЗ/отдел делопроизводства,Вывод системы,Найдены/не найдены ошибки,Все корректно?(Эксклюзивный шлюз),—,"Если «Да», то переход к шагу 10 процесса.Если «Нет», то переход к шагу 5 процесса."
5,Система,Ошибки по проверкам,Переход к уведомлению пользователя,Остановить отправку дела,—,Система не позволяет отправить дело с ошибками
6,Система,Ошибки по проверкам,Уведомление пользователю,Уведомить пользователя,—,Система уведомляет пользователя
7,Помощник/секретарь СЗ/отдел делопроизводства, Уведомление пользователю, Исправленные ошибки , Исправить ошибки, —, Помощник/секретарь СЗ/отдел делопроизводства исправляет указанные системой ошибки и сохраняет данные.
8,Помощник/секретарь СЗ/отдел делопроизводства,Исправлены ошибки, Отправление на передачу для повторной проверки,Передать исправленное дело для направления, —, Помощник/секретарь СЗ/отдел делопроизводства изменяет стадию для перехода в 9 шаг процесса
9,Помощник/секретарь СЗ/отдел делопроизводства, Измененная стадия и исправленное дело, Переход к шагу 2,Переход к шагу 2. Запустить проверки,  —, Переход к шагу 2. Запустить проверки.Система автоматически запускает проверки при определенной стадии и выдает результат проверки.
10,Система,Корректное дело,Запись в журнале,Отметить в журнале исходящей корреспонденции,—,Система отмечает направление дела в журнале исходящей корреспонденции.
11,Система, Дело без ошибок,Запись и отметка в электронном журнале ,Сформировать запись в реестре передачи, —, Автоматическая запись в электронный журнал исходящей корреспонденции
12,Система,В журнал добавлена запись,Уведомление пользователя,Уведомить пользователя,—,Система после создания записи в реестре передачи и электронном журнале исходящей корреспонденции уведомляет пользователя 
13,Помощник/секретарь СЗ/отдел делопроизводства,Уведомление пользователя,Вывод пользователя,ТБП139.Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы"""
14,Система,Вывод пользователя,Передача пакета данных в другой суд,Передать дело,—,Пакет данных после проверки пользователем передается по интеграционному каналу в другой суд фиксируется дата и время передачи.
15,Система,Уведомление другому вузу о поступившем деле,"Полученное дело, отметка",Получить дело,—,Уведомление другому вузу о поступившем деле
16,Другой суд,Получено дело,Отметка о принятии,Принять дело и закрыть задачу,—,"Пользователь ставит отметку о принятии, система фиксирует дату и время для передачи в систему арбитражного суда отправителя"
17,Другой суд,Данные о дате и времени получения и отметка пользователя о принятии,Пакет данных для передачи,Обновить записи в реестрах,—,Система формирует данные в пакет и отправляет в систему арбитражного суда отправителя
18,Другой суд,Данные о получении данных из шага 17,Фиксация данных в системе о получении/не получении,Дело полученоЗавершение процесса,—,Другой суд получил дело.
19,Система,Данные о успешной отправке,Созданная задача с отметкой пользователя и метаданных процесса передачи дела,Сформировать задачу на прием,—,"Система создает задачу по приему дела другим судом, проставляет ответственного."
20,Система ,Ожидание данных о приеме дела,Смена статуса в задачи для уведомления пользователя,Ожидать прием дела,—,Система при получении данных переходит к шагу 21
21,Система ,Данные из другого суда о приеме,Уведомление пользователя,Уведомить пользователя о передаче дела,—,Система уведомляет пользователя о передаче дела с данными о факте передачи и переход к шагу 22
22,Система,Данные о передаче ,Занесение данных в реестр передачи дел,Обновить информацию в реестре,—,Система обновляет реестр по полученным данным
23,Помощник/секретарь СЗ/отдел делопроизводства,—,—,Дело направлено в другой суд.Завершение процесса,—,Дело направлено в другой суд.Завершение процесса
